English_name,Scientific_name,Catalan_name,Category
Snow Goose,Anser caerulescens,Oca de les neus,Rares/Accidentals
Graylag Goose,Anser anser,Oca comuna,
Greater White-fronted Goose,Anser albifrons,Oca riallera grossa,
Lesser White-fronted Goose,Anser erythropus,Oca riallera petita,Rares/Accidentals Vulnerable
Taiga Bean-Goose,Anser fabalis,Oca pradenca,
Tundra Bean-Goose,Anser serrirostris,Oca de la Tundra,
Pink-footed Goose,Anser brachyrhynchus,Oca de bec curt,Rares/Accidentals
Brant,Branta bernicla,Oca de collar,
Barnacle Goose,Branta leucopsis,Oca de galta blanca,
Canada Goose,Branta canadensis,Oca del Canadà,Espècies introduïdes
Red-breasted Goose,Branta ruficollis,Oca de coll roig,Rares/Accidentals Vulnerable
Mute Swan,Cygnus olor,Cigne mut,
Black Swan,Cygnus atratus,Cigne negre,Espècies introduïdes
Tundra Swan,Cygnus columbianus,Cigne petit,
Whooper Swan,Cygnus cygnus,Cigne cantaire,
Egyptian Goose,Alopochen aegyptiaca,Oca d'Egipte,Espècies introduïdes
Ruddy Shelduck,Tadorna ferruginea,Ànec canyella,Rares/Accidentals
Common Shelduck,Tadorna tadorna,Ànec blanc,
Mandarin Duck,Aix galericulata,Ànec mandarí,Espècies introduïdes
Baikal Teal,Sibirionetta formosa,Xarxet del Baikal,Rares/Accidentals
Garganey,Spatula querquedula,Xarrasclet,
Blue-winged Teal,Spatula discors,Xarxet alablau,Rares/Accidentals
Northern Shoveler,Spatula clypeata,Ànec cullerot comú,
Gadwall,Mareca strepera,Ànec grisset,
Eurasian Wigeon,Mareca penelope,Ànec xiulador comú,
American Wigeon,Mareca americana,Ànec xiulador nord-americà,Rares/Accidentals
Mallard,Anas platyrhynchos,Ànec collverd,
American Black Duck,Anas rubripes,Ànec negrós,Rares/Accidentals
Northern Pintail,Anas acuta,Ànec cuallarg,
Green-winged Teal,Anas crecca,Xarxet comú,
Marbled Teal,Marmaronetta angustirostris,Xarxet marbrenc,Vulnerable
Red-crested Pochard,Netta rufina,Xibec comú,
Redhead,Aythya americana,Morell americà,Rares/Accidentals
Common Pochard,Aythya ferina,Morell cap-roig,Vulnerable
Ring-necked Duck,Aythya collaris,Morell de collar,Rares/Accidentals
Ferruginous Duck,Aythya nyroca,Morell xocolater,Prop de l'amenaça
Tufted Duck,Aythya fuligula,Morell de plomall,
Greater Scaup,Aythya marila,Morell buixot,
Lesser Scaup,Aythya affinis,Morell petit,Rares/Accidentals
Steller's Eider,Polysticta stelleri,Èider de Steller,Rares/Accidentals Vulnerable
King Eider,Somateria spectabilis,Èider reial,Rares/Accidentals
Common Eider,Somateria mollissima,Èider comú,Prop de l'amenaça
Surf Scoter,Melanitta perspicillata,Ànec negre frontblanc,Rares/Accidentals
Velvet Scoter,Melanitta fusca,Ànec fosc eurasiàtic,Vulnerable
Stejneger's Scoter,Melanitta stejnegeri,Ànec fosc siberià,Rares/Accidentals
Common Scoter,Melanitta nigra,Ànec negre comú,
Black Scoter,Melanitta americana,Ànec negre americà,Rares/Accidentals Prop de l'amenaça
Long-tailed Duck,Clangula hyemalis,Ànec glacial,Vulnerable
Bufflehead,Bucephala albeola,Morell capblanc,Rares/Accidentals
Common Goldeneye,Bucephala clangula,Morell d'ulls grocs,
Barrow's Goldeneye,Bucephala islandica,Morell d’Islandia,Rares/Accidentals
Smew,Mergellus albellus,Bec de serra petit,
Common Merganser,Mergus merganser,Bec de serra gros,
Red-breasted Merganser,Mergus serrator,Bec de serra mitjà,
Ruddy Duck,Oxyura jamaicensis,malvasia de Jamaica,Espècies introduïdes
White-headed Duck,Oxyura leucocephala,Malvasia capblanca,Rares/Accidentals En Perill
California Quail,Callipepla californica,Colí de Califòrnia,Espècies introduïdes
Hazel Grouse,Tetrastes bonasia,Grèvol comú,
Rock Ptarmigan,Lagopus muta,Perdiu blanca,
Western Capercaillie,Tetrao urogallus,Gall fer comú,
Black Grouse,Lyrurus tetrix,Gall de cua forcada,
Gray Partridge,Perdix perdix,Perdiu xerra,
Reeves's Pheasant,Syrmaticus reevesii,Faisà venerat,Espècies introduïdes Vulnerable
Ring-necked Pheasant,Phasianus colchicus,Faisà comú,Espècies introduïdes
Common Quail,Coturnix coturnix,Guatlla comuna,
Barbary Partridge,Alectoris barbara,Perdiu de Barbaria,Erradicades
Red-legged Partridge,Alectoris rufa,Perdiu roja,Prop de l'amenaça
Rock Partridge,Alectoris graeca,Perdiu grega,Prop de l'amenaça
Greater Flamingo,Phoenicopterus roseus,Flamenc comú,
Lesser Flamingo,Phoeniconaias minor,Flamenc nan,Rares/Accidentals Prop de l'amenaça
Little Grebe,Tachybaptus ruficollis,Cabusset comú,
Pied-billed Grebe,Podilymbus podiceps,Cabusset becgròs,Rares/Accidentals
Horned Grebe,Podiceps auritus,Cabussó orellut,Vulnerable
Red-necked Grebe,Podiceps grisegena,Cabussó gris,
Great Crested Grebe,Podiceps cristatus,Cabussó emplomallat,
Eared Grebe,Podiceps nigricollis,Cabussó collnegre,
Rock Pigeon,Columba livia,Colom roquer,
Stock Dove,Columba oenas,Xixella,
Common Wood-Pigeon,Columba palumbus,Tudó,
European Turtle-Dove,Streptopelia turtur,Tórtora eurasiàtica,Vulnerable
Oriental Turtle-Dove,Streptopelia orientalis,Tórtora rogenca,Rares/Accidentals
Eurasian Collared-Dove,Streptopelia decaocto,Tórtora turca,
Pallas's Sandgrouse,Syrrhaptes paradoxus,Ganga estepària,Rares/Accidentals
Pin-tailed Sandgrouse,Pterocles alchata,Ganga eurasiàtica,
Great Bustard,Otis tarda,Pioc salvatge eurasiàtic,Vulnerable
Macqueen's Bustard,Chlamydotis macqueenii,Hubara asiàtica,Rares/Accidentals Vulnerable
Little Bustard,Tetrax tetrax,Sisó comú,Prop de l'amenaça
Great Spotted Cuckoo,Clamator glandarius,Cucut reial europeu,
Yellow-billed Cuckoo,Coccyzus americanus,Cucut becgroc,Rares/Accidentals
Black-billed Cuckoo,Coccyzus erythropthalmus,Cucut becnegre,Rares/Accidentals
Common Cuckoo,Cuculus canorus,Cucut comú,
Common Nighthawk,Chordeiles minor,Enganyapastors americà,Rares/Accidentals
Red-necked Nightjar,Caprimulgus ruficollis,Siboc,Rares/Accidentals
Eurasian Nightjar,Caprimulgus europaeus,enganyapastors comú,
Chimney Swift,Chaetura pelagica,Falciot cuaespinós de xemeneia,Vulnerable
Alpine Swift,Apus melba,Ballester,
Common Swift,Apus apus,Falciot negre,
Pallid Swift,Apus pallidus,Falciot pàl·lid,
Little Swift,Apus affinis,Falciot cuablanc comú,Rares/Accidentals
White-rumped Swift,Apus caffer,Falciot cuablanc africà,Rares/Accidentals
Water Rail,Rallus aquaticus,Rascló occidental,
Corn Crake,Crex crex,Guatlla maresa eurasiàtica,
Sora,Porzana carolina,Polla pintada americana,Rares/Accidentals
Spotted Crake,Porzana porzana,Polla pintada europea,
Eurasian Moorhen,Gallinula chloropus,Polla d'aigua comuna,
Eurasian Coot,Fulica atra,Fotja comuna,
Red-knobbed Coot,Fulica cristata,Fotja banyuda,Rares/Accidentals
Allen's Gallinule,Porphyrio alleni,Polla blava d'Allen,Rares/Accidentals
Western Swamphen,Porphyrio porphyrio,Polla blava comuna,
Little Crake,Zapornia parva,Rascletó,
Baillon's Crake,Zapornia pusilla,Rasclet europeu,Rares/Accidentals
Demoiselle Crane,Anthropoides virgo,Grua damisel·la,Rares/Accidentals
Sandhill Crane,Antigone canadensis,Grua del Canadà,Rares/Accidentals
Common Crane,Grus grus,Grua europea,
Eurasian Thick-knee,Burhinus oedicnemus,Torlit comú,
Black-winged Stilt,Himantopus himantopus,Camallarga comú,
Pied Avocet,Recurvirostra avosetta,Bec d'alena comú,
Eurasian Oystercatcher,Haematopus ostralegus,Garsa de mar eurasiàtica,Prop de l'amenaça
Black-bellied Plover,Pluvialis squatarola,Pigre gris,
European Golden-Plover,Pluvialis apricaria,Daurada grossa,
American Golden-Plover,Pluvialis dominica,Daurada americana,Rares/Accidentals
Pacific Golden-Plover,Pluvialis fulva,Daurada del Pacífic,Rares/Accidentals
Northern Lapwing,Vanellus vanellus,Fredeluga europea,Prop de l'amenaça
Spur-winged Lapwing,Vanellus spinosus,Fredeluga esperonada,Rares/Accidentals
Sociable Lapwing,Vanellus gregarius,Fredeluga gregària,Rares/Accidentals En perill crític
White-tailed Lapwing,Vanellus leucurus,Fredeluga cuablanca,Rares/Accidentals
Lesser Sand-Plover,Charadrius mongolus,Corriol mongol,Rares/Accidentals
Greater Sand-Plover,Charadrius leschenaultii,Corriol de Leschnault,Rares/Accidentals
Caspian Plover,Charadrius asiaticus,Corriol asiàtic,Rares/Accidentals
Kittlitz's Plover,Charadrius pecuarius,Corriol pecuari,Rares/Accidentals
Kentish Plover,Charadrius alexandrinus,Corriol camanegre,
Common Ringed Plover,Charadrius hiaticula,Corriol anellat gros,
Semipalmated Plover,Charadrius semipalmatus,Corriol semipalmat,Rares/Accidentals
Little Ringed Plover,Charadrius dubius,Corriol anellat petit,
Killdeer,Charadrius vociferus,Corriol cua-roig,Rares/Accidentals
Eurasian Dotterel,Charadrius morinellus,Corriol pit-roig,
Upland Sandpiper,Bartramia longicauda,Territ cuallarg,Rares/Accidentals
Whimbrel,Numenius phaeopus,Polit cantaire,
Slender-billed Curlew,Numenius tenuirostris,Becut bec fí,Rares/Accidentals En perill crític
Eurasian Curlew,Numenius arquata,Becut eurasiàtic,Prop de l'amenaça
Bar-tailed Godwit,Limosa lapponica,Tètol cuabarrat,Prop de l'amenaça
Black-tailed Godwit,Limosa limosa,Tètol cuanegre,Prop de l'amenaça
Ruddy Turnstone,Arenaria interpres,Remena-rocs comú,
Red Knot,Calidris canutus,Territ gros,Prop de l'amenaça
Ruff,Calidris pugnax,Batallaire,
Broad-billed Sandpiper,Calidris falcinellus,Territ becadell,Rares/Accidentals
Sharp-tailed Sandpiper,Calidris acuminata,Territ acuminat,Rares/Accidentals
Stilt Sandpiper,Calidris himantopus,Territ camallarg,Rares/Accidentals
Curlew Sandpiper,Calidris ferruginea,Territ becllarg,Prop de l'amenaça
Temminck's Stint,Calidris temminckii,Territ de Temminck,
Long-toed Stint,Calidris subminuta,Territ menut siberià,Rares/Accidentals
Red-necked Stint,Calidris ruficollis,Territ de gola roja,Rares/Accidentals Prop de l'amenaça
Sanderling,Calidris alba,Territ de tres dits,
Dunlin,Calidris alpina,Territ variant,
Purple Sandpiper,Calidris maritima,Territ fosc,
Baird's Sandpiper,Calidris bairdii,Territ de Baird,Rares/Accidentals
Little Stint,Calidris minuta,Territ menut comú,
Least Sandpiper,Calidris minutilla,Territ menut canadenc,Rares/Accidentals
White-rumped Sandpiper,Calidris fuscicollis,Territ cuablanc,Rares/Accidentals
Buff-breasted Sandpiper,Calidris subruficollis,Territ rogenc,Rares/Accidentals Prop de l'amenaça
Pectoral Sandpiper,Calidris melanotos,Territ pectoral,
Semipalmated Sandpiper,Calidris pusilla,Territ semipalmat,Rares/Accidentals Prop de l'amenaça
Western Sandpiper,Calidris mauri,Territ d'Alaska,Rares/Accidentals
Short-billed Dowitcher,Limnodromus griseus,Tetolet gris,Rares/Accidentals
Long-billed Dowitcher,Limnodromus scolopaceus,Tetolet becllarg,Rares/Accidentals
Jack Snipe,Lymnocryptes minimus,Becadell sord,
Eurasian Woodcock,Scolopax rusticola,Becada eurasiàtica,
American Woodcock,Scolopax minor,Becada americana,Rares/Accidentals
Great Snipe,Gallinago media,Becadell reial,Rares/Accidentals Prop de l'amenaça
Common Snipe,Gallinago gallinago,Becadell comú,
Wilson's Snipe,Gallinago delicata,Becadell de Wilson,Rares/Accidentals
Terek Sandpiper,Xenus cinereus,Siseta cendrosa,Rares/Accidentals
Wilson's Phalarope,Phalaropus tricolor,Escuraflascons de Wilson,Rares/Accidentals
Red-necked Phalarope,Phalaropus lobatus,Escuraflascons becfí,
Red Phalarope,Phalaropus fulicarius,Escuraflascons becgròs,
Common Sandpiper,Actitis hypoleucos,Xivitona comuna,
Spotted Sandpiper,Actitis macularius,Xivitona maculada,Rares/Accidentals
Green Sandpiper,Tringa ochropus,Xivita comuna,
Solitary Sandpiper,Tringa solitaria,Xivita solitària,Rares/Accidentals
Spotted Redshank,Tringa erythropus,Gamba roja pintada,
Greater Yellowlegs,Tringa melanoleuca,Gamba groga grossa,Rares/Accidentals
Common Greenshank,Tringa nebularia,Gamba verda,
Willet,Tringa semipalmata,Gamba alanegra,Rares/Accidentals
Lesser Yellowlegs,Tringa flavipes,Gamba groga petita,Rares/Accidentals
Marsh Sandpiper,Tringa stagnatilis,Siseta comuna,
Wood Sandpiper,Tringa glareola,Valona,
Common Redshank,Tringa totanus,Gamba roja comuna,
Cream-colored Courser,Cursorius cursor,Corredor cremós,Rares/Accidentals
Collared Pratincole,Glareola pratincola,Perdiu de mar europea,
Oriental Pratincole,Glareola maldivarum,Perdiu de mar oriental,Rares/Accidentals
Black-winged Pratincole,Glareola nordmanni,Perdiu de mar alanegra,Prop de l'amenaça
Great Skua,Stercorarius skua,Paràsit boreal,
Pomarine Jaeger,Stercorarius pomarinus,Paràsit cuaample,
Parasitic Jaeger,Stercorarius parasiticus,Paràsit cuapunxegut,
Long-tailed Jaeger,Stercorarius longicaudus,Paràsit cuallarg,
Dovekie,Alle alle,Gavotí atlàntic,
Common Murre,Uria aalge,Somorgollaire comú,
Thick-billed Murre,Uria lomvia,Somorgollaire de Brünnich,Rares/Accidentals
Razorbill,Alca torda,Gavot,
Great Auk,Pinguinus impennis,Alca gegant,Rares/Accidentals Extingida
Black Guillemot,Cepphus grylle,Somorgollaire alablanc,Rares/Accidentals
Atlantic Puffin,Fratercula arctica,Fraret atlàntic,Vulnerable
Black-legged Kittiwake,Rissa tridactyla,Gavineta de tres dits,Vulnerable
Ivory Gull,Pagophila eburnea,Gavina d'ivori,Rares/Accidentals Prop de l'amenaça
Sabine's Gull,Xema sabini,Gavineta de Sabine,
Slender-billed Gull,Chroicocephalus genei,Gavina capblanca,
Bonaparte's Gull,Chroicocephalus philadelphia,Gavina de Bonaparte,Rares/Accidentals
Black-headed Gull,Chroicocephalus ridibundus,Gavina riallera,
Little Gull,Hydrocoloeus minutus,Gavina menuda,
Ross's Gull,Rhodostethia rosea,Gavina rosada,Rares/Accidentals
Laughing Gull,Leucophaeus atricilla,Gavina capnegra americana,Rares/Accidentals
Franklin's Gull,Leucophaeus pipixcan,Gavina de Franklin,Rares/Accidentals
Mediterranean Gull,Ichthyaetus melanocephalus,Gavina capnegra,
Pallas's Gull,Ichthyaetus ichthyaetus,Gavinot capnegra,Rares/Accidentals
Audouin's Gull,Ichthyaetus audouinii,Gavina corsa,Vulnerable
Common Gull,Larus canus,Gavina cendrosa,
Ring-billed Gull,Larus delawarensis,Gavina de Delaware,
Herring Gull,Larus argentatus,Gavià argentat europeu,
Yellow-legged Gull,Larus michahellis,Gavià de potes grogues,
Caspian Gull,Larus cachinnans,Gavià del Caspi,
Iceland Gull,Larus glaucoides,Gavinot polar,
Lesser Black-backed Gull,Larus fuscus,Gavià fosc,
Glaucous Gull,Larus hyperboreus,Gavinot hiperbori,
Great Black-backed Gull,Larus marinus,Gavinot atlàntic,
Kelp Gull,Larus dominicanus,Gavià de Lichtenstein,Rares/Accidentals
Sooty Tern,Onychoprion fuscatus,Xatrac fosc,Rares/Accidentals
Bridled Tern,Onychoprion anaethetus,Xatrac embridat,Rares/Accidentals
Little Tern,Sternula albifrons,Xatrac menut comú,
Gull-billed Tern,Gelochelidon nilotica,Curroc comú,
Caspian Tern,Hydroprogne caspia,Xatrac gros,
Black Tern,Chlidonias niger,Fumarell negre,
White-winged Tern,Chlidonias leucopterus,Fumarell alablanc,
Whiskered Tern,Chlidonias hybrida,Fumarell carablanc,
Roseate Tern,Sterna dougallii,Xatrac rosat,
Common Tern,Sterna hirundo,Xatrac comú,
Arctic Tern,Sterna paradisaea,Xatrac àrtic,
Forster's Tern,Sterna forsteri,Xatrac de Forster,Rares/Accidentals
Royal Tern,Thalasseus maximus,xatrac reial bec-roig,Rares/Accidentals
Sandwich Tern,Thalasseus sandvicensis,Xatrac becllarg,
Elegant Tern,Thalasseus elegans,Xatrac elegant,Rares/Accidentals Prop de l'amenaça
Lesser Crested Tern,Thalasseus bengalensis,Xatrac de Bengala,Rares/Accidentals
West African Crested Tern,Thalasseus albididorsalis,,Rares/Accidentals
Red-throated Loon,Gavia stellata,Calàbria petita,
Arctic Loon,Gavia arctica,Calàbria agulla,
Common Loon,Gavia immer,Calàbria grossa,
Yellow-billed Loon,Gavia adamsii,Calàbria de bec pàl·lid,Rares/Accidentals Prop de l'amenaça
Yellow-nosed Albatross,Thalassarche chlororhynchos,Albatros becgroc de l'Atlàntic,Rares/Accidentals
Black-browed Albatross,Thalassarche melanophris,Albatros cellanegre,Rares/Accidentals
Wilson's Storm-Petrel,Oceanites oceanicus,Ocell de tempesta de Wilson,Rares/Accidentals
European Storm-Petrel,Hydrobates pelagicus,Ocell de tempesta comú,
Leach's Storm-Petrel,Hydrobates leucorhous,ocell de tempesta boreal,Vulnerable
Swinhoe's Storm-Petrel,Hydrobates monorhis,Ocell de tempesta de Swinhoe,Rares/Accidentals Prop de l'amenaça
Band-rumped Storm-Petrel,Hydrobates castro,Ocell de tempesta de Madeira,Rares/Accidentals
Northern Fulmar,Fulmarus glacialis,Fulmar boreal,
Fea's Petrel,Pterodroma feae,Petrell de Cap Verd,Rares/Accidentals
Bulwer's Petrel,Bulweria bulwerii,Petrell de Bulwer,Rares/Accidentals
Cory's Shearwater,Calonectris diomedea,Baldriga cendrosa,
Great Shearwater,Ardenna gravis,Baldriga capnegra,
Sooty Shearwater,Ardenna grisea,Baldriga grisa,Prop de l'amenaça
Short-tailed Shearwater,Ardenna tenuirostris,Baldriga de Tasmània,Rares/Accidentals
Manx Shearwater,Puffinus puffinus,Baldriga pufí,
Yelkouan Shearwater,Puffinus yelkouan,Baldriga mediterrània,Vulnerable
Balearic Shearwater,Puffinus mauretanicus,Baldriga balear,En perill crític
Barolo Shearwater,Puffinus baroli,Baldriga petita de l’Atlàntic Nord,Rares/Accidentals
Black Stork,Ciconia nigra,Cigonya negra,
White Stork,Ciconia ciconia,Cigonya blanca,
Magnificent Frigatebird,Fregata magnificens,Fregata magnífica,Rares/Accidentals
Masked Booby,Sula dactylatra,Mascarell emmascarat,Rares/Accidentals
Brown Booby,Sula leucogaster,Mascarell bru,Rares/Accidentals
Red-footed Booby,Sula sula,Mascarell cama-roig,Rares/Accidentals
Northern Gannet,Morus bassanus,Mascarell atlàntic,
Pygmy Cormorant,Microcarbo pygmaeus,Corb marí pigmeu,Rares/Accidentals
Great Cormorant,Phalacrocorax carbo,Corb marí gros,
European Shag,Gulosus aristotelis,Corb marí emplomallat,
Double-crested Cormorant,Nannopterum auritum,Corb marí orellut,Rares/Accidentals
Great White Pelican,Pelecanus onocrotalus,Pelicà blanc comú,Rares/Accidentals
Dalmatian Pelican,Pelecanus crispus,Pelicà cresp,Rares/Accidentals Prop de l'amenaça
Great Bittern,Botaurus stellaris,Bitó comú,
Little Bittern,Ixobrychus minutus,Martinet menut comú,
Great Blue Heron,Ardea herodias,Bernat americà,Rares/Accidentals
Gray Heron,Ardea cinerea,Bernat pescaire,
Black-headed Heron,Ardea melanocephala,Bernat capnegre,Rares/Accidentals
Purple Heron,Ardea purpurea,Agró roig,
Great Egret,Ardea alba,Agró blanc,
Intermediate Egret,Ardea intermedia,Martinet intermedi,Rares/Accidentals
Little Egret,Egretta garzetta,Martinet blanc comú,
Western Reef-Heron,Egretta gularis,Martinet dels esculls,Rares/Accidentals
Cattle Egret,Bubulcus ibis,Esplugabous,
Squacco Heron,Ardeola ralloides,Martinet ros comú,
Green Heron,Butorides virescens,Martinet verd,Rares/Accidentals
Striated Heron,Butorides striata,Martinet verd,Rares/Accidentals
Black-crowned Night-Heron,Nycticorax nycticorax,Martinet de nit comú,
Glossy Ibis,Plegadis falcinellus,Capó reial,
African Sacred Ibis,Threskiornis aethiopicus,Ibis sagrat africà,Espècies introduïdes
Northern Bald Ibis,Geronticus eremita,Ibis ermità,Espècies introduïdes En Perill
Eurasian Spoonbill,Platalea leucorodia,Becplaner comú,
Osprey,Pandion haliaetus,Àguila pescadora,
Black-winged Kite,Elanus caeruleus,Esparver d'espatlles negres,
Bearded Vulture,Gypaetus barbatus,Trencalòs,Prop de l'amenaça
Egyptian Vulture,Neophron percnopterus,Aufrany comú,En Perill
European Honey-buzzard,Pernis apivorus,Aligot vesper europeu,
Cinereous Vulture,Aegypius monachus,Voltor negre,Prop de l'amenaça
Lappet-faced Vulture,Torgos tracheliotos,Voltor orellut,Rares/Accidentals En Perill
Rüppell's Griffon,Gyps rueppelli,Voltor de Rüppell,Rares/Accidentals En perill crític
Eurasian Griffon,Gyps fulvus,Voltor comú,
Short-toed Snake-Eagle,Circaetus gallicus,Àguila marcenca,
Lesser Spotted Eagle,Clanga pomarina,Àguila pomerània,Rares/Accidentals
Greater Spotted Eagle,Clanga clanga,Àguila cridanera,Rares/Accidentals Vulnerable
Booted Eagle,Hieraaetus pennatus,Àguila calçada comuna,
Steppe Eagle,Aquila nipalensis,Àguila d'estepa,Rares/Accidentals En Perill
Spanish Eagle,Aquila adalberti,Àguila imperial ibèrica,Rares/Accidentals Vulnerable
Imperial Eagle,Aquila heliaca,Àguila imperial oriental,Rares/Accidentals Vulnerable
Golden Eagle,Aquila chrysaetos,Àguila daurada,
Bonelli's Eagle,Aquila fasciata,Àguila cuabarrada,
Eurasian Marsh-Harrier,Circus aeruginosus,Arpella comuna,
Hen Harrier,Circus cyaneus,Arpella pàl·lida comuna,
Pallid Harrier,Circus macrourus,Arpella pàl·lida russa,Rares/Accidentals Prop de l'amenaça
Montagu's Harrier,Circus pygargus,Arpella cendrosa,
Eurasian Sparrowhawk,Accipiter nisus,Esparver comú,
Northern Goshawk,Accipiter gentilis,Astor comú,
Red Kite,Milvus milvus,Milà reial,
Black Kite,Milvus migrans,Milà negre,
White-tailed Eagle,Haliaeetus albicilla,Pigarg cuablanc,
Rough-legged Hawk,Buteo lagopus,Aligot calçat,Rares/Accidentals
Common Buzzard,Buteo buteo,Aligot comú,
