overlap,detection_sensitivity,freq_filter,id_PR_AUC,id_ROC_AUC,rec_PR_AUC,rec_ROC_AUC,ds_PR_AUC,ds_ROC_AUC
0s,0.5,Unfiltered,0.312,0.011,0.177,0.049,0.255,0.084
0s,1.0,Unfiltered,0.384,0.012,0.316,0.051,0.360,0.076
0s,1.5,Unfiltered,0.382,0.023,0.420,0.136,0.449,0.130
1s,0.5,Unfiltered,0.374,0.014,0.213,0.051,0.363,0.038
1s,1.0,Unfiltered,0.408,0.018,0.336,0.060,0.409,0.062
1s,1.5,Unfiltered,0.388,0.031,0.423,0.143,0.428,0.148
2s,0.5,Unfiltered,0.363,0.036,0.246,0.058,0.354,0.057
2s,1.0,Unfiltered,0.428,0.036,0.380,0.062,0.445,0.058
2s,1.5,Unfiltered,0.432,0.054,0.416,0.157,0.446,0.152
2s,1.5,Filtered,0.633,0.017,0.363,0.148,0.410,0.193
