"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,255,528,30303,587,0.302850356294537,0.0171256203172132,0.302850356294537,0.325670498084291,0.313846153846154,0.324233358264772,0.32542771221349
0.11,250,485,30347,591,0.297265160523187,0.0157304099636741,0.297265160523187,0.340136054421769,0.317258883248731,0.337274819458773,0.339651067378701
0.12,242,458,30374,599,0.287752675386445,0.0148546964193046,0.287752675386445,0.345714285714286,0.314081765087605,0.341665974586828,0.34502618540111
0.13,238,434,30396,605,0.28232502965599,0.0140771975348686,0.28232502965599,0.354166666666667,0.314191419141914,0.348943510133678,0.353276604500096
0.14,235,413,30416,609,0.278436018957346,0.0133964773427617,0.278436018957346,0.362654320987654,0.315013404825737,0.35631466286122,0.361571506916093
0.15,233,388,30439,613,0.275413711583924,0.0125863690920297,0.275413711583924,0.375201288244767,0.317655078391275,0.367371545167872,0.373860134083182
0.16,228,373,30454,618,0.269503546099291,0.0120997826580595,0.269503546099291,0.37936772046589,0.315134761575674,0.370483655132862,0.377842680405605
0.17,226,354,30474,619,0.267455621301775,0.011483067341378,0.267455621301775,0.389655172413793,0.31719298245614,0.379456790123457,0.387900416348033
0.18,222,333,30495,623,0.262721893491124,0.0108018684312962,0.262721893491124,0.4,0.317142857142857,0.388071979434447,0.397941254769722
0.19,219,318,30509,627,0.25886524822695,0.0103156324001687,0.25886524822695,0.407821229050279,0.316702819956616,0.39446916719644,0.405510944890551
0.2,218,314,30513,628,0.257683215130024,0.0101858760177766,0.257683215130024,0.409774436090226,0.316400580551524,0.396024791622141,0.407393701661548
0.21,214,301,30526,632,0.252955082742317,0.00976416777500243,0.252955082742317,0.415533980582524,0.314474650991918,0.400396213955536,0.412906430290758
0.22,213,294,30532,634,0.251475796930342,0.00953740349055992,0.251475796930342,0.420118343195266,0.314623338257016,0.404174573055028,0.417347275302151
0.23,209,281,30545,638,0.246753246753247,0.00911568156750795,0.246753246753247,0.426530612244898,0.31264023934181,0.409001956947162,0.423475836058338
