"recording_id","initial_time","final_time","species","confidence","correct_identification"
"1","17","20","Burhinus oedicnemus","0.3492","FALSE"
"1","17","20","Tachybaptus ruficollis","0.2318","FALSE"
"1","18","21","Luscinia megarhynchos","0.1016","TRUE"
"1","23","26","Tachybaptus ruficollis","0.2771","FALSE"
"1","24","27","Strix aluco","0.2928","TRUE"
"1","25","28","Strix aluco","0.6771","TRUE"
"1","26","29","Strix aluco","0.7478","TRUE"
"1","29","32","Coturnix coturnix","0.1003","FALSE"
"1","30","33","Strix aluco","0.9058","TRUE"
"1","31","34","Strix aluco","0.6322","TRUE"
"1","32","35","Strix aluco","0.5176","TRUE"
"1","42","45","Luscinia megarhynchos","0.1012","TRUE"
"1","43","46","Luscinia megarhynchos","0.1287","TRUE"
"1","46","49","Strix aluco","0.3289","TRUE"
"1","47","50","Strix aluco","0.1014","TRUE"
"2","7","10","Anthus trivialis","0.2862","FALSE"
"2","8","11","Remiz pendulinus","0.7656","FALSE"
"2","16","19","Cettia cetti","0.1153","FALSE"
"2","22","25","Remiz pendulinus","0.1144","FALSE"
"2","28","31","Emberiza cirlus","0.1841","FALSE"
"2","33","36","Saxicola rubicola","0.1533","FALSE"
"2","41","44","Carduelis citrinella","0.1196","FALSE"
"2","42","45","Emberiza cia","0.1034","FALSE"
"2","48","51","Remiz pendulinus","0.1434","FALSE"
"2","49","52","Remiz pendulinus","0.1747","FALSE"
"2","53","56","Coturnix coturnix","0.5329","FALSE"
"2","55","58","Anthus trivialis","0.1525","FALSE"
"3","18","21","Lanius senator","0.4424","FALSE"
"4","0","3","Luscinia megarhynchos","1","TRUE"
"4","1","4","Luscinia megarhynchos","0.9995","TRUE"
"4","2","5","Luscinia megarhynchos","0.9991","TRUE"
"4","3","6","Luscinia megarhynchos","0.7765","TRUE"
"4","4","7","Emberiza cirlus","0.1002","FALSE"
"4","6","9","Luscinia megarhynchos","0.9183","TRUE"
"4","7","10","Luscinia megarhynchos","0.9092","TRUE"
"4","8","11","Luscinia megarhynchos","0.9999","TRUE"
"4","9","12","Luscinia megarhynchos","0.9999","TRUE"
"4","10","13","Luscinia megarhynchos","0.9999","TRUE"
"4","11","14","Luscinia megarhynchos","1","TRUE"
"4","12","15","Luscinia megarhynchos","0.9999","TRUE"
"4","13","16","Luscinia megarhynchos","0.9999","TRUE"
"4","14","17","Luscinia megarhynchos","0.3539","TRUE"
"4","16","19","Luscinia megarhynchos","0.8938","TRUE"
"4","17","20","Luscinia megarhynchos","0.9525","TRUE"
"4","18","21","Luscinia megarhynchos","0.16","TRUE"
"4","19","22","Luscinia megarhynchos","0.944","TRUE"
"4","20","23","Luscinia megarhynchos","0.3874","TRUE"
"4","22","25","Luscinia megarhynchos","0.9782","TRUE"
"4","23","26","Luscinia megarhynchos","0.9438","TRUE"
"4","24","27","Luscinia megarhynchos","0.9897","TRUE"
"4","25","28","Luscinia megarhynchos","0.4836","TRUE"
"4","26","29","Luscinia megarhynchos","0.9718","TRUE"
"4","27","30","Luscinia megarhynchos","0.9843","TRUE"
"4","28","31","Luscinia megarhynchos","0.9987","TRUE"
"4","29","32","Luscinia megarhynchos","0.9985","TRUE"
"4","30","33","Luscinia megarhynchos","0.9986","TRUE"
"4","31","34","Luscinia megarhynchos","0.8171","TRUE"
"4","32","35","Luscinia megarhynchos","0.9957","TRUE"
"4","33","36","Luscinia megarhynchos","0.9993","TRUE"
"4","34","37","Luscinia megarhynchos","0.9945","TRUE"
"4","35","38","Luscinia megarhynchos","0.9793","TRUE"
"4","36","39","Luscinia megarhynchos","0.8717","TRUE"
"4","37","40","Luscinia megarhynchos","0.9165","TRUE"
"4","40","43","Luscinia megarhynchos","0.7936","TRUE"
"4","41","44","Luscinia megarhynchos","0.449","TRUE"
"4","42","45","Luscinia megarhynchos","0.9757","TRUE"
"4","43","46","Luscinia megarhynchos","0.9593","TRUE"
"4","44","47","Luscinia megarhynchos","0.9625","TRUE"
"4","45","48","Luscinia megarhynchos","0.8537","TRUE"
"4","46","49","Luscinia megarhynchos","0.9799","TRUE"
"4","47","50","Luscinia megarhynchos","0.8379","TRUE"
"4","48","51","Luscinia megarhynchos","0.6257","TRUE"
"4","49","52","Oenanthe oenanthe","0.1388","FALSE"
"4","51","54","Luscinia megarhynchos","0.9988","TRUE"
"4","52","55","Luscinia megarhynchos","0.7234","TRUE"
"4","53","56","Luscinia megarhynchos","0.9932","TRUE"
"4","54","57","Luscinia megarhynchos","0.8681","TRUE"
"4","55","58","Luscinia megarhynchos","0.9483","TRUE"
"4","56","59","Luscinia megarhynchos","0.9858","TRUE"
"4","57","60","Luscinia megarhynchos","0.9911","TRUE"
"5","4","7","Sitta europaea","0.1327","FALSE"
"5","7","10","Luscinia megarhynchos","0.3665","TRUE"
"5","8","11","Luscinia megarhynchos","0.5023","TRUE"
"5","9","12","Luscinia megarhynchos","0.3244","TRUE"
"5","13","16","Luscinia megarhynchos","0.1171","TRUE"
"5","17","20","Coturnix coturnix","0.4323","FALSE"
"5","24","27","Luscinia megarhynchos","0.2585","TRUE"
"5","25","28","Luscinia megarhynchos","0.1413","TRUE"
"5","28","31","Luscinia megarhynchos","0.124","TRUE"
"5","32","35","Luscinia megarhynchos","0.627","TRUE"
"5","33","36","Luscinia megarhynchos","0.1301","TRUE"
"5","34","37","Luscinia megarhynchos","0.8626","TRUE"
"5","37","40","Burhinus oedicnemus","0.817","FALSE"
"5","39","42","Luscinia megarhynchos","0.8934","TRUE"
"5","40","43","Luscinia megarhynchos","0.8349","TRUE"
"5","41","44","Luscinia megarhynchos","0.8029","TRUE"
"5","42","45","Luscinia megarhynchos","0.2708","TRUE"
"5","43","46","Luscinia megarhynchos","0.6556","TRUE"
"5","44","47","Luscinia megarhynchos","0.9485","TRUE"
"5","45","48","Luscinia megarhynchos","0.6375","TRUE"
"5","53","56","Luscinia megarhynchos","0.8607","TRUE"
"5","54","57","Luscinia megarhynchos","0.8518","TRUE"
"5","55","58","Luscinia megarhynchos","0.9115","TRUE"
"6","15","18","Parus major","0.2018","TRUE"
"6","16","19","Parus major","0.3004","TRUE"
"6","29","32","Luscinia megarhynchos","0.1148","TRUE"
"6","42","45","Luscinia megarhynchos","0.3552","TRUE"
"6","43","46","Luscinia megarhynchos","0.7256","TRUE"
"6","44","47","Luscinia megarhynchos","0.4491","TRUE"
"6","57","60","Acrocephalus arundinaceus","0.1652","FALSE"
"7","10","13","Coturnix coturnix","0.1076","FALSE"
"8","1","4","Emberiza cirlus","0.5251","TRUE"
"8","2","5","Phylloscopus bonelli","0.2207","FALSE"
"8","2","5","Emberiza cirlus","0.2162","TRUE"
"8","3","6","Emberiza cirlus","0.3991","TRUE"
"8","4","7","Parus major","0.222","FALSE"
"8","6","9","Hippolais polyglotta","0.9791","TRUE"
"8","7","10","Hippolais polyglotta","0.8325","TRUE"
"8","8","11","Hippolais polyglotta","0.8797","TRUE"
"8","10","13","Sylvia borin","0.1611","FALSE"
"8","12","15","Emberiza cirlus","0.4936","TRUE"
"8","12","15","Emberiza citrinella","0.1334","FALSE"
"8","13","16","Hippolais polyglotta","0.6843","TRUE"
"8","14","17","Hippolais polyglotta","0.835","TRUE"
"8","15","18","Hippolais polyglotta","0.8119","TRUE"
"8","16","19","Hippolais polyglotta","0.2697","TRUE"
"8","17","20","Hippolais polyglotta","0.8734","TRUE"
"8","34","37","Aegithalos caudatus","0.1047","FALSE"
"8","40","43","Hippolais polyglotta","0.5251","TRUE"
"8","41","44","Hippolais polyglotta","0.9876","TRUE"
"8","42","45","Hippolais polyglotta","0.9899","TRUE"
"8","43","46","Hippolais polyglotta","0.9872","TRUE"
"8","44","47","Hippolais polyglotta","0.9873","TRUE"
"8","45","48","Hippolais polyglotta","0.9387","TRUE"
"8","46","49","Carduelis carduelis","0.1737","FALSE"
"8","47","50","Carduelis carduelis","0.3376","FALSE"
"8","50","53","Sylvia borin","0.2381","FALSE"
"9","4","7","Hippolais polyglotta","0.1885","TRUE"
"9","6","9","Hippolais polyglotta","0.1086","TRUE"
"9","8","11","Hippolais polyglotta","0.9809","TRUE"
"9","9","12","Hippolais polyglotta","0.9992","TRUE"
"9","10","13","Hippolais polyglotta","0.9387","TRUE"
"9","11","14","Hippolais polyglotta","0.9999","TRUE"
"9","12","15","Hippolais polyglotta","0.9996","TRUE"
"9","13","16","Hippolais polyglotta","0.964","TRUE"
"9","14","17","Curruca communis","0.4753","FALSE"
"9","14","17","Sylvia borin","0.2911","FALSE"
"9","14","17","Hippolais polyglotta","0.2762","TRUE"
"9","16","19","Hippolais polyglotta","0.1073","TRUE"
"9","17","20","Hippolais polyglotta","0.274","TRUE"
"9","18","21","Phylloscopus bonelli","0.1128","FALSE"
"9","19","22","Hippolais polyglotta","0.6388","FALSE"
"9","19","22","Anthus trivialis","0.1183","FALSE"
"9","20","23","Phoenicurus phoenicurus","0.3927","FALSE"
"9","21","24","Hippolais polyglotta","0.3104","TRUE"
"9","23","26","Sylvia borin","0.2112","FALSE"
"9","23","26","Hippolais polyglotta","0.1897","TRUE"
"9","24","27","Hippolais polyglotta","0.8935","TRUE"
"9","25","28","Hippolais polyglotta","0.956","TRUE"
"9","26","29","Hippolais polyglotta","0.9348","TRUE"
"9","27","30","Hippolais polyglotta","1","TRUE"
"9","28","31","Hippolais polyglotta","1","TRUE"
"9","29","32","Hippolais polyglotta","0.9992","TRUE"
"9","32","35","Milvus milvus","0.1661","FALSE"
"9","32","35","Anthus trivialis","0.1162","FALSE"
"9","34","37","Phylloscopus bonelli","0.3259","TRUE"
"9","34","37","Hippolais polyglotta","0.1898","FALSE"
"9","35","38","Anthus trivialis","0.108","FALSE"
"9","40","43","Hippolais polyglotta","0.3705","FALSE"
"9","41","44","Hippolais polyglotta","0.7053","TRUE"
"9","42","45","Carduelis citrinella","0.231","FALSE"
"9","42","45","Hippolais polyglotta","0.171","TRUE"
"9","48","51","Hippolais polyglotta","0.196","TRUE"
"9","49","52","Phylloscopus bonelli","0.8821","TRUE"
"9","50","53","Hippolais polyglotta","0.703","TRUE"
"9","50","53","Phylloscopus bonelli","0.5499","TRUE"
"9","57","60","Hippolais polyglotta","0.1022","TRUE"
"10","1","4","Saxicola rubicola","0.3779","TRUE"
"10","2","5","Saxicola rubicola","0.846","TRUE"
"10","2","5","Hippolais polyglotta","0.386","FALSE"
"10","3","6","Saxicola rubicola","0.263","TRUE"
"10","4","7","Saxicola rubicola","0.5154","TRUE"
"10","9","12","Saxicola rubicola","0.9916","TRUE"
"10","10","13","Saxicola rubicola","0.6504","TRUE"
"10","11","14","Saxicola rubicola","0.9992","TRUE"
"10","12","15","Saxicola rubicola","0.9919","TRUE"
"10","14","17","Saxicola rubicola","0.9612","TRUE"
"10","15","18","Saxicola rubicola","0.9985","TRUE"
"10","16","19","Saxicola rubicola","0.9992","TRUE"
"10","17","20","Saxicola rubicola","0.911","TRUE"
"10","18","21","Saxicola rubicola","0.1477","TRUE"
"10","19","22","Saxicola rubicola","0.7322","TRUE"
"10","20","23","Saxicola rubicola","0.4516","TRUE"
"10","21","24","Saxicola rubicola","0.9934","TRUE"
"10","22","25","Saxicola rubicola","0.9988","TRUE"
"10","23","26","Saxicola rubicola","0.9998","TRUE"
"10","24","27","Saxicola rubicola","0.9995","TRUE"
"10","25","28","Saxicola rubicola","0.9763","TRUE"
"10","26","29","Saxicola rubicola","0.1316","TRUE"
"10","27","30","Saxicola rubicola","0.5746","TRUE"
"10","27","30","Curruca communis","0.4592","FALSE"
"10","28","31","Saxicola rubicola","0.9465","TRUE"
"10","29","32","Saxicola rubicola","0.9866","TRUE"
"10","32","35","Picus viridis","0.9982","TRUE"
"10","33","36","Picus viridis","0.9999","TRUE"
"10","34","37","Picus viridis","0.9272","TRUE"
"10","35","38","Saxicola rubicola","0.7527","TRUE"
