"recording_id","initial_time","final_time","species","total_time","min_code_n_ind","correctly_identified"
1,0,3,"Luscinia megarhynchos",1.98,1,FALSE
1,1,4,"Luscinia megarhynchos",0.98,1,FALSE
1,5,8,"Luscinia megarhynchos",0.6,1,FALSE
1,6,9,"Luscinia megarhynchos",1.6,1,FALSE
1,7,10,"Luscinia megarhynchos",2.08,1,FALSE
1,8,11,"Luscinia megarhynchos",1.48,1,FALSE
1,9,12,"Luscinia megarhynchos",0.48,1,FALSE
1,10,13,"Luscinia megarhynchos",0.49,4,FALSE
1,11,14,"Luscinia megarhynchos",1.49,4,FALSE
1,12,15,"Luscinia megarhynchos",2.49,4,FALSE
1,13,16,"Luscinia megarhynchos",3,4,FALSE
1,14,17,"Luscinia megarhynchos",2.67,4,FALSE
1,15,18,"Luscinia megarhynchos",1.67,4,FALSE
1,16,19,"Luscinia megarhynchos",0.67,4,FALSE
1,17,20,"Luscinia megarhynchos",0.38,1,FALSE
1,18,21,"Luscinia megarhynchos",1.38,1,FALSE
1,19,22,"Luscinia megarhynchos",1.47,1,FALSE
1,20,23,"Luscinia megarhynchos",1.09,1,FALSE
1,21,24,"Luscinia megarhynchos",0.09,1,FALSE
1,21,24,"Luscinia megarhynchos",0.47,4,FALSE
1,22,25,"Luscinia megarhynchos",1.47,4,FALSE
1,23,26,"Luscinia megarhynchos",2.47,4,FALSE
1,23,26,"Strix aluco",0.15,1,FALSE
1,24,27,"Luscinia megarhynchos",3,4,FALSE
1,24,27,"Strix aluco",0.73,1,TRUE
1,25,28,"Luscinia megarhynchos",2.25,4,FALSE
1,25,28,"Strix aluco",0.73,1,TRUE
1,26,29,"Luscinia megarhynchos",1.25,4,FALSE
1,26,29,"Strix aluco",0.58,1,TRUE
1,27,30,"Luscinia megarhynchos",0.25,4,FALSE
1,28,31,"Luscinia megarhynchos",0.13,1,FALSE
1,29,32,"Luscinia megarhynchos",1.13,1,FALSE
1,30,33,"Luscinia megarhynchos",1.89,1,FALSE
1,30,33,"Strix aluco",0.8,1,TRUE
1,31,34,"Luscinia megarhynchos",1.76,1,FALSE
1,31,34,"Strix aluco",1.8,1,TRUE
