"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,254,592,30237,590,0.300947867298578,0.0192026987576632,0.300947867298578,0.300236406619385,0.300591715976331,0.300278164116829,0.300244892505645
0.11,248,540,30288,597,0.293491124260355,0.017516543402102,0.293491124260355,0.314720812182741,0.303735456215554,0.313387348546793,0.314448879983012
0.12,245,490,30337,601,0.289598108747045,0.0158951568430272,0.289598108747045,0.333333333333333,0.309930423782416,0.33039822306838,0.332732584524163
0.13,236,444,30384,609,0.279289940828402,0.0144024912417283,0.279289940828402,0.347058823529412,0.309508196721312,0.342174840085288,0.346054942993186
0.14,232,412,30415,614,0.274231678486998,0.0133649073863821,0.274231678486998,0.360248447204969,0.311409395973154,0.35372197309417,0.358902574389754
0.15,225,374,30453,621,0.265957446808511,0.0121322217536575,0.265957446808511,0.375626043405676,0.311418685121107,0.36673058485139,0.373783354447188
0.16,219,356,30470,628,0.258559622195986,0.0115486926620385,0.258559622195986,0.380869565217391,0.308016877637131,0.370558375634518,0.378727710117084
0.17,215,331,30493,634,0.253239104829211,0.0107383856735012,0.253239104829211,0.393772893772894,0.308243727598566,0.38132498695879,0.391177603654609
0.18,211,307,30516,639,0.248235294117647,0.00996009473445155,0.248235294117647,0.407335907335907,0.308479532163743,0.392536660100679,0.40423843190702
0.19,204,283,30540,646,0.24,0.00918145540667683,0.24,0.418891170431211,0.305160807778609,0.401295996297153,0.415191288697628
0.2,198,271,30552,652,0.232941176470588,0.00879213574278948,0.232941176470588,0.422174840085288,0.300227445034117,0.402920756523821,0.418114065743764
0.21,193,257,30565,658,0.226792009400705,0.00833819998702226,0.226792009400705,0.428888888888889,0.296694850115296,0.407527015277605,0.424367870229902
0.22,191,238,30584,660,0.224441833137485,0.00772175718642528,0.224441833137485,0.445221445221445,0.2984375,0.420868438107583,0.440046383188052
0.23,189,219,30602,663,0.221830985915493,0.00710554492067097,0.221830985915493,0.463235294117647,0.3,0.435365853658537,0.457285902389907
0.24,183,211,30610,669,0.214788732394366,0.0068459816358976,0.214788732394366,0.464467005076142,0.293739967897271,0.434740078256009,0.458100631892621
0.25,179,197,30625,672,0.210340775558167,0.00639153851145286,0.210340775558167,0.476063829787234,0.291768541157294,0.443133828454929,0.468980740471518
0.26,178,183,30639,673,0.209165687426557,0.00593731750048667,0.209165687426557,0.493074792243767,0.293729372937294,0.456616870378754,0.485201204103129
0.27,174,170,30652,677,0.204465334900118,0.00551554084744663,0.204465334900118,0.505813953488372,0.291213389121339,0.465460267505901,0.497055719620624
0.28,174,161,30660,678,0.204225352112676,0.00522371110606405,0.204225352112676,0.519402985074627,0.293176074136479,0.476175144880876,0.509993362470505
0.29,172,148,30672,681,0.201641266119578,0.00480207657365347,0.201641266119578,0.5375,0.293265132139812,0.489536246442324,0.527005675988802
0.3,171,145,30674,683,0.200234192037471,0.0047048898406827,0.200234192037471,0.541139240506329,0.292307692307692,0.491878172588832,0.530344426895929
0.31,169,131,30687,686,0.19766081871345,0.00425076254137193,0.19766081871345,0.563333333333333,0.292640692640693,0.508045977011494,0.551143483633563
0.32,169,126,30692,686,0.19766081871345,0.00408851969628139,0.19766081871345,0.572881355932203,0.293913043478261,0.515336322869955,0.560168399403299
0.33,168,118,30700,687,0.196491228070175,0.00382893114413654,0.196491228070175,0.587412587412587,0.294478527607362,0.525870005523845,0.573765419080094
0.34,167,113,30705,688,0.195321637426901,0.00366668829904601,0.195321637426901,0.596428571428571,0.294273127753304,0.532146204311153,0.582136454672106
0.35,163,107,30711,692,0.190643274853801,0.00347199688493737,0.190643274853801,0.603703703703704,0.289777777777778,0.535458937198068,0.588460667283762
0.36,163,101,30715,694,0.190198366394399,0.00327751817237799,0.190198366394399,0.617424242424242,0.290811775200714,0.545365085613068,0.601277400529286
0.37,160,94,30722,697,0.186697782963827,0.00305036344755971,0.186697782963827,0.62992125984252,0.288028802880288,0.552733184312132,0.612536156753213
