"habitat","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"crop",0.1,54,141,6532,128,0.296703296703297,0.0211299265697587,0.296703296703297,0.276923076923077,0.286472148541114,0.27801332525742,0.277143966953716
"crop",0.11,54,129,6544,128,0.296703296703297,0.0193316349468005,0.296703296703297,0.295081967213115,0.295890410958904,0.295176848874598,0.295101246097509
"crop",0.12,53,114,6558,130,0.289617486338798,0.0170863309352518,0.289617486338798,0.317365269461078,0.302857142857143,0.315586690017513,0.317002168256465
"crop",0.13,50,102,6570,133,0.273224043715847,0.0152877697841727,0.273224043715847,0.328947368421053,0.298507462686567,0.325047801147228,0.328147260014149
"crop",0.14,50,93,6578,134,0.271739130434783,0.0139409383900465,0.271739130434783,0.34965034965035,0.305810397553517,0.343851132686084,0.348455928123261
"crop",0.15,49,85,6586,135,0.266304347826087,0.0127417178833758,0.266304347826087,0.365671641791045,0.308176100628931,0.357817869415808,0.364047644215805
"crop",0.16,47,80,6590,138,0.254054054054054,0.0119940029985007,0.254054054054054,0.37007874015748,0.301282051282051,0.360396932792061,0.368069112532256
"crop",0.17,46,69,6600,140,0.247311827956989,0.0103463787674314,0.247311827956989,0.4,0.305647840531561,0.385982230997038,0.397069183441279
"crop",0.18,45,63,6605,142,0.240641711229947,0.00944811037792441,0.240641711229947,0.416666666666667,0.305084745762712,0.399477806788512,0.413054459939762
"crop",0.19,42,57,6611,145,0.224598930481283,0.00854829034193161,0.224598930481283,0.424242424242424,0.293706293706294,0.403162055335968,0.41978142000954
"crop",0.2,40,53,6615,147,0.213903743315508,0.00794841031793641,0.213903743315508,0.43010752688172,0.285714285714286,0.405970149253731,0.424972208429952
"crop",0.21,40,50,6618,147,0.213903743315508,0.00749850029994001,0.213903743315508,0.444444444444444,0.288808664259928,0.417947141979103,0.438790540489277
"crop",0.22,40,46,6622,147,0.213903743315508,0.00689862027594481,0.213903743315508,0.465116279069767,0.293040293040293,0.435060780550224,0.458676201838376
"crop",0.23,39,43,6625,148,0.20855614973262,0.00644871025794841,0.20855614973262,0.475609756097561,0.28996282527881,0.442294863242161,0.468438585518859
"crop",0.24,37,40,6628,150,0.197860962566845,0.00599880023995201,0.197860962566845,0.480519480519481,0.28030303030303,0.443269908386187,0.472450471659431
"crop",0.25,36,38,6630,151,0.192513368983957,0.00569886022795441,0.192513368983957,0.486486486486487,0.275862068965517,0.446389496717724,0.477764359247706
"crop",0.26,36,34,6634,151,0.192513368983957,0.00509898020395921,0.192513368983957,0.514285714285714,0.280155642023346,0.468247895944912,0.504210332578218
"crop",0.27,36,33,6635,151,0.192513368983957,0.00494901019796041,0.192513368983957,0.521739130434783,0.28125,0.474051123160341,0.511285707670352
"crop",0.28,36,31,6636,152,0.191489361702128,0.00464976751162442,0.191489361702128,0.537313432835821,0.282352941176471,0.485714285714286,0.525957491035701
"crop",0.29,35,28,6639,153,0.186170212765957,0.00419979001049947,0.186170212765957,0.555555555555556,0.278884462151394,0.497491638795987,0.542682627905409
"crop",0.3,34,27,6639,155,0.17989417989418,0.00405040504050405,0.17989417989418,0.557377049180328,0.272,0.496137339055794,0.543736539473414
"crop",0.31,34,24,6642,155,0.17989417989418,0.0036003600360036,0.17989417989418,0.586206896551724,0.275303643724696,0.517457475380483,0.570793986753341
"crop",0.32,34,22,6644,155,0.17989417989418,0.0033003300330033,0.17989417989418,0.607142857142857,0.277551020408163,0.532718894009217,0.590379656492282
"crop",0.33,34,21,6645,155,0.17989417989418,0.00315031503150315,0.17989417989418,0.618181818181818,0.278688524590164,0.540692235734331,0.600685322473375
"crop",0.34,34,20,6646,155,0.17989417989418,0.003000300030003,0.17989417989418,0.62962962962963,0.279835390946502,0.548907882241216,0.611357171917444
"crop",0.35,32,17,6649,157,0.169312169312169,0.00255025502550255,0.169312169312169,0.653061224489796,0.26890756302521,0.559095580678315,0.631490692555019
"crop",0.36,32,13,6652,158,0.168421052631579,0.00195048762190548,0.168421052631579,0.711111111111111,0.272340425531915,0.597802197802198,0.684733292458614
"crop",0.37,31,13,6652,159,0.163157894736842,0.00195048762190548,0.163157894736842,0.704545454545455,0.264957264957265,0.589485458612975,0.677662584505065
"crop",0.38,31,13,6652,159,0.163157894736842,0.00195048762190548,0.163157894736842,0.704545454545455,0.264957264957265,0.589485458612975,0.677662584505065
"crop",0.39,30,11,6654,160,0.157894736842105,0.00165041260315079,0.157894736842105,0.731707317073171,0.25974025974026,0.602836879432624,0.701240213399848
"crop",0.4,30,11,6654,160,0.157894736842105,0.00165041260315079,0.157894736842105,0.731707317073171,0.25974025974026,0.602836879432624,0.701240213399848
"crop",0.41,29,11,6654,161,0.152631578947368,0.00165041260315079,0.152631578947368,0.725,0.252173913043478,0.593975903614458,0.693891108536845
"crop",0.42,29,10,6655,161,0.152631578947368,0.00150037509377344,0.152631578947368,0.743589743589744,0.253275109170306,0.605651105651106,0.710692752851159
"crop",0.43,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.44,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.45,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.46,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.47,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.48,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.49,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.5,28,10,6655,162,0.147368421052632,0.00150037509377344,0.147368421052632,0.736842105263158,0.245614035087719,0.596491228070175,0.703213479242661
"crop",0.51,28,9,6656,162,0.147368421052632,0.0013503375843961,0.147368421052632,0.756756756756757,0.246696035242291,0.608695652173913,0.721107407313163
"crop",0.52,28,8,6657,162,0.147368421052632,0.00120030007501875,0.147368421052632,0.777777777777778,0.247787610619469,0.621409921671018,0.739935768557926
"crop",0.53,27,8,6657,163,0.142105263157895,0.00120030007501875,0.142105263157895,0.771428571428571,0.24,0.612,0.732638944743827
"crop",0.54,27,8,6657,163,0.142105263157895,0.00120030007501875,0.142105263157895,0.771428571428571,0.24,0.612,0.732638944743827
"crop",0.55,27,6,6659,163,0.142105263157895,0.000900225056264066,0.142105263157895,0.818181818181818,0.242152466367713,0.639275766016713,0.774149409331709
"crop",0.56,26,6,6659,164,0.136842105263158,0.000900225056264066,0.136842105263158,0.8125,0.234234234234234,0.62962962962963,0.767211872066241
"crop",0.57,26,6,6659,164,0.136842105263158,0.000900225056264066,0.136842105263158,0.8125,0.234234234234234,0.62962962962963,0.767211872066241
"crop",0.58,25,6,6659,165,0.131578947368421,0.000900225056264066,0.131578947368421,0.806451612903226,0.226244343891403,0.619533527696793,0.759857653382984
"crop",0.59,25,6,6659,165,0.131578947368421,0.000900225056264066,0.131578947368421,0.806451612903226,0.226244343891403,0.619533527696793,0.759857653382984
"crop",0.6,24,5,6660,166,0.126315789473684,0.000750187546886722,0.126315789473684,0.827586206896552,0.219178082191781,0.623853211009174,0.776075912968466
"crop",0.61,24,5,6660,166,0.126315789473684,0.000750187546886722,0.126315789473684,0.827586206896552,0.219178082191781,0.623853211009174,0.776075912968466
"crop",0.62,24,5,6660,166,0.126315789473684,0.000750187546886722,0.126315789473684,0.827586206896552,0.219178082191781,0.623853211009174,0.776075912968466
"crop",0.63,23,5,6660,167,0.121052631578947,0.000750187546886722,0.121052631578947,0.821428571428571,0.211009174311927,0.612852664576803,0.768286082048912
"crop",0.64,21,5,6660,169,0.110526315789474,0.000750187546886722,0.110526315789474,0.807692307692308,0.194444444444444,0.589108910891089,0.751054807590374
"crop",0.65,21,5,6660,169,0.110526315789474,0.000750187546886722,0.110526315789474,0.807692307692308,0.194444444444444,0.589108910891089,0.751054807590374
"crop",0.66,21,5,6660,169,0.110526315789474,0.000750187546886722,0.110526315789474,0.807692307692308,0.194444444444444,0.589108910891089,0.751054807590374
"crop",0.67,21,5,6660,169,0.110526315789474,0.000750187546886722,0.110526315789474,0.807692307692308,0.194444444444444,0.589108910891089,0.751054807590374
"crop",0.68,21,5,6660,169,0.110526315789474,0.000750187546886722,0.110526315789474,0.807692307692308,0.194444444444444,0.589108910891089,0.751054807590374
"crop",0.69,19,5,6660,171,0.1,0.000750187546886722,0.1,0.791666666666667,0.177570093457944,0.562717770034843,0.731202707327275
"crop",0.7,19,4,6661,171,0.1,0.000600150037509377,0.1,0.826086956521739,0.178403755868545,0.578853046594982,0.760105142495751
"crop",0.71,18,4,6661,172,0.0947368421052632,0.000600150037509377,0.0947368421052632,0.818181818181818,0.169811320754717,0.564575645756458,0.749734556977653
"crop",0.72,17,4,6661,173,0.0894736842105263,0.000600150037509377,0.0894736842105263,0.80952380952381,0.161137440758294,0.549429657794677,0.738473754238379
"crop",0.73,17,4,6661,173,0.0894736842105263,0.000600150037509377,0.0894736842105263,0.80952380952381,0.161137440758294,0.549429657794677,0.738473754238379
"crop",0.74,17,4,6661,173,0.0894736842105263,0.000600150037509377,0.0894736842105263,0.80952380952381,0.161137440758294,0.549429657794677,0.738473754238379
"crop",0.75,15,4,6661,175,0.0789473684210526,0.000600150037509377,0.0789473684210526,0.789473684210526,0.143540669856459,0.516194331983806,0.712779942720316
"crop",0.76,14,4,6661,176,0.0736842105263158,0.000600150037509377,0.0736842105263158,0.777777777777778,0.134615384615385,0.497907949790795,0.698034385930342
"crop",0.77,13,3,6662,177,0.068421052631579,0.000450112528132033,0.068421052631579,0.8125,0.12621359223301,0.495515695067265,0.719017432646593
"crop",0.78,13,2,6663,177,0.068421052631579,0.000300075018754689,0.068421052631579,0.866666666666667,0.126829268292683,0.513953488372093,0.760581536505
"crop",0.79,13,2,6663,177,0.068421052631579,0.000300075018754689,0.068421052631579,0.866666666666667,0.126829268292683,0.513953488372093,0.760581536505
"crop",0.8,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.81,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.82,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.83,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.84,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.85,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.86,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.87,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.88,11,2,6663,179,0.0578947368421053,0.000300075018754689,0.0578947368421053,0.846153846153846,0.108374384236453,0.469849246231156,0.727701156938362
"crop",0.89,10,2,6663,180,0.0526315789473684,0.000300075018754689,0.0526315789473684,0.833333333333333,0.099009900990099,0.445026178010471,0.70781173508637
"crop",0.9,9,2,6663,181,0.0473684210526316,0.000300075018754689,0.0473684210526316,0.818181818181818,0.0895522388059701,0.418032786885246,0.684931197834424
"crop",0.91,9,2,6663,181,0.0473684210526316,0.000300075018754689,0.0473684210526316,0.818181818181818,0.0895522388059701,0.418032786885246,0.684931197834424
"crop",0.92,9,2,6663,181,0.0473684210526316,0.000300075018754689,0.0473684210526316,0.818181818181818,0.0895522388059701,0.418032786885246,0.684931197834424
"crop",0.93,9,2,6663,181,0.0473684210526316,0.000300075018754689,0.0473684210526316,0.818181818181818,0.0895522388059701,0.418032786885246,0.684931197834424
"crop",0.94,8,2,6663,182,0.0421052631578947,0.000300075018754689,0.0421052631578947,0.8,0.08,0.388571428571429,0.658329945524026
"crop",0.95,8,2,6663,182,0.0421052631578947,0.000300075018754689,0.0421052631578947,0.8,0.08,0.388571428571429,0.658329945524026
"crop",0.96,8,2,6663,182,0.0421052631578947,0.000300075018754689,0.0421052631578947,0.8,0.08,0.388571428571429,0.658329945524026
"crop",0.97,6,1,6664,184,0.0315789473684211,0.000150037509377344,0.0315789473684211,0.857142857142857,0.0609137055837563,0.337748344370861,0.653037961071083
"crop",0.98,4,0,6665,186,0.0210526315789474,0,0.0210526315789474,1,0.0412371134020619,0.267716535433071,0.642705191300206
"crop",0.99,3,0,6665,187,0.0157894736842105,0,0.0157894736842105,1,0.0310880829015544,0.214285714285714,0.572994904699
"grassland",0.1,78,171,9050,195,0.285714285714286,0.0185446263962694,0.285714285714286,0.313253012048193,0.298850574712644,0.311486962649753,0.312892459194945
"grassland",0.11,76,155,9065,198,0.277372262773723,0.0168112798264642,0.277372262773723,0.329004329004329,0.300990099009901,0.32544080604534,0.328273771164849
"grassland",0.12,76,140,9080,198,0.277372262773723,0.0151843817787419,0.277372262773723,0.351851851851852,0.310204081632653,0.346380697050938,0.350725940814006
