"recording_id","initial_time","final_time","species","confidence","correct_identification"
"1","9","12","Burhinus oedicnemus","0.1058","FALSE"
"1","18","21","Luscinia megarhynchos","0.1483","TRUE"
"1","24","27","Strix aluco","0.2415","TRUE"
"1","30","33","Strix aluco","0.7411","TRUE"
"1","33","36","Burhinus oedicnemus","0.1272","FALSE"
"1","42","45","Luscinia megarhynchos","0.1289","TRUE"
"1","54","57","Chloris chloris","0.1665","FALSE"
"2","3","6","Remiz pendulinus","0.1402","FALSE"
"2","6","9","Anthus trivialis","0.1408","FALSE"
"2","9","12","Sturnus unicolor","0.161","FALSE"
"2","12","15","Remiz pendulinus","0.1078","FALSE"
"2","12","15","Emberiza cirlus","0.1063","FALSE"
"2","15","18","Phylloscopus bonelli","0.112","FALSE"
"2","15","18","Cettia cetti","0.103","FALSE"
"2","24","27","Emberiza schoeniclus","0.1358","FALSE"
"2","24","27","Remiz pendulinus","0.1107","FALSE"
"2","27","30","Remiz pendulinus","0.1572","FALSE"
"2","27","30","Emberiza schoeniclus","0.1042","FALSE"
"2","33","36","Saxicola rubicola","0.2136","FALSE"
"2","33","36","Cettia cetti","0.1544","FALSE"
"2","36","39","Anthus trivialis","0.1197","FALSE"
"2","39","42","Emberiza schoeniclus","0.1157","FALSE"
"2","42","45","Emberiza cia","0.2044","FALSE"
"2","42","45","Hippolais polyglotta","0.1644","FALSE"
"2","45","48","Anthus trivialis","0.1679","FALSE"
"2","48","51","Remiz pendulinus","0.2442","FALSE"
"2","57","60","Hippolais polyglotta","0.1615","FALSE"
"2","57","60","Emberiza cirlus","0.1312","FALSE"
"3","18","21","Lanius senator","0.5496","FALSE"
"3","18","21","Anthus campestris","0.1033","FALSE"
"3","45","48","Remiz pendulinus","0.1023","FALSE"
"3","57","60","Curruca iberiae","0.1828","FALSE"
"3","57","60","Emberiza calandra","0.1603","FALSE"
"3","57","60","Saxicola rubicola","0.1022","FALSE"
"4","0","3","Luscinia megarhynchos","0.9989","TRUE"
"4","3","6","Luscinia megarhynchos","0.7154","TRUE"
"4","6","9","Luscinia megarhynchos","0.887","TRUE"
"4","9","12","Luscinia megarhynchos","0.9978","TRUE"
"4","12","15","Luscinia megarhynchos","0.9982","TRUE"
"4","18","21","Luscinia megarhynchos","0.2705","TRUE"
"4","21","24","Luscinia megarhynchos","0.1849","TRUE"
"4","24","27","Luscinia megarhynchos","0.9421","TRUE"
"4","27","30","Luscinia megarhynchos","0.9601","TRUE"
"4","30","33","Luscinia megarhynchos","0.9914","TRUE"
"4","33","36","Luscinia megarhynchos","0.9923","TRUE"
"4","36","39","Luscinia megarhynchos","0.8013","TRUE"
"4","39","42","Lanius senator","0.1","FALSE"
"4","42","45","Luscinia megarhynchos","0.9195","TRUE"
"4","45","48","Luscinia megarhynchos","0.8031","TRUE"
"4","48","51","Luscinia megarhynchos","0.6204","TRUE"
"4","51","54","Luscinia megarhynchos","0.9913","TRUE"
"4","54","57","Luscinia megarhynchos","0.8037","TRUE"
"4","57","60","Luscinia megarhynchos","0.9605","TRUE"
"5","9","12","Luscinia megarhynchos","0.4112","TRUE"
"5","9","12","Anthus trivialis","0.1384","FALSE"
"5","9","12","Phoenicurus phoenicurus","0.1077","FALSE"
"5","24","27","Luscinia megarhynchos","0.2673","TRUE"
"5","33","36","Luscinia megarhynchos","0.2114","TRUE"
"5","39","42","Luscinia megarhynchos","0.8039","TRUE"
"5","42","45","Luscinia megarhynchos","0.2676","TRUE"
"5","42","45","Tringa totanus","0.1877","FALSE"
"5","45","48","Luscinia megarhynchos","0.5686","TRUE"
"5","54","57","Luscinia megarhynchos","0.6746","TRUE"
"6","15","18","Parus major","0.3633","TRUE"
"6","42","45","Luscinia megarhynchos","0.3916","TRUE"
"6","51","54","Parus major","0.1056","TRUE"
"6","57","60","Acrocephalus arundinaceus","0.2531","FALSE"
"6","57","60","Lanius senator","0.1172","FALSE"
"7","27","30","Falco tinnunculus","0.1664","FALSE"
