"habitat","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"crop",0.1,63,250,6423,119,0.346153846153846,0.0374644088116289,0.346153846153846,0.201277955271566,0.254545454545455,0.20635838150289,0.202115494568325
"crop",0.11,62,229,6443,121,0.33879781420765,0.0343225419664269,0.33879781420765,0.213058419243986,0.261603375527426,0.217813597850796,0.213844209951166
"crop",0.12,61,208,6463,123,0.331521739130435,0.0311797331734373,0.331521739130435,0.226765799256506,0.269315673289183,0.231060606060606,0.227477477477477
"crop",0.13,58,197,6475,125,0.316939890710383,0.0295263788968825,0.316939890710383,0.227450980392157,0.264840182648402,0.231292517006803,0.22808861893081
"crop",0.14,56,177,6494,128,0.304347826086957,0.0265327537100884,0.304347826086957,0.240343347639485,0.268585131894484,0.243353783231084,0.240844830522909
"crop",0.15,56,159,6511,129,0.302702702702703,0.0238380809595202,0.302702702702703,0.26046511627907,0.28,0.262620689655172,0.260825455383906
"crop",0.16,55,154,6516,130,0.297297297297297,0.0230884557721139,0.297297297297297,0.263157894736842,0.279187817258883,0.264947577217342,0.263457434194925
"crop",0.17,55,142,6527,131,0.295698924731183,0.0212925476083371,0.295698924731183,0.279187817258883,0.287206266318538,0.280107849011384,0.279342250829729
"crop",0.18,53,133,6536,133,0.28494623655914,0.0199430199430199,0.28494623655914,0.28494623655914,0.28494623655914,0.28494623655914,0.28494623655914
"crop",0.19,51,121,6548,135,0.274193548387097,0.0181436497225971,0.274193548387097,0.296511627906977,0.284916201117318,0.295098706603131,0.296272863223283
"crop",0.2,49,113,6557,136,0.264864864864865,0.0169415292353823,0.264864864864865,0.302469135802469,0.282420749279539,0.299963989917177,0.302044552944767
"crop",0.21,49,104,6565,137,0.263440860215054,0.0155945419103314,0.263440860215054,0.320261437908497,0.289085545722714,0.316249050873197,0.319578974557665
"crop",0.22,48,98,6570,139,0.25668449197861,0.0146970605878824,0.25668449197861,0.328767123287671,0.288288288288288,0.323424494649227,0.327855548792859
"crop",0.23,47,94,6574,140,0.251336898395722,0.0140971805638872,0.251336898395722,0.333333333333333,0.286585365853659,0.32705689725747,0.332260096591307
"crop",0.24,45,88,6579,143,0.23936170212766,0.0131993400329983,0.23936170212766,0.338345864661654,0.280373831775701,0.330310880829015,0.336966192170819
"crop",0.25,44,85,6582,144,0.234042553191489,0.0127493625318734,0.234042553191489,0.341085271317829,0.277602523659306,0.33214920071048,0.339547677261614
"crop",0.26,44,80,6587,144,0.234042553191489,0.0119994000299985,0.234042553191489,0.354838709677419,0.282051282051282,0.344383057090239,0.353034636161424
"crop",0.27,44,77,6590,144,0.234042553191489,0.0115494225288736,0.234042553191489,0.363636363636364,0.284789644012945,0.352165725047081,0.361653645833333
"crop",0.28,44,72,6595,144,0.234042553191489,0.0107994600269987,0.234042553191489,0.379310344827586,0.289473684210526,0.365949119373777,0.376993552765524
"crop",0.29,44,70,6597,144,0.234042553191489,0.0104994750262487,0.234042553191489,0.385964912280702,0.291390728476821,0.371769383697813,0.383500172592337
"crop",0.3,42,68,6598,147,0.222222222222222,0.0102010201020102,0.222222222222222,0.381818181818182,0.280936454849498,0.366341713699333,0.379122352310305
"crop",0.31,41,64,6602,148,0.216931216931217,0.0096009600960096,0.216931216931217,0.39047619047619,0.27891156462585,0.372926698769395,0.387407615305454
"crop",0.32,40,61,6605,149,0.211640211640212,0.00915091509150915,0.211640211640212,0.396039603960396,0.275862068965517,0.376731301939058,0.392652347166877
"crop",0.33,40,60,6606,149,0.211640211640212,0.009000900090009,0.211640211640212,0.4,0.27681660899654,0.380100614868642,0.396506035921091
"crop",0.34,40,55,6611,149,0.211640211640212,0.00825082508250825,0.211640211640212,0.421052631578947,0.28169014084507,0.397893504973669,0.416967695324595
"crop",0.35,39,53,6613,150,0.206349206349206,0.00795079507950795,0.206349206349206,0.423913043478261,0.277580071174377,0.399157134256472,0.41953349664501
"crop",0.36,39,48,6617,151,0.205263157894737,0.00720180045011253,0.205263157894737,0.448275862068966,0.28158844765343,0.419089759797724,0.443082114735658
"crop",0.37,38,47,6618,152,0.2,0.00705176294073518,0.2,0.447058823529412,0.276363636363636,0.416774193548387,0.441657077100115
"crop",0.38,37,43,6622,153,0.194736842105263,0.00645161290322581,0.194736842105263,0.4625,0.274074074074074,0.427891156462585,0.456288156288156
"crop",0.39,35,38,6627,155,0.184210526315789,0.00570142535633908,0.184210526315789,0.479452054794521,0.26615969581749,0.438144329896907,0.47196261682243
