"recording_id","species","code_n_ind","total_time","total_time_detected","BirdNET_confidence","proportion_of_time_detected"
"1","Luscinia megarhynchos","1",9.548714,9.548714,0,1
"1","Luscinia megarhynchos","4",13.196727,13.196727,0,1
"1","Strix aluco","1",5.14420200000001,13.04311,0.393458333333333,2.53549724524814
"10","Fringilla coelebs","1",0.420277999999996,0.420277999999996,0,1
"10","Oriolus oriolus","1",0.327817,0.327817,0,1
"10","Picus viridis","1",2.77383600000001,10.706073,0.944711111111111,3.85966329660442
"10","Picus viridis","4",1.470973,5.67592,0.963375,3.85861603170147
"10","Saxicola rubicola","1",0.975044999999998,3.56451799999999,0.789233333333333,3.6557471706434
"10","Saxicola rubicola","4",27.528204,88.04195,0.617679857142857,3.19824533413077
"10","Sylvia atricapilla","4",14.028878,14.028878,0,1
"10","Turdus merula","1",2.034145,2.034145,0,1
"10","Turdus philomelos","1",5.581291,5.581291,0,1
"10","Turdus philomelos","4",9.851315,9.851315,0,1
"101","Certhia brachydactyla","1",1.445756,1.445756,0,1
"101","Cisticola juncidis","1",7.53138,18.174759,0.697691666666666,2.4132043529871
"101","Columba palumbus","1",4.782763,4.782763,0,1
"101","Corvus corone","1",2.916729,2.916729,0,1
"101","Curruca communis","1",4.900441,9.158173,0.202691666666667,1.86884670175603
"101","Curruca communis","4",27.158359,79.115018,0.628687777777778,2.9131000882638
"101","Emberiza cirlus","1",2.925136,2.925136,0,1
"101","Emberiza cirlus","4",1.672706,1.672706,0,1
"101","Oriolus oriolus","4",0.655633999999999,0.655633999999999,0,1
"101","Streptopelia turtur","4",30.932457,30.932457,0,1
"101","Sylvia atricapilla","1",2.462829,2.462829,0,1
"101","Sylvia atricapilla","2",3.933802,3.933802,0,1
"101","Sylvia atricapilla","4",18.626721,18.626721,0,1
"101","Turdus merula","1",1.15156200000001,1.15156200000001,0,1
"102","Curruca communis","1",4.37089,9.042325,0.274583333333333,2.06876059566816
"102","Sylvia atricapilla","1",7.119509,7.119509,0,1
"102","Sylvia atricapilla","4",30.318851,33.318851,0.063475,1.09894834075341
"102","Turdus merula","1",3.286573,3.286573,0,1
"104","Hirundo rustica","1",4.135535,6.517484,0.3302,1.57597118631568
"104","Streptopelia decaocto","1",16.46649,16.46649,0,1
"104","Troglodytes troglodytes","1",27.477772,27.477772,0,1
"104","Troglodytes troglodytes","4",7.245592,7.245592,0,1
"105","Oriolus oriolus","1",1.25242799999999,1.25242799999999,0,1
"105","Turdus merula","1",4.043074,4.043074,0,1
"106","Luscinia megarhynchos","1",9.405821,20.499552,0.623008333333333,2.17945376591793
"106","Luscinia megarhynchos","2",22.99761,58.553873,0.651366666666667,2.5460851366729
"107","Corvus corone","1",5.278691,5.278691,0,1
"107","Luscinia megarhynchos","4",22.829497,37.893303,0.268970833333333,1.65983959261126
"107","Passer domesticus","1",6.69923,6.69923,0,1
"107","Passer domesticus","4",17.088502,17.088502,0,1
"107","Sylvia atricapilla","1",4.723924,4.723924,0,1
"107","Sylvia atricapilla","4",26.679244,26.679244,0,1
"107","Turdus merula","4",1.874439,1.874439,0,1
"108","Luscinia megarhynchos","1",14.793784,14.793784,0,1
"108","Luscinia megarhynchos","2",1.050695,1.050695,0,1
"108","Prunella modularis","1",1.966901,3.85139,0.3131,1.95810058564208
"108","Prunella modularis","4",4.30364600000001,11.665384,0.7441,2.71058167888344
"108","Sylvia atricapilla","1",15.441013,20.984499,0.141858333333333,1.35901051310558
"108","Sylvia atricapilla","4",2.261095,6.52219,0.33485,2.88452718704875
"109","Luscinia megarhynchos","1",23.16572,23.16572,0,1
"109","Otus scops","1",57.678945,57.678945,0,1
"11","Luscinia megarhynchos","1",26.998655,36.096905,0.320109523809524,1.33698900926731
"11","Luscinia megarhynchos","2",4.093507,6.490959,0.3993,1.58567189453933
"11","Otus scops","1",2.57210000000001,2.57210000000001,0,1
"110","Certhia brachydactyla","4",2.227473,6.378773,0.78575,2.86368140040306
"110","Corvus corone","1",9.18727599999999,9.18727599999999,0,1
"110","Corvus corone","4",5.203041,5.203041,0,1
"110","Coturnix coturnix","4",3.916989,3.916989,0,1
"110","Emberiza citrinella","4",7.237186,8.831067,0.198425,1.22023490898258
"110","Fringilla coelebs","4",12.415009,15.09373,0.05806,1.21576472477789
"110","Hippolais polyglotta","4",38.295728,99.789789,0.523919607843137,2.60576816818837
"110","Luscinia megarhynchos","1",0.344628,0.344628,0,1
"110","Luscinia megarhynchos","4",1.756762,3.313621,0.5025,1.88620940115963
"110","Phylloscopus collybita","4",12.826883,12.826883,0,1
"110","Sylvia atricapilla","1",1.832411,1.832411,0,1
"110","Sylvia atricapilla","4",13.146294,17.018641,0.08619,1.29455807089055
"110","Turdus merula","1",2.664561,2.664561,0,1
"110","Turdus merula","4",3.723663,3.723663,0,1
"111","Fringilla coelebs","4",5.951136,5.951136,0,1
"111","Parus major","1",6.060408,6.060408,0,1
"111","Parus major","4",27.553422,32.094254,0.101257142857143,1.16480101818206
"111","Sylvia atricapilla","1",7.556598,7.556598,0,1
"111","Sylvia atricapilla","4",2.941945,4.92124799999999,0.329775,1.67278722069923
"111","Turdus merula","1",8.573671,8.573671,0,1
"111","Turdus merula","4",7.665871,7.665871,0,1
"112","Luscinia megarhynchos","1",6.505903,6.505903,0,1
"113","Corvus corone","1",1.092723,1.092723,0,1
"113","Corvus corone","4",18.181224,18.181224,0,1
"113","Curruca communis","1",1.420539,2.629034,0.2558,1.85072989900312
"113","Curruca communis","4",9.893341,34.178377,0.713653095238095,3.45468502500824
"113","Cyanistes caeruleus","4",1.269239,1.269239,0,1
"113","Erithacus rubecula","1",0.764905000000006,0.764905000000006,0,1
"113","Erithacus rubecula","2",2.790645,2.790645,0,1
"113","Erithacus rubecula","4",4.934063,4.934063,0,1
"113","Oriolus oriolus","1",0.68085,0.68085,0,1
"113","Phylloscopus collybita","1",0.899394999999991,0.899394999999991,0,1
"113","Phylloscopus collybita","4",9.304953,9.304953,0,1
"113","Sylvia atricapilla","4",15.659557,15.659557,0,1
"113","Troglodytes troglodytes","4",22.123431,22.123431,0,1
"113","Turdus merula","1",1.605461,1.605461,0,1
"113","Turdus philomelos","4",1.731545,1.731545,0,1
"114","Curruca communis","4",31.394762,38.612223,0.172033333333333,1.22989379565929
"114","Regulus ignicapilla","1",5.026525,10.5826,0.290866666666667,2.10535111234899
"114","Regulus ignicapilla","4",6.405037,15.227699,0.439083333333333,2.3774568359246
"114","Streptopelia turtur","1",3.328601,3.328601,0,1
"114","Sylvia atricapilla","1",4.555813,4.555813,0,1
"114","Sylvia atricapilla","2",3.690041,3.690041,0,1
"116","Cyanistes caeruleus","1",3.210924,3.210924,0,1
"116","Cyanistes caeruleus","4",1.395322,1.395322,0,1
"116","Erithacus rubecula","4",34.546848,78.638487,0.486845238095238,2.27628543709689
"116","Garrulus glandarius","1",1.580245,1.580245,0,1
"116","Phylloscopus collybita","4",16.769089,16.769089,0,1
"116","Streptopelia decaocto","1",30.243201,30.243201,0,1
"116","Sylvia atricapilla","1",6.194897,9.194897,0.35355,1.48426955282711
"116","Sylvia atricapilla","4",13.037021,13.037021,0,1
"116","Turdus merula","1",4.715519,4.715519,0,1
"116","Turdus merula","4",12.94456,12.94456,0,1
"117","Erithacus rubecula","1",5.724185,5.724185,0,1
"117","Garrulus glandarius","1",1.630679,1.630679,0,1
"117","Oriolus oriolus","1",1.613868,1.613868,0,1
"117","Phylloscopus collybita","1",1.000262,1.000262,0,1
"117","Phylloscopus collybita","4",7.89281999999999,7.89281999999999,0,1
"117","Prunella modularis","1",2.672968,6.510386,0.5621,2.43563933425316
"117","Sylvia atricapilla","1",5.79143,7.368985,0.21345,1.27239472807234
"117","Sylvia atricapilla","2",6.211708,12.211708,0.2777,1.96591790856879
"117","Sylvia atricapilla","4",26.544755,58.863569,0.4263225,2.2175216535244
"118","Luscinia megarhynchos","2",59.965257,59.965257,0,1
"119","Cisticola juncidis","1",11.608077,13.456478,0.19425,1.15923404022906
"119","Cyanistes caeruleus","1",0.790122000000004,0.790122000000004,0,1
"119","Erithacus rubecula","4",4.001046,4.001046,0,1
"119","Fringilla coelebs","4",1.992118,1.992118,0,1
"119","Luscinia megarhynchos","1",5.034931,5.034931,0,1
"119","Luscinia megarhynchos","4",6.539525,6.539525,0,1
"119","Phylloscopus collybita","1",0.521143999999999,0.521143999999999,0,1
"119","Sylvia atricapilla","1",3.841341,5.556075,0.17355,1.44638942494301
"119","Sylvia atricapilla","4",20.778542,20.778542,0,1
"119","Troglodytes troglodytes","1",10.82636,10.82636,0,1
"119","Troglodytes troglodytes","4",12.372983,12.372983,0,1
"119","Turdus merula","1",13.751493,13.751493,0,1
"119","Turdus merula","4",11.961111,11.961111,0,1
"12","Alauda arvensis","4",59.998879,83.998879,0.3638125,1.40000747347296
