"n_recordings_sampled","sample_number","minimum_confidence_threshold","n_species_correctly_detected","n_species_incorrectly_detected","total_species_detected"
10,1,0.25,12,18,18
10,1,0.85,7,0,18
10,1,0.9,7,0,18
10,2,0.25,9,13,20
10,2,0.85,7,1,20
10,2,0.9,7,1,20
10,3,0.25,10,15,28
10,3,0.85,3,0,28
10,3,0.9,3,0,28
10,4,0.25,12,20,32
10,4,0.85,4,0,32
10,4,0.9,4,0,32
10,5,0.25,11,14,29
10,5,0.85,6,3,29
10,5,0.9,4,2,29
10,6,0.25,11,12,29
10,6,0.85,8,1,29
10,6,0.9,6,1,29
10,7,0.25,8,7,22
10,7,0.85,4,3,22
10,7,0.9,4,2,22
10,8,0.25,14,15,28
10,8,0.85,7,2,28
10,8,0.9,6,1,28
10,9,0.25,13,13,26
10,9,0.85,6,0,26
10,9,0.9,5,0,26
10,10,0.25,12,13,32
10,10,0.85,7,1,32
10,10,0.9,7,0,32
10,11,0.25,13,16,32
10,11,0.85,10,1,32
10,11,0.9,8,0,32
10,12,0.25,7,8,14
10,12,0.85,3,0,14
10,12,0.9,2,0,14
10,13,0.25,8,12,24
10,13,0.85,6,0,24
10,13,0.9,5,0,24
10,14,0.25,9,11,28
10,14,0.85,3,1,28
10,14,0.9,2,0,28
10,15,0.25,15,12,30
10,15,0.85,10,1,30
10,15,0.9,9,0,30
10,16,0.25,9,11,24
10,16,0.85,5,1,24
10,16,0.9,4,0,24
10,17,0.25,11,10,19
10,17,0.85,6,0,19
10,17,0.9,5,0,19
10,18,0.25,12,16,25
10,18,0.85,9,2,25
10,18,0.9,8,2,25
10,19,0.25,9,8,24
10,19,0.85,6,1,24
10,19,0.9,4,1,24
10,20,0.25,8,13,28
10,20,0.85,3,2,28
10,20,0.9,3,2,28
10,21,0.25,8,10,20
10,21,0.85,5,1,20
10,21,0.9,5,0,20
10,22,0.25,13,10,30
10,22,0.85,8,0,30
10,22,0.9,7,0,30
10,23,0.25,9,15,24
10,23,0.85,6,2,24
10,23,0.9,6,2,24
10,24,0.25,11,9,22
10,24,0.85,5,2,22
10,24,0.9,5,0,22
10,25,0.25,11,11,23
10,25,0.85,9,1,23
10,25,0.9,8,1,23
10,26,0.25,8,15,22
10,26,0.85,3,1,22
10,26,0.9,3,0,22
10,27,0.25,10,15,22
10,27,0.85,6,3,22
10,27,0.9,4,2,22
10,28,0.25,12,15,27
10,28,0.85,2,0,27
10,28,0.9,2,0,27
10,29,0.25,14,14,31
10,29,0.85,7,1,31
10,29,0.9,5,0,31
10,30,0.25,13,13,28
10,30,0.85,8,0,28
10,30,0.9,5,0,28
