"species","n_recordings_clearly_detected","correctly_identified_15","incorrectly_identified_15","correctly_identified_75","incorrectly_identified_75","correctly_identified_90","incorrectly_identified_90","non_present_species_15","non_present_species_75","non_present_species_90"
"Accipiter gentilis","0","0","1","0","0","0","0","1","0","0"
"Accipiter nisus","0","0","1","0","0","0","0","1","0","0"
"Acrocephalus schoenobaenus","0","0","1","0","0","0","0","1","0","0"
"Aegithalos caudatus","4","1","4","1","0","0","0","0","0","0"
"Alauda arvensis","6","3","0","0","0","0","0","0","0","0"
"Alcedo atthis","0","0","2","0","0","0","0","2","0","0"
"Alectoris rufa","3","0","1","0","0","0","0","0","0","0"
"Anthus spinoletta","0","0","3","0","1","0","0","3","1","0"
"Anthus trivialis","3","3","17","3","1","2","1","0","0","0"
"Apus apus","0","0","3","0","0","0","0","3","0","0"
"Ardea cinerea","0","0","1","0","1","0","1","1","1","1"
"Ardea purpurea","0","0","1","0","0","0","0","1","0","0"
"Athene noctua","0","0","2","0","0","0","0","2","0","0"
"Burhinus oedicnemus","0","0","2","0","0","0","0","2","0","0"
"Buteo buteo","1","1","3","1","2","0","0","0","0","0"
"Calandrella brachydactyla","0","0","1","0","0","0","0","1","0","0"
"Carduelis carduelis","0","0","1","0","0","0","0","1","0","0"
"Carduelis citrinella","0","0","3","0","0","0","0","3","0","0"
"Certhia brachydactyla","10","6","1","3","0","3","0","0","0","0"
"Cettia cetti","0","0","15","0","1","0","0","15","1","0"
"Charadrius dubius","0","0","2","0","0","0","0","2","0","0"
"Chlidonias hybrida","0","0","2","0","0","0","0","2","0","0"
"Chloris chloris","5","0","2","0","0","0","0","0","0","0"
"Cinclus cinclus","0","0","1","0","0","0","0","1","0","0"
"Circus aeruginosus","0","0","1","0","0","0","0","1","0","0"
"Cisticola juncidis","5","2","0","2","0","2","0","0","0","0"
"Clamator glandarius","0","0","1","0","0","0","0","1","0","0"
"Coccothraustes coccothraustes","0","0","5","0","0","0","0","5","0","0"
"Columba oenas","2","0","0","0","0","0","0","0","0","0"
"Columba palumbus","16","0","0","0","0","0","0","0","0","0"
"Corvus corax","3","0","0","0","0","0","0","0","0","0"
"Corvus cornix","0","0","4","0","1","0","0","4","1","0"
"Corvus corone","42","8","1","3","0","2","0","0","0","0"
"Corvus monedula","2","0","0","0","0","0","0","0","0","0"
"Coturnix coturnix","9","4","18","3","0","3","0","0","0","0"
"Cuculus canorus","10","1","0","0","0","0","0","0","0","0"
"Curruca communis","50","22","13","9","0","7","0","0","0","0"
"Curruca hortensis","0","0","2","0","0","0","0","2","0","0"
"Curruca iberiae","0","0","5","0","0","0","0","5","0","0"
"Curruca melanocephala","0","0","8","0","1","0","1","8","1","1"
"Cyanistes caeruleus","23","4","1","2","1","2","0","0","0","0"
"Dendrocopos major","5","1","0","0","0","0","0","0","0","0"
"Dendrocoptes medius","3","2","2","2","0","2","0","0","0","0"
"Dryocopus martius","0","0","4","0","0","0","0","4","0","0"
"Emberiza calandra","32","11","3","3","0","2","0","0","0","0"
"Emberiza cia","0","0","16","0","1","0","0","16","1","0"
"Emberiza cirlus","16","12","36","8","4","7","2","0","0","0"
"Emberiza citrinella","18","9","16","4","0","1","0","0","0","0"
"Emberiza schoeniclus","0","0","6","0","0","0","0","6","0","0"
"Erithacus rubecula","27","6","1","3","0","2","0","0","0","0"
"Falco naumanni","0","0","2","0","0","0","0","2","0","0"
"Falco subbuteo","0","0","1","0","0","0","0","1","0","0"
"Ficedula hypoleuca","0","0","10","0","0","0","0","10","0","0"
"Fringilla coelebs","19","3","0","0","0","0","0","0","0","0"
"Galerida cristata","1","0","1","0","0","0","0","0","0","0"
"Galerida theklae","0","0","5","0","0","0","0","5","0","0"
"Gallinula chloropus","0","0","1","0","0","0","0","1","0","0"
"Garrulus glandarius","8","2","1","2","1","1","1","0","0","0"
"Haematopus ostralegus","0","0","1","0","0","0","0","1","0","0"
"Hieraaetus pennatus","0","0","2","0","0","0","0","2","0","0"
"Hippolais polyglotta","11","6","23","5","0","5","0","0","0","0"
"Hirundo rustica","2","0","0","0","0","0","0","0","0","0"
"Ixobrychus minutus","0","0","14","0","3","0","0","14","3","0"
"Jynx torquilla","1","0","0","0","0","0","0","0","0","0"
"Lanius collurio","0","0","10","0","0","0","0","10","0","0"
"Lanius meridionalis","0","0","3","0","0","0","0","3","0","0"
"Lanius senator","0","0","17","0","1","0","0","17","1","0"
"Lophophanes cristatus","1","1","1","1","0","1","0","0","0","0"
"Lullula arborea","11","3","4","3","1","2","0","0","0","0"
"Luscinia megarhynchos","94","37","2","15","0","9","0","0","0","0"
"Mareca strepera","0","0","1","0","0","0","0","1","0","0"
"Melanocorypha calandra","0","0","4","0","0","0","0","4","0","0"
"Merops apiaster","1","1","1","1","1","1","1","0","0","0"
"Milvus migrans","1","1","2","1","0","1","0","0","0","0"
"Milvus milvus","0","0","2","0","0","0","0","2","0","0"
"Monticola solitarius","0","0","4","0","0","0","0","4","0","0"
"Motacilla alba","0","0","2","0","0","0","0","2","0","0"
"Motacilla cinerea","0","0","2","0","0","0","0","2","0","0"
"Muscicapa striata","0","0","7","0","0","0","0","7","0","0"
"Nycticorax nycticorax","0","0","1","0","1","0","1","1","1","1"
"Oriolus oriolus","29","11","12","4","0","2","0","0","0","0"
"Otus scops","14","0","0","0","0","0","0","0","0","0"
"Parus major","17","5","3","1","0","0","0","0","0","0"
"Passer domesticus","19","5","0","0","0","0","0","0","0","0"
"Passer hispaniolensis","0","0","4","0","0","0","0","4","0","0"
"Passer montanus","0","0","1","0","0","0","0","1","0","0"
"Periparus ater","1","0","4","0","0","0","0","0","0","0"
"Petronia petronia","0","0","1","0","1","0","0","1","1","0"
"Phasianus colchicus","8","0","0","0","0","0","0","0","0","0"
"Phoenicurus ochruros","4","1","1","1","0","1","0","0","0","0"
"Phoenicurus phoenicurus","0","0","23","0","2","0","1","23","2","1"
"Phylloscopus bonelli","3","2","47","0","0","0","0","0","0","0"
"Phylloscopus collybita","35","9","0","3","0","1","0","0","0","0"
"Phylloscopus ibericus","0","0","4","0","0","0","0","4","0","0"
"Pica pica","8","1","0","1","0","1","0","0","0","0"
"Picus viridis","3","2","10","1","0","1","0","0","0","0"
"Podiceps cristatus","0","0","1","0","0","0","0","1","0","0"
"Poecile palustris","1","0","3","0","0","0","0","0","0","0"
"Prunella modularis","3","2","2","1","0","1","0","0","0","0"
"Pyrrhula pyrrhula","0","0","2","0","0","0","0","2","0","0"
"Regulus ignicapilla","6","5","17","3","1","2","0","0","0","0"
"Regulus regulus","0","0","3","0","0","0","0","3","0","0"
"Remiz pendulinus","0","0","18","0","1","0","0","18","1","0"
"Saxicola rubetra","0","0","7","0","0","0","0","7","0","0"
"Saxicola rubicola","5","4","7","3","1","2","1","0","0","0"
"Sitta europaea","1","0","1","0","0","0","0","0","0","0"
"Streptopelia decaocto","23","0","0","0","0","0","0","0","0","0"
"Streptopelia turtur","9","2","0","1","0","0","0","0","0","0"
"Strix aluco","3","1","1","0","0","0","0","0","0","0"
"Sturnus unicolor","0","0","3","0","0","0","0","3","0","0"
"Sturnus vulgaris","3","0","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","105","32","2","10","1","6","0","0","0","0"
"Sylvia borin","0","0","17","0","0","0","0","17","0","0"
"Tachybaptus ruficollis","0","0","1","0","0","0","0","1","0","0"
"Tringa nebularia","0","0","3","0","1","0","1","3","1","1"
"Tringa totanus","0","0","2","0","0","0","0","2","0","0"
"Troglodytes troglodytes","16","4","0","1","0","1","0","0","0","0"
"Turdus merula","83","2","1","1","0","1","0","0","0","0"
"Turdus philomelos","9","2","1","1","0","0","0","0","0","0"
"Turdus viscivorus","5","1","5","1","0","1","0","0","0","0"
"Upupa epops","1","0","0","0","0","0","0","0","0","0"
"Total detections","859","241","544","108","30","75","11","273","16","5"
"Total species","60","43","100","36","23","31","10","61","13","5"
