"n_recordings_sampled","sample_number","minimum_confidence_threshold","n_species_correctly_detected","n_species_incorrectly_detected","total_species_detected"
10,1,0.15,8,12,22
10,1,0.55,6,2,22
10,1,0.85,3,0,22
10,2,0.15,7,16,20
10,2,0.55,3,2,20
10,2,0.85,2,1,20
10,3,0.15,8,15,23
10,3,0.55,5,1,23
10,3,0.85,3,0,23
10,4,0.15,12,18,29
10,4,0.55,6,1,29
10,4,0.85,6,0,29
10,5,0.15,10,11,20
10,5,0.55,8,2,20
10,5,0.85,2,1,20
10,6,0.15,11,13,27
10,6,0.55,5,3,27
10,6,0.85,3,1,27
10,7,0.15,7,11,20
10,7,0.55,5,3,20
10,7,0.85,3,0,20
10,8,0.15,8,11,24
10,8,0.55,5,2,24
10,8,0.85,3,1,24
10,9,0.15,10,6,23
10,9,0.55,7,2,23
10,9,0.85,3,0,23
10,10,0.15,9,10,22
10,10,0.55,7,3,22
10,10,0.85,7,1,22
10,11,0.15,9,17,26
10,11,0.55,6,3,26
10,11,0.85,4,0,26
10,12,0.15,8,16,32
10,12,0.55,7,2,32
10,12,0.85,4,0,32
10,13,0.15,4,7,23
10,13,0.55,3,0,23
10,13,0.85,3,0,23
10,14,0.15,9,13,21
10,14,0.55,6,1,21
10,14,0.85,3,1,21
10,15,0.15,11,17,30
10,15,0.55,7,0,30
10,15,0.85,3,0,30
10,16,0.15,7,18,15
10,16,0.55,6,0,15
10,16,0.85,4,0,15
10,17,0.15,6,13,19
10,17,0.55,4,1,19
10,17,0.85,3,1,19
10,18,0.15,6,6,15
10,18,0.55,6,2,15
10,18,0.85,5,0,15
10,19,0.15,9,13,19
10,19,0.55,3,2,19
10,19,0.85,3,1,19
10,20,0.15,13,15,30
10,20,0.55,9,3,30
10,20,0.85,5,1,30
10,21,0.15,8,11,24
10,21,0.55,7,2,24
10,21,0.85,5,0,24
10,22,0.15,10,13,26
10,22,0.55,5,0,26
10,22,0.85,3,0,26
10,23,0.15,9,10,24
10,23,0.55,4,2,24
10,23,0.85,2,0,24
10,24,0.15,13,9,26
10,24,0.55,9,1,26
10,24,0.85,4,0,26
10,25,0.15,11,25,28
10,25,0.55,5,4,28
10,25,0.85,5,3,28
10,26,0.15,8,13,23
10,26,0.55,4,3,23
10,26,0.85,3,1,23
10,27,0.15,5,15,18
10,27,0.55,4,4,18
10,27,0.85,2,0,18
10,28,0.15,12,11,24
10,28,0.55,10,2,24
10,28,0.85,7,1,24
10,29,0.15,8,14,30
10,29,0.55,3,2,30
10,29,0.85,2,0,30
10,30,0.15,6,13,18
10,30,0.55,4,2,18
10,30,0.85,3,1,18
10,31,0.15,11,9,27
10,31,0.55,10,2,27
10,31,0.85,7,1,27
10,32,0.15,15,16,31
10,32,0.55,10,1,31
10,32,0.85,7,0,31
10,33,0.15,5,7,16
10,33,0.55,3,0,16
10,33,0.85,1,0,16
10,34,0.15,6,9,16
10,34,0.55,4,3,16
10,34,0.85,3,0,16
10,35,0.15,12,20,27
10,35,0.55,8,2,27
10,35,0.85,5,0,27
10,36,0.15,8,10,20
10,36,0.55,7,1,20
10,36,0.85,3,0,20
10,37,0.15,7,15,18
10,37,0.55,5,1,18
10,37,0.85,2,1,18
10,38,0.15,10,12,24
10,38,0.55,9,4,24
10,38,0.85,7,0,24
10,39,0.15,13,14,22
10,39,0.55,8,2,22
10,39,0.85,6,0,22
10,40,0.15,10,10,27
10,40,0.55,5,3,27
10,40,0.85,2,0,27
10,41,0.15,5,12,22
10,41,0.55,4,1,22
10,41,0.85,4,0,22
10,42,0.15,11,15,23
10,42,0.55,9,0,23
10,42,0.85,7,0,23
10,43,0.15,10,8,21
10,43,0.55,7,2,21
10,43,0.85,4,0,21
10,44,0.15,11,17,28
10,44,0.55,9,3,28
10,44,0.85,6,1,28
10,45,0.15,11,13,29
10,45,0.55,8,4,29
10,45,0.85,6,1,29
10,46,0.15,15,15,25
10,46,0.55,10,4,25
10,46,0.85,8,1,25
10,47,0.15,10,18,29
10,47,0.55,7,2,29
10,47,0.85,4,1,29
10,48,0.15,5,4,14
10,48,0.55,3,0,14
10,48,0.85,2,0,14
10,49,0.15,7,14,16
10,49,0.55,6,2,16
10,49,0.85,3,0,16
10,50,0.15,6,15,29
10,50,0.55,2,2,29
10,50,0.85,2,0,29
10,51,0.15,7,16,20
10,51,0.55,6,1,20
10,51,0.85,4,0,20
10,52,0.15,12,12,28
10,52,0.55,7,2,28
10,52,0.85,7,1,28
10,53,0.15,11,15,27
10,53,0.55,5,2,27
10,53,0.85,4,1,27
10,54,0.15,9,14,25
10,54,0.55,8,0,25
10,54,0.85,6,0,25
10,55,0.15,9,16,22
10,55,0.55,7,3,22
10,55,0.85,4,1,22
10,56,0.15,10,10,23
10,56,0.55,8,3,23
10,56,0.85,7,1,23
10,57,0.15,9,15,21
10,57,0.55,6,1,21
10,57,0.85,4,0,21
10,58,0.15,14,13,31
10,58,0.55,8,3,31
10,58,0.85,7,1,31
10,59,0.15,6,20,23
10,59,0.55,4,6,23
10,59,0.85,3,0,23
10,60,0.15,8,13,27
10,60,0.55,7,0,27
10,60,0.85,4,0,27
10,61,0.15,9,15,25
10,61,0.55,6,2,25
10,61,0.85,5,1,25
10,62,0.15,13,14,27
10,62,0.55,10,2,27
10,62,0.85,8,0,27
10,63,0.15,11,11,25
10,63,0.55,9,2,25
10,63,0.85,4,0,25
10,64,0.15,9,18,19
10,64,0.55,7,1,19
10,64,0.85,5,1,19
10,65,0.15,10,14,28
10,65,0.55,8,0,28
10,65,0.85,3,0,28
10,66,0.15,9,7,20
10,66,0.55,7,0,20
10,66,0.85,3,0,20
10,67,0.15,8,20,17
10,67,0.55,4,4,17
10,67,0.85,4,3,17
10,68,0.15,6,16,20
10,68,0.55,5,1,20
10,68,0.85,4,0,20
10,69,0.15,8,10,23
10,69,0.55,5,1,23
10,69,0.85,2,0,23
10,70,0.15,10,14,24
10,70,0.55,7,3,24
10,70,0.85,5,0,24
10,71,0.15,6,13,20
10,71,0.55,4,1,20
10,71,0.85,3,1,20
10,72,0.15,9,9,18
10,72,0.55,6,1,18
10,72,0.85,4,0,18
10,73,0.15,8,9,22
10,73,0.55,5,0,22
10,73,0.85,2,0,22
10,74,0.15,13,17,23
10,74,0.55,10,6,23
10,74,0.85,4,2,23
10,75,0.15,6,14,22
10,75,0.55,5,2,22
10,75,0.85,2,1,22
10,76,0.15,9,16,23
10,76,0.55,5,5,23
10,76,0.85,2,2,23
10,77,0.15,11,10,29
10,77,0.55,8,1,29
10,77,0.85,4,0,29
10,78,0.15,7,8,20
10,78,0.55,3,1,20
10,78,0.85,1,0,20
10,79,0.15,11,15,27
10,79,0.55,7,3,27
10,79,0.85,3,0,27
10,80,0.15,9,15,25
10,80,0.55,7,3,25
10,80,0.85,4,1,25
10,81,0.15,9,19,28
10,81,0.55,7,1,28
10,81,0.85,5,0,28
10,82,0.15,5,13,23
10,82,0.55,2,3,23
10,82,0.85,1,0,23
10,83,0.15,14,13,31
10,83,0.55,9,4,31
10,83,0.85,8,2,31
10,84,0.15,8,16,21
10,84,0.55,5,2,21
10,84,0.85,4,0,21
10,85,0.15,9,5,21
10,85,0.55,7,1,21
10,85,0.85,4,0,21
10,86,0.15,8,8,12
10,86,0.55,8,0,12
10,86,0.85,5,0,12
10,87,0.15,8,13,25
10,87,0.55,6,0,25
10,87,0.85,4,0,25
10,88,0.15,12,10,22
10,88,0.55,9,3,22
10,88,0.85,5,0,22
10,89,0.15,8,13,23
10,89,0.55,5,1,23
10,89,0.85,2,0,23
10,90,0.15,6,15,22
10,90,0.55,4,2,22
10,90,0.85,1,0,22
10,91,0.15,1,10,17
10,91,0.55,1,1,17
10,91,0.85,1,1,17
10,92,0.15,9,15,24
10,92,0.55,6,2,24
10,92,0.85,5,0,24
10,93,0.15,10,15,20
10,93,0.55,6,2,20
10,93,0.85,4,0,20
10,94,0.15,10,11,23
10,94,0.55,6,2,23
10,94,0.85,5,0,23
10,95,0.15,11,15,30
10,95,0.55,5,1,30
10,95,0.85,2,0,30
10,96,0.15,11,12,25
10,96,0.55,8,1,25
10,96,0.85,6,0,25
10,97,0.15,11,11,26
10,97,0.55,8,2,26
10,97,0.85,3,1,26
10,98,0.15,12,11,31
10,98,0.55,8,0,31
10,98,0.85,5,0,31
10,99,0.15,7,17,24
10,99,0.55,3,3,24
10,99,0.85,1,1,24
10,100,0.15,7,12,22
10,100,0.55,6,0,22
10,100,0.85,4,0,22
10,101,0.15,8,12,22
10,101,0.55,5,2,22
10,101,0.85,4,0,22
10,102,0.15,11,12,33
10,102,0.55,7,1,33
10,102,0.85,4,0,33
10,103,0.15,11,12,27
10,103,0.55,6,3,27
10,103,0.85,2,0,27
10,104,0.15,7,10,25
10,104,0.55,5,0,25
10,104,0.85,4,0,25
10,105,0.15,8,11,23
10,105,0.55,7,1,23
10,105,0.85,4,0,23
10,106,0.15,10,15,25
10,106,0.55,9,3,25
10,106,0.85,6,0,25
10,107,0.15,10,13,26
10,107,0.55,7,1,26
10,107,0.85,4,0,26
10,108,0.15,8,16,22
10,108,0.55,6,4,22
10,108,0.85,5,2,22
10,109,0.15,6,13,17
10,109,0.55,3,2,17
10,109,0.85,2,0,17
10,110,0.15,9,9,25
10,110,0.55,5,1,25
10,110,0.85,3,0,25
10,111,0.15,14,10,26
10,111,0.55,9,2,26
10,111,0.85,6,0,26
10,112,0.15,12,11,22
10,112,0.55,9,3,22
10,112,0.85,7,1,22
10,113,0.15,9,13,21
10,113,0.55,5,3,21
10,113,0.85,3,0,21
10,114,0.15,13,9,25
10,114,0.55,10,2,25
10,114,0.85,6,0,25
10,115,0.15,9,17,23
10,115,0.55,7,6,23
10,115,0.85,4,1,23
10,116,0.15,12,11,26
10,116,0.55,10,1,26
10,116,0.85,6,0,26
10,117,0.15,14,9,34
10,117,0.55,11,4,34
10,117,0.85,5,0,34
10,118,0.15,10,12,27
10,118,0.55,5,4,27
10,118,0.85,3,1,27
10,119,0.15,5,6,14
10,119,0.55,3,0,14
10,119,0.85,2,0,14
10,120,0.15,10,13,21
10,120,0.55,4,2,21
10,120,0.85,2,1,21
10,121,0.15,5,14,22
10,121,0.55,3,2,22
10,121,0.85,1,1,22
10,122,0.15,12,17,25
10,122,0.55,7,4,25
10,122,0.85,5,1,25
