"recording_id","station_id","recording_date","recording_time","recording_file_path","annotation_file_path","ARU","file_name","local_directory","server_directory_name","server_directory_URL","hard_drive_directory","second_recording","third_recording","fourth_recording","commune","lon","lat","recorder","habitat","comment","altitude","week_number","hard_drive_recording_file_path","hard_drive_second_recording_file_path","hard_drive_third_recording_file_path","hard_drive_fourth_recording_file_path"
1,100,2021-05-04,"00:00:00","Aurignac/100/S4A10950_20210504_000000.wav","Aurignac/100/S4A10950_20210504_000000_labels.txt","SM4","S4A10950_20210504_000000.wav","../Recordings/Selected/Aurignac/100","SM 100","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FSM%20100","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100","S4A10950_20210504_010000.wav","S4A10950_20210504_020000.wav","S4A10950_20210504_030000.wav","Eoux",0.874899056700134,43.2740095448876,"SM4D","crop","",NA,18,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_030000.wav"
2,100,2021-05-04,"07:00:00","Aurignac/100/S4A10950_20210504_070000.wav","Aurignac/100/S4A10950_20210504_070000_labels.txt","SM4","S4A10950_20210504_070000.wav","../Recordings/Selected/Aurignac/100","SM 100","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FSM%20100","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100","S4A10950_20210504_080000.wav","S4A10950_20210504_090000.wav","S4A10950_20210504_100000.wav","Eoux",0.874899056700134,43.2740095448876,"SM4D","crop","",NA,18,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_100000.wav"
3,100,2021-05-04,"13:00:00","Aurignac/100/S4A10950_20210504_130000.wav","Aurignac/100/S4A10950_20210504_130000_labels.txt","SM4","S4A10950_20210504_130000.wav","../Recordings/Selected/Aurignac/100","SM 100","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FSM%20100","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100","S4A10950_20210504_140000.wav","S4A10950_20210504_150000.wav","S4A10950_20210504_160000.wav","Eoux",0.874899056700134,43.2740095448876,"SM4D","crop","",NA,18,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_150000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/100/S4A10950_20210504_160000.wav"
4,108,2021-05-05,"13:00:00","Aurignac/108/S4A10954_20210505_130000.wav","Aurignac/108/S4A10954_20210505_130000_labels.txt","SM4","S4A10954_20210505_130000.wav","../Recordings/Selected/Aurignac/108","SM 108","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FSM%20108","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108","S4A10954_20210505_140000.wav","S4A10954_20210505_150000.wav","S4A10954_20210505_160000.wav","Benque",0.924088683267941,43.2739778806488,"SM4C","grassland","",NA,18,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210505_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210505_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210505_150000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210505_160000.wav"
5,108,2021-05-06,"00:00:00","Aurignac/108/S4A10954_20210506_000000.wav","Aurignac/108/S4A10954_20210506_000000_labels.txt","SM4","S4A10954_20210506_000000.wav","../Recordings/Selected/Aurignac/108","SM 108","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FSM%20108","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108","S4A10954_20210506_010000.wav","S4A10954_20210506_020000.wav","S4A10954_20210506_030000.wav","Benque",0.924088683267941,43.2739778806488,"SM4C","grassland","",NA,18,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_030000.wav"
6,108,2021-05-06,"07:00:00","Aurignac/108/S4A10954_20210506_070000.wav","Aurignac/108/S4A10954_20210506_070000_labels.txt","SM4","S4A10954_20210506_070000.wav","../Recordings/Selected/Aurignac/108","SM 108","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FSM%20108","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108","S4A10954_20210506_080000.wav","S4A10954_20210506_090000.wav","S4A10954_20210506_100000.wav","Benque",0.924088683267941,43.2739778806488,"SM4C","grassland","",NA,18,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/108/S4A10954_20210506_100000.wav"
7,109,2020-05-28,"00:00:00","Aurignac/109/S4A10922_20200528_000000.wav","Aurignac/109/S4A10922_20200528_000000_labels.txt","SM4","S4A10922_20200528_000000.wav","../Recordings/Selected/Aurignac/109","Aurignac Audio 2020 SM4B 109 239","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4B%20109%20239","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109","S4A10922_20200528_010000.wav","S4A10922_20200528_020000.wav","S4A10922_20200528_030000.wav","Benque",0.93023740504665,43.2739723596615,"SM4B","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_000000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_010000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_020000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_030000.wav"
8,109,2020-05-28,"07:00:00","Aurignac/109/S4A10922_20200528_070000.wav","Aurignac/109/S4A10922_20200528_070000_labels.txt","SM4","S4A10922_20200528_070000.wav","../Recordings/Selected/Aurignac/109","Aurignac Audio 2020 SM4B 109 239","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4B%20109%20239","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109","S4A10922_20200528_080000.wav","S4A10922_20200528_090000.wav","S4A10922_20200528_100000.wav","Benque",0.93023740504665,43.2739723596615,"SM4B","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_070000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_080000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_090000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_100000.wav"
9,109,2020-05-28,"13:00:00","Aurignac/109/S4A10922_20200528_130000.wav","Aurignac/109/S4A10922_20200528_130000_labels.txt","SM4","S4A10922_20200528_130000.wav","../Recordings/Selected/Aurignac/109","Aurignac Audio 2020 SM4B 109 239","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20SM4B%20109%20239","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109","S4A10922_20200528_140000.wav","S4A10922_20200528_120000.wav","S4A10922_20200528_110000.wav","Benque",0.93023740504665,43.2739723596615,"SM4B","grassland","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_120000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/109/S4A10922_20200528_110000.wav"
10,116,2020-05-28,"13:00:00","Aurignac/116/20200528_130000.wav","Aurignac/116/20200528_130000_labels.txt","Audiomoth","20200528_130000.wav","../Recordings/Selected/Aurignac/116","Aurignac Audio 2020 AMTF 116","https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTF%20116","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/116","20200528_140000.wav","20200528_150000.wav","20200528_160000.wav","Esparron",0.819561755725096,43.2695256482383,"AMF","wood","",NA,22,"/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/116/20200528_130000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/116/20200528_140000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/116/20200528_150000.wav","/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/116/20200528_160000.wav"
