"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,587,3077,35698,412,0.587587587587588,0.0793552546744036,0.587587587587588,0.160207423580786,0.251769247265709,0.167368297469098,0.161369519242023
0.11,551,2503,36269,451,0.549900199600798,0.0645568967295987,0.549900199600798,0.180419122462344,0.271696252465483,0.187843420366582,0.181627404520858
0.12,522,2076,36692,484,0.518886679920477,0.0535493190260008,0.518886679920477,0.200923787528868,0.289678135405105,0.208437074270682,0.202150257279357
0.13,493,1736,37024,521,0.486193293885602,0.0447884416924665,0.486193293885602,0.221175414984298,0.304039469626889,0.22850209935111,0.222375554900542
0.14,473,1398,37347,556,0.459669582118562,0.0360820751064653,0.459669582118562,0.252805986103688,0.326206896551724,0.259680284191829,0.253937457808206
0.15,454,1189,37551,580,0.439071566731141,0.0306917914300465,0.439071566731141,0.276323797930615,0.33918565558461,0.282482980748115,0.277341623622485
0.16,432,988,37749,605,0.416586306653809,0.0255053308206624,0.416586306653809,0.304225352112676,0.351648351648352,0.309129940649072,0.305039954697036
0.17,411,832,37900,631,0.394433781190019,0.0214809459878137,0.394433781190019,0.33065164923572,0.359737417943107,0.333827042522695,0.331181886358922
0.18,396,697,38026,655,0.376784015223597,0.0179996384577641,0.376784015223597,0.362305580969808,0.369402985074627,0.363126382221263,0.362443475818071
0.19,377,586,38137,674,0.358705994291151,0.0151331250161403,0.358705994291151,0.391484942886812,0.374379344587885,0.389391822103409,0.391131061827819
0.2,359,488,38234,693,0.341254752851711,0.0126026548215485,0.341254752851711,0.423848878394333,0.378093733543971,0.417899205697069,0.422835618994309
0.21,347,419,38299,709,0.328598484848485,0.0108218399710729,0.328598484848485,0.453002610966057,0.380900109769484,0.443134014423077,0.451310909652828
0.22,337,362,38354,721,0.318525519848771,0.00935013947721872,0.318525519848771,0.482117310443491,0.383608423449061,0.467979088384251,0.479678119450943
0.23,322,315,38396,741,0.302916274694262,0.00813722197824908,0.302916274694262,0.505494505494505,0.378823529411765,0.486361617059085,0.502169448604913
0.24,312,281,38431,750,0.293785310734463,0.0072587311427981,0.293785310734463,0.526138279932546,0.377039274924471,0.502748815165877,0.522050296544183
0.25,305,243,38468,758,0.28692380056444,0.00627728552607786,0.28692380056444,0.556569343065693,0.378646803227809,0.527413284508188,0.551438340225194
0.26,294,209,38501,770,0.276315789473684,0.00539912167398605,0.276315789473684,0.584493041749503,0.375239310784939,0.548507462686567,0.578109181527918
0.27,289,176,38530,779,0.27059925093633,0.00454709864103757,0.27059925093633,0.621505376344086,0.377038486627528,0.577456511518571,0.61362680793811
0.28,275,149,38557,793,0.25749063670412,0.00384953237224203,0.25749063670412,0.648584905660377,0.368632707774799,0.59538970962812,0.638975798288396
0.29,271,130,38576,797,0.25374531835206,0.00335865240531184,0.25374531835206,0.675810473815461,0.368958475153165,0.615579903794762,0.664861057131753
0.3,264,113,38593,804,0.247191011235955,0.00291944401384798,0.247191011235955,0.70026525198939,0.365397923875433,0.632112676056338,0.687783739166323
0.31,259,105,38600,810,0.242282507015903,0.00271282780002584,0.242282507015903,0.711538461538462,0.361479413817167,0.638763963441172,0.698150471056073
0.32,253,91,38613,817,0.236448598130841,0.00235117817279868,0.236448598130841,0.73546511627907,0.357850070721358,0.654243991481594,0.720411615449676
