"habitat","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"alpine meadow",0.1,73,456,7879,52,0.584,0.0547090581883623,0.584,0.137996219281664,0.223241590214067,0.144487134707184,0.139047619047619
"alpine meadow",0.11,71,378,7958,53,0.57258064516129,0.0453454894433781,0.57258064516129,0.158129175946548,0.2478184991274,0.165161466885605,0.159270611229566
"alpine meadow",0.12,70,308,8028,54,0.564516129032258,0.0369481765834933,0.564516129032258,0.185185185185185,0.278884462151394,0.192806221646144,0.186425482544035
"alpine meadow",0.13,67,256,8080,57,0.540322580645161,0.0307101727447217,0.540322580645161,0.207430340557276,0.299776286353468,0.215230536659108,0.208703429558352
"alpine meadow",0.14,64,197,8138,61,0.512,0.0236352729454109,0.512,0.245210727969349,0.33160621761658,0.25296442687747,0.246482364156339
"alpine meadow",0.15,60,170,8165,65,0.48,0.0203959208158368,0.48,0.260869565217391,0.338028169014084,0.268068331143233,0.262054054054054
"alpine meadow",0.16,59,140,8193,68,0.464566929133858,0.0168006720268811,0.464566929133858,0.296482412060302,0.361963190184049,0.302929628511024,0.297548309781795
"alpine meadow",0.17,56,123,8210,71,0.440944881889764,0.0147605904236169,0.440944881889764,0.312849162011173,0.366013071895425,0.318288197927115,0.313751594829977
"alpine meadow",0.18,54,107,8226,73,0.425196850393701,0.0128405136205448,0.425196850393701,0.335403726708075,0.375,0.339622641509434,0.336106489184692
"alpine meadow",0.19,51,90,8243,76,0.401574803149606,0.0108004320172807,0.401574803149606,0.361702127659574,0.380597014925373,0.36382710868653,0.362058058620932
"alpine meadow",0.2,50,74,8259,77,0.393700787401575,0.00888035521420857,0.393700787401575,0.403225806451613,0.398406374501992,0.402652771198484,0.403129240839786
"alpine meadow",0.21,49,67,8266,78,0.385826771653543,0.00804032161286451,0.385826771653543,0.422413793103448,0.403292181069959,0.420070600100857,0.422017566299991
"alpine meadow",0.22,49,58,8275,78,0.385826771653543,0.00696027841113645,0.385826771653543,0.457943925233645,0.418803418803419,0.452963567156063,0.457097995751362
"alpine meadow",0.23,48,50,8283,79,0.377952755905512,0.00600024000960038,0.377952755905512,0.489795918367347,0.426666666666667,0.48141592920354,0.488365064974312
"alpine meadow",0.24,47,45,8288,80,0.37007874015748,0.00540021600864035,0.37007874015748,0.510869565217391,0.429223744292237,0.499687304565353,0.508952503484507
"alpine meadow",0.25,47,40,8293,80,0.37007874015748,0.00480019200768031,0.37007874015748,0.540229885057471,0.439252336448598,0.526003949967084,0.537781805823043
"alpine meadow",0.26,45,37,8296,82,0.354330708661417,0.00444017760710428,0.354330708661417,0.548780487804878,0.430622009569378,0.531619179986101,0.54581481926264
"alpine meadow",0.27,45,31,8301,83,0.3515625,0.00372059529524724,0.3515625,0.592105263157895,0.441176470588235,0.569196428571428,0.588121118012422
"alpine meadow",0.28,43,25,8307,85,0.3359375,0.00300048007681229,0.3359375,0.632352941176471,0.438775510204082,0.601151315789474,0.626876443418014
"alpine meadow",0.29,43,24,8308,85,0.3359375,0.0028804608737398,0.3359375,0.641791044776119,0.441025641025641,0.609166666666667,0.63605741066198
"alpine meadow",0.3,43,22,8310,85,0.3359375,0.00264042246759482,0.3359375,0.661538461538462,0.44559585492228,0.625856164383562,0.655250452625226
"alpine meadow",0.31,43,20,8312,85,0.3359375,0.00240038406144983,0.3359375,0.682539682539683,0.450261780104712,0.643485915492958,0.675637834474175
"alpine meadow",0.32,43,18,8313,86,0.333333333333333,0.00216060496939143,0.333333333333333,0.704918032786885,0.452631578947368,0.661538461538462,0.697222668165035
"alpine meadow",0.33,43,16,8315,86,0.333333333333333,0.00192053775057016,0.333333333333333,0.728813559322034,0.457446808510638,0.681267474370923,0.720351633770111
"alpine meadow",0.34,41,14,8317,88,0.317829457364341,0.00168047053174889,0.317829457364341,0.745454545454545,0.445652173913043,0.690782953419227,0.735654645585362
"alpine meadow",0.35,41,9,8322,88,0.317829457364341,0.00108030248469571,0.317829457364341,0.82,0.458100558659218,0.7502691065662,0.807369857672061
"alpine meadow",0.36,40,9,8322,89,0.310077519379845,0.00108030248469571,0.310077519379845,0.816326530612245,0.449438202247191,0.744797371303395,0.803340624378604
"alpine meadow",0.37,40,6,8325,89,0.310077519379845,0.00072020165646381,0.310077519379845,0.869565217391304,0.457142857142857,0.786127167630058,0.854303235356312
"alpine meadow",0.38,40,6,8325,89,0.310077519379845,0.00072020165646381,0.310077519379845,0.869565217391304,0.457142857142857,0.786127167630058,0.854303235356312
"alpine meadow",0.39,40,6,8325,89,0.310077519379845,0.00072020165646381,0.310077519379845,0.869565217391304,0.457142857142857,0.786127167630058,0.854303235356312
"alpine meadow",0.4,40,5,8326,89,0.310077519379845,0.000600168047053175,0.310077519379845,0.888888888888889,0.459770114942529,0.800942285041225,0.872758695182545
"alpine meadow",0.41,40,5,8326,89,0.310077519379845,0.000600168047053175,0.310077519379845,0.888888888888889,0.459770114942529,0.800942285041225,0.872758695182545
"alpine meadow",0.42,37,5,8326,92,0.286821705426357,0.000600168047053175,0.286821705426357,0.880952380952381,0.432748538011696,0.785268414481898,0.863247863247863
"alpine meadow",0.43,35,5,8326,94,0.271317829457364,0.000600168047053175,0.271317829457364,0.875,0.414201183431953,0.773732119635891,0.856139501089852
"alpine meadow",0.44,35,5,8326,94,0.271317829457364,0.000600168047053175,0.271317829457364,0.875,0.414201183431953,0.773732119635891,0.856139501089852
"alpine meadow",0.45,35,5,8326,94,0.271317829457364,0.000600168047053175,0.271317829457364,0.875,0.414201183431953,0.773732119635891,0.856139501089852
"alpine meadow",0.46,35,5,8326,94,0.271317829457364,0.000600168047053175,0.271317829457364,0.875,0.414201183431953,0.773732119635891,0.856139501089852
"alpine meadow",0.47,35,5,8326,94,0.271317829457364,0.000600168047053175,0.271317829457364,0.875,0.414201183431953,0.773732119635891,0.856139501089852
"alpine meadow",0.48,34,4,8327,95,0.263565891472868,0.00048013443764254,0.263565891472868,0.894736842105263,0.407185628742515,0.784260515603799,0.874013743955205
