"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Alauda arvensis",0.1,7,27,202,1,0.875,0.117903930131004,0.875,0.205882352941176,0.333333333333333,0.215579710144928,0.207453051643192
"Alauda arvensis",0.11,7,25,204,1,0.875,0.109170305676856,0.875,0.21875,0.35,0.228846153846154,0.220386533665835
"Alauda arvensis",0.12,7,23,206,1,0.875,0.100436681222707,0.875,0.233333333333333,0.368421052631579,0.243852459016393,0.235039893617021
"Alauda arvensis",0.13,7,20,209,1,0.875,0.0873362445414847,0.875,0.259259259259259,0.4,0.270454545454545,0.261078286558346
"Alauda arvensis",0.14,7,16,212,2,0.777777777777778,0.0701754385964912,0.777777777777778,0.304347826086957,0.4375,0.315649867374005,0.306193157210914
"Alauda arvensis",0.15,7,15,213,2,0.777777777777778,0.0657894736842105,0.777777777777778,0.318181818181818,0.451612903225806,0.329639889196676,0.320054323223178
"Alauda arvensis",0.16,7,12,216,2,0.777777777777778,0.0526315789473684,0.777777777777778,0.368421052631579,0.5,0.380191693290735,0.370350969093766
"Alauda arvensis",0.17,6,10,218,3,0.666666666666667,0.043859649122807,0.666666666666667,0.375,0.48,0.384905660377359,0.376631448104413
"Alauda arvensis",0.18,5,9,219,4,0.555555555555556,0.0394736842105263,0.555555555555556,0.357142857142857,0.434782608695652,0.36480686695279,0.358410220014194
"Alauda arvensis",0.19,4,5,223,5,0.444444444444444,0.0219298245614035,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444
"Alauda arvensis",0.2,4,4,224,5,0.444444444444444,0.0175438596491228,0.444444444444444,0.5,0.470588235294118,0.496350364963504,0.49938195302843
"Alauda arvensis",0.21,4,4,224,5,0.444444444444444,0.0175438596491228,0.444444444444444,0.5,0.470588235294118,0.496350364963504,0.49938195302843
"Alauda arvensis",0.22,4,4,224,5,0.444444444444444,0.0175438596491228,0.444444444444444,0.5,0.470588235294118,0.496350364963504,0.49938195302843
"Alauda arvensis",0.23,4,3,225,5,0.444444444444444,0.0131578947368421,0.444444444444444,0.571428571428571,0.5,0.56198347107438,0.569816643159379
"Alauda arvensis",0.24,4,3,225,5,0.444444444444444,0.0131578947368421,0.444444444444444,0.571428571428571,0.5,0.56198347107438,0.569816643159379
"Alauda arvensis",0.25,4,3,225,5,0.444444444444444,0.0131578947368421,0.444444444444444,0.571428571428571,0.5,0.56198347107438,0.569816643159379
"Alauda arvensis",0.26,4,2,226,5,0.444444444444444,0.0087719298245614,0.444444444444444,0.666666666666667,0.533333333333333,0.647619047619048,0.663382594417077
"Alauda arvensis",0.27,4,2,226,5,0.444444444444444,0.0087719298245614,0.444444444444444,0.666666666666667,0.533333333333333,0.647619047619048,0.663382594417077
"Alauda arvensis",0.28,4,1,227,5,0.444444444444444,0.0043859649122807,0.444444444444444,0.8,0.571428571428571,0.764044943820225,0.793713163064833
"Alauda arvensis",0.29,4,1,227,5,0.444444444444444,0.0043859649122807,0.444444444444444,0.8,0.571428571428571,0.764044943820225,0.793713163064833
"Alauda arvensis",0.3,4,1,227,5,0.444444444444444,0.0043859649122807,0.444444444444444,0.8,0.571428571428571,0.764044943820225,0.793713163064833
"Alauda arvensis",0.31,4,1,227,5,0.444444444444444,0.0043859649122807,0.444444444444444,0.8,0.571428571428571,0.764044943820225,0.793713163064833
"Alauda arvensis",0.32,4,1,227,5,0.444444444444444,0.0043859649122807,0.444444444444444,0.8,0.571428571428571,0.764044943820225,0.793713163064833
