"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Accipiter nisus",0.1,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Accipiter nisus",0.11,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Accipiter nisus",0.12,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.1,0,15,222,0,NA,0.0632911392405063,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.11,0,12,225,0,NA,0.0506329113924051,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.12,0,9,228,0,NA,0.0379746835443038,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.13,0,7,230,0,NA,0.029535864978903,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.14,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.15,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.16,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.17,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.18,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.19,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.2,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.21,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.22,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.23,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.24,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.25,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.26,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.27,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.1,0,15,222,0,NA,0.0632911392405063,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.11,0,11,226,0,NA,0.0464135021097046,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.12,0,9,228,0,NA,0.0379746835443038,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.13,0,7,230,0,NA,0.029535864978903,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.14,0,6,231,0,NA,0.0253164556962025,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.15,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.16,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.17,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.1,0,6,231,0,NA,0.0253164556962025,NA,0,NA,NA,NA
"Actitis hypoleucos",0.11,0,5,232,0,NA,0.0210970464135021,NA,0,NA,NA,NA
"Actitis hypoleucos",0.12,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Actitis hypoleucos",0.13,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Actitis hypoleucos",0.14,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Actitis hypoleucos",0.15,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Actitis hypoleucos",0.16,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.17,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.18,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.19,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.2,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.21,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Aegithalos caudatus",0.1,1,20,214,2,0.333333333333333,0.0854700854700855,0.333333333333333,0.0476190476190476,0.0833333333333333,0.0501474926253687,0.0480266286257727
"Aegithalos caudatus",0.11,1,16,217,3,0.25,0.0686695278969957,0.25,0.0588235294117647,0.0952380952380952,0.0615942028985507,0.0592723004694836
"Aegithalos caudatus",0.12,1,12,221,3,0.25,0.0515021459227468,0.25,0.0769230769230769,0.117647058823529,0.080188679245283,0.0774539877300614
"Aegithalos caudatus",0.13,1,10,223,3,0.25,0.0429184549356223,0.25,0.0909090909090909,0.133333333333333,0.0944444444444444,0.0914855072463768
"Aegithalos caudatus",0.14,1,7,226,3,0.25,0.0300429184549356,0.25,0.125,0.166666666666667,0.128787878787879,0.125621890547264
"Aegithalos caudatus",0.15,1,6,227,3,0.25,0.0257510729613734,0.25,0.142857142857143,0.181818181818182,0.146551724137931,0.143465909090909
"Aegithalos caudatus",0.16,1,6,227,3,0.25,0.0257510729613734,0.25,0.142857142857143,0.181818181818182,0.146551724137931,0.143465909090909
"Aegithalos caudatus",0.17,1,6,227,3,0.25,0.0257510729613734,0.25,0.142857142857143,0.181818181818182,0.146551724137931,0.143465909090909
"Aegithalos caudatus",0.18,1,4,229,3,0.25,0.0171673819742489,0.25,0.2,0.222222222222222,0.202380952380952,0.200396825396825
"Aegithalos caudatus",0.19,1,3,230,3,0.25,0.0128755364806867,0.25,0.25,0.25,0.25,0.25
"Aegithalos caudatus",0.2,1,3,230,3,0.25,0.0128755364806867,0.25,0.25,0.25,0.25,0.25
"Aegithalos caudatus",0.21,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.22,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.23,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.24,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.25,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.26,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.27,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.28,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.29,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.3,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.31,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
"Aegithalos caudatus",0.32,1,1,232,3,0.25,0.00429184549356223,0.25,0.5,0.333333333333333,0.472222222222222,0.495098039215686
