"recording_id","initial_time","final_time","species","confidence","correct_identification"
"1","0","3","Anas platyrhynchos","0.1701","FALSE"
"1","3","6","Anas platyrhynchos","0.2302","FALSE"
"1","9","12","Athene noctua","0.1294","FALSE"
"1","18","21","Luscinia megarhynchos","0.1537","TRUE"
"1","24","27","Strix aluco","0.6044","TRUE"
"1","30","33","Strix aluco","0.6051","TRUE"
"1","39","42","Anas platyrhynchos","0.1458","FALSE"
"1","42","45","Luscinia megarhynchos","0.2736","TRUE"
"1","45","48","Strix aluco","0.2207","TRUE"
"1","48","51","Strix aluco","0.1408","TRUE"
"1","54","57","Athene noctua","0.1254","FALSE"
"1","54","57","Streptopelia decaocto","0.1226","FALSE"
"1","54","57","Chloris chloris","0.1073","FALSE"
"1","57","60","Athene noctua","0.1593","FALSE"
"2","6","9","Cuculus canorus","0.2008","FALSE"
"2","6","9","Athene noctua","0.1467","FALSE"
"2","6","9","Turdus merula","0.1152","TRUE"
"2","6","9","Erithacus rubecula","0.1052","TRUE"
"2","12","15","Cuculus canorus","0.3359","FALSE"
"2","12","15","Athene noctua","0.1649","FALSE"
"2","12","15","Anthus trivialis","0.1175","FALSE"
"2","15","18","Cuculus canorus","0.3015","FALSE"
"2","18","21","Cuculus canorus","0.1671","FALSE"
"2","18","21","Charadrius dubius","0.1384","FALSE"
"2","18","21","Columba palumbus","0.1139","FALSE"
"2","18","21","Streptopelia turtur","0.1137","FALSE"
"2","18","21","Hippolais polyglotta","0.1105","TRUE"
"2","18","21","Athene noctua","0.1078","FALSE"
"2","18","21","Sylvia atricapilla","0.1061","TRUE"
"2","21","24","Cuculus canorus","0.1533","FALSE"
"2","21","24","Athene noctua","0.1086","FALSE"
"2","24","27","Cuculus canorus","0.3135","FALSE"
"2","24","27","Anthus trivialis","0.1211","FALSE"
"2","24","27","Emberiza calandra","0.1","FALSE"
"2","27","30","Cuculus canorus","0.1682","FALSE"
"2","27","30","Coturnix coturnix","0.1243","FALSE"
"2","27","30","Vanellus vanellus","0.1185","FALSE"
"2","27","30","Athene noctua","0.1086","FALSE"
"2","30","33","Cuculus canorus","0.1039","FALSE"
"2","33","36","Corvus corone","0.1905","TRUE"
"2","33","36","Cuculus canorus","0.1652","FALSE"
"2","33","36","Sylvia atricapilla","0.1548","TRUE"
"2","33","36","Phylloscopus trochilus","0.1226","FALSE"
"2","33","36","Curruca communis","0.1219","TRUE"
"2","33","36","Streptopelia turtur","0.1185","FALSE"
"2","33","36","Emberiza citrinella","0.1021","FALSE"
"2","39","42","Corvus corone","0.1225","TRUE"
"2","42","45","Coturnix coturnix","0.2126","FALSE"
"2","42","45","Anthus trivialis","0.1136","FALSE"
"2","42","45","Emberiza calandra","0.1115","FALSE"
"2","45","48","Athene noctua","0.2613","FALSE"
"2","48","51","Cuculus canorus","0.1785","FALSE"
"2","48","51","Streptopelia turtur","0.1746","FALSE"
"2","48","51","Coturnix coturnix","0.1424","FALSE"
"2","48","51","Emberiza calandra","0.136","FALSE"
"2","48","51","Hippolais polyglotta","0.1077","FALSE"
"2","48","51","Sylvia atricapilla","0.1046","TRUE"
"2","51","54","Coturnix coturnix","0.505","FALSE"
"2","51","54","Cuculus canorus","0.1314","FALSE"
"2","51","54","Emberiza calandra","0.1097","FALSE"
"2","54","57","Cuculus canorus","0.3321","FALSE"
"2","54","57","Columba palumbus","0.1917","FALSE"
"2","54","57","Athene noctua","0.1662","FALSE"
"2","54","57","Anthus trivialis","0.125","FALSE"
"2","54","57","Streptopelia decaocto","0.1071","TRUE"
"2","57","60","Emberiza calandra","0.1546","FALSE"
"2","57","60","Cuculus canorus","0.1317","FALSE"
"2","57","60","Athene noctua","0.1231","FALSE"
"2","57","60","Vanellus vanellus","0.1143","FALSE"
"3","0","3","Charadrius dubius","0.2732","FALSE"
"3","0","3","Pyrrhula pyrrhula","0.102","FALSE"
"3","3","6","Linaria cannabina","0.1863","FALSE"
"3","3","6","Oenanthe oenanthe","0.1358","FALSE"
"3","3","6","Curruca iberiae","0.1275","FALSE"
"3","3","6","Lanius collurio","0.1056","FALSE"
"3","18","21","Emberiza calandra","0.1552","FALSE"
"3","18","21","Athene noctua","0.149","FALSE"
"3","18","21","Anthus trivialis","0.1209","FALSE"
"3","18","21","Coturnix coturnix","0.1091","FALSE"
"3","36","39","Picus viridis","0.147","FALSE"
"3","36","39","Jynx torquilla","0.127","FALSE"
"3","48","51","Emberiza calandra","0.1276","FALSE"
"3","48","51","Coturnix coturnix","0.103","FALSE"
"3","48","51","Athene noctua","0.1019","FALSE"
"4","0","3","Luscinia megarhynchos","0.8002","TRUE"
"4","3","6","Luscinia megarhynchos","0.4579","TRUE"
"4","3","6","Acrocephalus scirpaceus","0.1527","FALSE"
"4","3","6","Hippolais polyglotta","0.1388","FALSE"
"4","3","6","Emberiza cirlus","0.1221","FALSE"
"4","3","6","Cuculus canorus","0.1062","FALSE"
"4","3","6","Acrocephalus arundinaceus","0.1048","FALSE"
"4","6","9","Luscinia megarhynchos","0.2574","TRUE"
"4","9","12","Luscinia megarhynchos","0.9041","TRUE"
"4","12","15","Luscinia megarhynchos","0.9603","TRUE"
"4","12","15","Phoenicurus phoenicurus","0.1292","FALSE"
"4","15","18","Luscinia megarhynchos","0.6304","TRUE"
"4","15","18","Phoenicurus phoenicurus","0.1279","FALSE"
"4","18","21","Luscinia megarhynchos","0.6589","TRUE"
"4","18","21","Phoenicurus phoenicurus","0.3719","FALSE"
"4","18","21","Fringilla coelebs","0.1824","FALSE"
"4","21","24","Luscinia megarhynchos","0.7478","TRUE"
"4","21","24","Phoenicurus phoenicurus","0.1364","FALSE"
"4","24","27","Luscinia megarhynchos","0.8795","TRUE"
"4","24","27","Phoenicurus phoenicurus","0.212","FALSE"
"4","27","30","Luscinia megarhynchos","0.7029","TRUE"
"4","27","30","Phoenicurus phoenicurus","0.2148","FALSE"
"4","30","33","Luscinia megarhynchos","0.8776","TRUE"
"4","33","36","Luscinia megarhynchos","0.9272","TRUE"
"4","33","36","Phoenicurus phoenicurus","0.2233","FALSE"
"4","36","39","Luscinia megarhynchos","0.7749","TRUE"
"4","36","39","Phoenicurus phoenicurus","0.3376","FALSE"
"4","36","39","Fringilla coelebs","0.1442","FALSE"
"4","39","42","Luscinia megarhynchos","0.4747","TRUE"
"4","39","42","Phoenicurus phoenicurus","0.1605","FALSE"
"4","39","42","Sylvia borin","0.1284","FALSE"
"4","39","42","Hippolais polyglotta","0.1255","FALSE"
"4","39","42","Oriolus oriolus","0.1195","FALSE"
"4","39","42","Curruca communis","0.1072","FALSE"
"4","42","45","Luscinia megarhynchos","0.7587","TRUE"
"4","42","45","Phoenicurus phoenicurus","0.3123","FALSE"
"4","42","45","Fringilla coelebs","0.1287","FALSE"
"4","42","45","Curruca communis","0.1242","FALSE"
"4","45","48","Luscinia megarhynchos","0.8617","TRUE"
"4","45","48","Phoenicurus phoenicurus","0.1124","FALSE"
"4","48","51","Luscinia megarhynchos","0.7612","TRUE"
"4","48","51","Phoenicurus phoenicurus","0.135","FALSE"
"4","48","51","Hippolais polyglotta","0.1071","FALSE"
