"confidence_threshold","TP","FP","TN","FN","TPR","FPR","rec_recall","rec_precision","F_score1","F_score2","F_score3","id_precision","id_recall","id_FPR"
0.1,589,5149,33602,434,0.575757575757576,0.132873990348636,0.575757575757576,0.102649006622517,0.174234580683331,0.107862675183936,0.103490987660549,0.115231820700579,0.287892150272033,0.0243192515934536
0.11,552,4351,34403,468,0.541176470588235,0.112272281570935,0.541176470588235,0.112584132163981,0.186392031065338,0.118085267025721,0.113473907025971,0.127076703878938,0.275502469310568,0.0199454086278644
0.12,516,3717,35034,507,0.504398826979472,0.0959201052876055,0.504398826979472,0.1218993621545,0.19634703196347,0.127590871405507,0.122821529825157,0.140882609530794,0.265203815643137,0.0165258338086003
0.13,492,3197,35553,532,0.48046875,0.0825032258064516,0.48046875,0.133369476822987,0.208784213876512,0.139288569144684,0.134330294871379,0.156677122562755,0.254721413928372,0.0137437078534969
0.14,474,2733,36006,561,0.457971014492754,0.070549059087741,0.457971014492754,0.147801683816651,0.223479490806223,0.153934322883833,0.148799477831134,0.172334151947861,0.246119532983793,0.0115072997609844
0.15,453,2369,36366,586,0.43599615014437,0.0611591583838905,0.43599615014437,0.160524450744153,0.234654234654235,0.16672078976424,0.161534958109582,0.183562650994316,0.237694555598943,0.00966905812048236
0.16,430,2051,36686,607,0.414657666345227,0.0529467950538245,0.414657666345227,0.173317210802096,0.244457077885162,0.179461370387646,0.174321758711071,0.201227146628146,0.228542846594749,0.00823117515895485
0.17,409,1794,36940,631,0.393269230769231,0.0463158981773119,0.393269230769231,0.185655923740354,0.252235584335492,0.191606040564374,0.186631426764254,0.208236294804877,0.22079254091672,0.00715876627980689
0.18,391,1549,37183,651,0.375239923224568,0.0399927708354849,0.375239923224568,0.201546391752577,0.26224010731053,0.207187831182595,0.202474338860348,0.216845511993243,0.215456470683066,0.00626480934680001
0.19,375,1325,37408,666,0.360230547550432,0.0342085560116696,0.360230547550432,0.220588235294118,0.273622765414082,0.225735632590914,0.221438134716238,0.230674197032819,0.20890648879398,0.00551813027404111
0.2,353,1155,37574,692,0.337799043062201,0.0298226135454053,0.337799043062201,0.234084880636605,0.27653740697219,0.238390338855123,0.23479864335342,0.246579115189299,0.2042139539861,0.00493827819953282
0.21,346,1009,37717,702,0.330152671755725,0.0260548468729019,0.330152671755725,0.255350553505535,0.287973366625052,0.258799718409011,0.255924656531037,0.264204020700177,0.199983192752098,0.00434790523336666
