"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Accipiter nisus",0.1,0,18,219,0,NA,0.0759493670886076,NA,0,NA,NA,NA
"Accipiter nisus",0.11,0,10,227,0,NA,0.0421940928270042,NA,0,NA,NA,NA
"Accipiter nisus",0.12,0,8,229,0,NA,0.0337552742616034,NA,0,NA,NA,NA
"Accipiter nisus",0.13,0,6,231,0,NA,0.0253164556962025,NA,0,NA,NA,NA
"Accipiter nisus",0.14,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Accipiter nisus",0.15,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Accipiter nisus",0.16,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Accipiter nisus",0.17,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Accipiter nisus",0.18,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Accipiter nisus",0.19,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Accipiter nisus",0.2,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Accipiter nisus",0.21,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Accipiter nisus",0.22,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.1,0,28,209,0,NA,0.118143459915612,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.11,0,20,217,0,NA,0.0843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.12,0,15,222,0,NA,0.0632911392405063,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.13,0,6,231,0,NA,0.0253164556962025,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.14,0,5,232,0,NA,0.0210970464135021,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.15,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.16,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.17,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.18,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.19,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.2,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.21,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.22,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.23,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.24,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.25,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.26,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.27,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.28,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.29,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.3,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.31,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.32,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.33,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.34,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus arundinaceus",0.35,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.1,0,17,220,0,NA,0.0717299578059072,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.11,0,14,223,0,NA,0.0590717299578059,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.12,0,9,228,0,NA,0.0379746835443038,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.13,0,5,232,0,NA,0.0210970464135021,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.14,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.15,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.16,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.17,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
