"confidence_threshold","TP","FP","TN","FN","TPR","FPR","rec_recall","rec_precision","F_score1","F_score2","F_score3","id_precision","id_recall","id_FPR"
0.1,680,4395,34372,327,0.675273088381331,0.113369618489953,0.675273088381331,0.133990147783251,0.223610654390003,0.140620628413639,0.135062054209677,0.113473474405371,0.305521027537217,0.0169997572457314
0.11,641,3670,35096,367,0.635912698412698,0.0946705876283341,0.635912698412698,0.14868939921132,0.241022748636962,0.155707018747142,0.149825969433568,0.127487855127654,0.292598347349123,0.0136679833035781
0.12,607,3124,35642,401,0.60218253968254,0.0805860805860806,0.60218253968254,0.162690967569016,0.256172188225364,0.169988798102267,0.163875137660782,0.139620220449733,0.280687307622749,0.0110068579336432
0.13,575,2653,36111,435,0.569306930693069,0.0684397894954081,0.569306930693069,0.178128872366791,0.271354412458707,0.185631812829959,0.179349000957352,0.15162379224644,0.271970268452538,0.00905051759455837
0.14,549,2246,36513,466,0.540886699507389,0.0579478314714002,0.540886699507389,0.196422182468694,0.288188976377953,0.204066907182683,0.197668573873055,0.16549965255687,0.262639788335942,0.00746968371173004
0.15,528,1932,36828,486,0.520710059171598,0.0498452012383901,0.520710059171598,0.214634146341463,0.303972366148532,0.222321295883489,0.21589059729408,0.180653506303515,0.251361807833941,0.00628941118589341
0.16,506,1634,37119,515,0.495592556317336,0.0421644775888318,0.495592556317336,0.236448598130841,0.320151850680164,0.243952241853606,0.237679110412471,0.204762645627353,0.243267629793101,0.00535362610088914
0.17,485,1387,37365,537,0.474559686888454,0.035791701073493,0.474559686888454,0.259081196581197,0.335176226675881,0.266190998902305,0.260251192740487,0.212662975486294,0.234262935330343,0.0046470997990671
0.18,465,1196,37551,562,0.452775073028238,0.0308669058249671,0.452775073028238,0.279951836243227,0.345982142857143,0.286381915009238,0.281013839774543,0.228290401229204,0.228738243198432,0.00409404518133324
0.19,448,1015,37730,581,0.435374149659864,0.026196928635953,0.435374149659864,0.30622009569378,0.359550561797753,0.311658550558579,0.30712215517651,0.244284807256069,0.219935796553081,0.00360036228307145
0.2,430,857,37883,604,0.415860735009671,0.02212183789365,0.415860735009671,0.334110334110334,0.37052994398966,0.338019051142144,0.334761897420877,0.261245955568849,0.211622025790861,0.00320201469717929
0.21,422,748,37983,621,0.404602109300096,0.0193126952570293,0.404602109300096,0.360683760683761,0.381382738364211,0.363001568587765,0.361071812813975,0.275581407593041,0.20681819912379,0.00287887931767095
0.22,413,638,38088,635,0.394083969465649,0.0164747198264732,0.394083969465649,0.392959086584206,0.393520724154359,0.393025078369906,0.39297019256133,0.282707147808701,0.197979480432708,0.00261653193952093
0.23,393,573,38150,658,0.373929590865842,0.0147974072256798,0.373929590865842,0.406832298136646,0.389687654933069,0.404737384140062,0.406478172266541,0.297588214385642,0.19407335937238,0.00232810190399316
0.24,378,508,38216,672,0.36,0.0131184794959198,0.36,0.426636568848758,0.390495867768595,0.422041245238408,0.425856107083101,0.311285342786695,0.187505872717849,0.0021006811314063
0.25,369,448,38274,683,0.350760456273764,0.0115696503279789,0.350760456273764,0.451652386780906,0.394863563402889,0.444137638062872,0.450369779582367,0.330390143938833,0.184329999930364,0.00190518650043346
0.26,364,398,38323,689,0.345679012345679,0.0102786601585703,0.345679012345679,0.477690288713911,0.401101928374656,0.46719516798792,0.475890903913117,0.348277716398899,0.180962976799844,0.00170288883575926
0.27,356,349,38370,699,0.337440758293839,0.00901366254293758,0.337440758293839,0.504964539007092,0.404545454545454,0.490636400486421,0.502494584585284,0.374130615036328,0.177231778613946,0.00152537062347676
0.28,339,300,38417,718,0.320719016083254,0.0077485342356071,0.320719016083254,0.530516431924883,0.399764150943396,0.510858966403688,0.52710254476038,0.390093560828269,0.172938636953091,0.00140926876383453
0.29,334,247,38467,726,0.315094339622641,0.00638012088650101,0.315094339622641,0.57487091222031,0.407068860450945,0.548281189648513,0.570216362407032,0.40496221593153,0.169593267305997,0.00121010255702004
0.3,322,220,38491,741,0.302916274694262,0.00568313915941205,0.302916274694262,0.59409594095941,0.401246105919003,0.562300975860298,0.588495014747661,0.419621449728163,0.167543527422294,0.00113457694358076
0.31,316,202,38508,748,0.296992481203008,0.0052182898475846,0.296992481203008,0.61003861003861,0.399494310998736,0.574422583404619,0.60373789346247,0.435588938529548,0.163534451018329,0.0010877883646303
0.32,309,177,38530,758,0.289597000937207,0.00457281628645981,0.289597000937207,0.635802469135803,0.397939471989697,0.594029175619134,0.628364910302615,0.446204161243181,0.159736787256954,0.0010005717826194
0.33,302,162,38544,766,0.282771535580524,0.00418539761277321,0.282771535580524,0.650862068965517,0.394255874673629,0.60456900612341,0.642580264599309,0.461218119923802,0.156892691922915,0.000919364518537001
0.34,295,141,38564,774,0.275958840037418,0.00364294018860612,0.275958840037418,0.676605504587156,0.39202657807309,0.623368551895587,0.667017394613714,0.481649770563425,0.153990071471861,0.000875248074333059
0.35,286,124,38580,784,0.267289719626168,0.00320380322447292,0.267289719626168,0.697560975609756,0.386486486486486,0.637221494102228,0.686617542191585,0.495181486693321,0.150797287102744,0.000876954908054169
0.36,279,115,38589,791,0.260747663551402,0.00297126911947086,0.260747663551402,0.708121827411167,0.381147540983607,0.643205858421481,0.696293550778354,0.515526154148918,0.148392650735692,0.00086275515317516
0.37,270,103,38601,800,0.252336448598131,0.00266122364613477,0.252336448598131,0.723860589812332,0.374220374220374,0.652173913043478,0.710711493354183,0.551703607970989,0.145724622140567,0.000855109639448338
0.38,268,96,38608,802,0.250467289719626,0.00248036378668871,0.250467289719626,0.736263736263736,0.373779637377964,0.660864519872353,0.722391246330398,0.560837488540118,0.143454584420321,0.000801523998311162
0.39,263,89,38615,807,0.245794392523364,0.00229950392724266,0.245794392523364,0.747159090909091,0.369901547116737,0.667114294240525,0.732368348497381,0.567980954507055,0.139400862409044,0.000784946160980774
0.4,258,76,38628,812,0.241121495327103,0.00196362133112857,0.241121495327103,0.772455089820359,0.367521367521368,0.683816651075772,0.755961705831158,0.583595139571625,0.136327741307239,0.000757174287362181
0.41,250,67,38636,821,0.233426704014939,0.00173113195359533,0.233426704014939,0.788643533123028,0.360230547550432,0.691844375712193,0.770498306429465,0.588453079254153,0.134402102411759,0.000666963822887282
0.42,241,61,38642,830,0.225023342670401,0.00157610521148231,0.225023342670401,0.798013245033113,0.351056081573197,0.694053870913095,0.778388922643983,0.595462790027072,0.131006050405283,0.000718290783897701
0.43,239,57,38646,832,0.223155929038282,0.00147275405007364,0.223155929038282,0.807432432432432,0.349670811997074,0.69967280867918,0.787030093573734,0.606575090570438,0.129347432812921,0.000658028032396094
0.44,233,56,38648,837,0.217757009345794,0.00144687887556842,0.217757009345794,0.806228373702422,0.34289919058131,0.695644538110292,0.785218551885219,0.606724774222535,0.127007410100272,0.000669077526240518
0.45,227,51,38653,843,0.21214953271028,0.00131769326167838,0.21214953271028,0.816546762589928,0.336795252225519,0.699347589706415,0.794146172497402,0.627461989344353,0.125029889033326,0.000633784535736309
0.46,223,49,38655,847,0.208411214953271,0.00126601901612236,0.208411214953271,0.819852941176471,0.332339791356185,0.699188491331612,0.796710293597453,0.638111171998442,0.123430404668214,0.000637736495968563
0.47,218,43,38661,852,0.203738317757009,0.00111099627945432,0.203738317757009,0.835249042145594,0.327573253193088,0.706443004193671,0.810379094589621,0.638686027106146,0.12002249874181,0.000583148349582267
0.48,213,37,38667,857,0.199065420560748,0.000955973542786275,0.199065420560748,0.852,0.322727272727273,0.714201183431953,0.825201380897583,0.691653712621526,0.117262997463253,0.000588486375004143
0.49,210,33,38670,861,0.196078431372549,0.00085264708162158,0.196078431372549,0.864197530864197,0.319634703196347,0.719903206291591,0.835993851247487,0.714417475022964,0.114549115654061,0.000568234779043354
0.5,202,29,38674,869,0.188608776844071,0.000749295920212903,0.188608776844071,0.874458874458874,0.310291858678955,0.720369204950703,0.844069339290886,0.728542528208489,0.112540539327394,0.000517194406434743
0.51,195,25,38678,876,0.182072829131653,0.000645944758804227,0.182072829131653,0.886363636363636,0.302091402013943,0.72206490960575,0.85366910840449,0.730881767600852,0.110456444608121,0.000492280246216068
0.52,191,22,38681,880,0.178338001867414,0.00056843138774772,0.178338001867414,0.896713615023474,0.297507788161994,0.7249386023666,0.86232175584462,0.742780038357869,0.108596353408899,0.000484158681833772
0.53,184,22,38681,887,0.171802054154995,0.00056843138774772,0.171802054154995,0.893203883495146,0.288175411119812,0.716281199908404,0.857551566609755,0.734124849974523,0.106591717702491,0.000494018022788178
0.54,180,20,38683,891,0.168067226890756,0.000516755807043382,0.168067226890756,0.9,0.28324154209284,0.716459845469445,0.862797209434768,0.762609638690466,0.104875044406019,0.000469855447498209
0.55,173,15,38688,898,0.161531279178338,0.000387566855282536,0.161531279178338,0.920212765957447,0.274821286735504,0.721010051483207,0.879321624477882,0.828606915229925,0.102942364105736,0.000346848804469828
0.56,169,14,38689,902,0.157796451914099,0.000361729064930367,0.157796451914099,0.923497267759563,0.269537480063796,0.718429607401851,0.881162562593568,0.83090040805983,0.101267668851189,0.000348115901942389
