"recording_id","initial_time","final_time","species","confidence","correct_identification"
"1","0","3","Anas platyrhynchos","0.1701","FALSE"
"1","1","4","Anas platyrhynchos","0.1659","FALSE"
"1","2","5","Anas platyrhynchos","0.2272","FALSE"
"1","3","6","Anas platyrhynchos","0.2302","FALSE"
"1","4","7","Anas platyrhynchos","0.1588","FALSE"
"1","5","8","Anas platyrhynchos","0.1249","FALSE"
"1","8","11","Athene noctua","0.1507","FALSE"
"1","8","11","Anas platyrhynchos","0.102","FALSE"
"1","9","12","Athene noctua","0.1294","FALSE"
"1","10","13","Athene noctua","0.1863","FALSE"
"1","11","14","Athene noctua","0.1338","FALSE"
"1","13","16","Chroicocephalus ridibundus","0.1453","FALSE"
"1","13","16","Anas platyrhynchos","0.13","FALSE"
"1","13","16","Falco tinnunculus","0.1023","FALSE"
"1","16","19","Rallus aquaticus","0.1691","FALSE"
"1","16","19","Chroicocephalus ridibundus","0.1192","FALSE"
"1","17","20","Anas platyrhynchos","0.1003","FALSE"
"1","18","21","Luscinia megarhynchos","0.1537","TRUE"
"1","19","22","Turdus merula","0.1211","FALSE"
"1","19","22","Luscinia megarhynchos","0.1016","TRUE"
"1","20","23","Luscinia megarhynchos","0.126","TRUE"
"1","20","23","Turdus merula","0.1096","FALSE"
"1","24","27","Strix aluco","0.6044","TRUE"
"1","25","28","Strix aluco","0.5846","TRUE"
"1","26","29","Strix aluco","0.6564","TRUE"
"1","30","33","Strix aluco","0.6051","TRUE"
"1","31","34","Strix aluco","0.7602","TRUE"
"1","32","35","Strix aluco","0.4915","TRUE"
"1","39","42","Anas platyrhynchos","0.1458","FALSE"
"1","41","44","Anas platyrhynchos","0.1195","FALSE"
"1","42","45","Luscinia megarhynchos","0.2736","TRUE"
"1","43","46","Luscinia megarhynchos","0.2185","TRUE"
"1","44","47","Luscinia megarhynchos","0.1294","TRUE"
"1","45","48","Strix aluco","0.2207","TRUE"
"1","46","49","Strix aluco","0.5191","TRUE"
"1","47","50","Strix aluco","0.2366","TRUE"
"1","47","50","Athene noctua","0.147","FALSE"
"1","48","51","Strix aluco","0.1408","TRUE"
"1","49","52","Cuculus canorus","0.1579","FALSE"
"1","53","56","Athene noctua","0.1731","FALSE"
"1","53","56","Streptopelia decaocto","0.1383","FALSE"
"1","54","57","Athene noctua","0.1254","FALSE"
"1","54","57","Streptopelia decaocto","0.1226","FALSE"
"1","54","57","Chloris chloris","0.1073","FALSE"
"1","55","58","Chloris chloris","0.1349","FALSE"
"1","55","58","Emberiza calandra","0.12","FALSE"
"1","56","59","Cuculus canorus","0.1553","FALSE"
"1","56","59","Streptopelia decaocto","0.1523","FALSE"
"1","56","59","Athene noctua","0.1398","FALSE"
"1","57","60","Athene noctua","0.1593","FALSE"
"2","4","7","Cuculus canorus","0.1224","FALSE"
"2","5","8","Cuculus canorus","0.2058","FALSE"
"2","6","9","Cuculus canorus","0.2008","FALSE"
"2","6","9","Athene noctua","0.1467","FALSE"
"2","6","9","Turdus merula","0.1152","TRUE"
"2","6","9","Erithacus rubecula","0.1052","TRUE"
"2","8","11","Coturnix coturnix","0.1096","FALSE"
"2","8","11","Cuculus canorus","0.1053","FALSE"
"2","11","14","Cuculus canorus","0.1027","FALSE"
"2","12","15","Cuculus canorus","0.3359","FALSE"
"2","12","15","Athene noctua","0.1649","FALSE"
"2","12","15","Anthus trivialis","0.1175","FALSE"
"2","13","16","Cuculus canorus","0.402","FALSE"
"2","13","16","Athene noctua","0.1991","FALSE"
"2","13","16","Charadrius dubius","0.1416","FALSE"
"2","13","16","Anthus trivialis","0.109","FALSE"
"2","14","17","Cuculus canorus","0.3188","FALSE"
"2","14","17","Turdus merula","0.1084","TRUE"
"2","15","18","Cuculus canorus","0.3015","FALSE"
"2","16","19","Cuculus canorus","0.1712","FALSE"
"2","16","19","Coturnix coturnix","0.1122","FALSE"
"2","17","20","Charadrius dubius","0.1831","FALSE"
"2","17","20","Cuculus canorus","0.1183","FALSE"
"2","17","20","Sylvia atricapilla","0.1039","TRUE"
"2","17","20","Coturnix coturnix","0.1001","FALSE"
"2","18","21","Cuculus canorus","0.1671","FALSE"
"2","18","21","Charadrius dubius","0.1384","FALSE"
"2","18","21","Columba palumbus","0.1139","FALSE"
"2","18","21","Streptopelia turtur","0.1137","FALSE"
"2","18","21","Hippolais polyglotta","0.1105","TRUE"
"2","18","21","Athene noctua","0.1078","FALSE"
"2","18","21","Sylvia atricapilla","0.1061","TRUE"
"2","19","22","Cuculus canorus","0.2106","FALSE"
"2","19","22","Athene noctua","0.1706","FALSE"
"2","19","22","Streptopelia turtur","0.1369","FALSE"
"2","19","22","Corvus corone","0.1122","TRUE"
"2","19","22","Saxicola rubetra","0.1019","FALSE"
"2","20","23","Cuculus canorus","0.12","FALSE"
"2","20","23","Athene noctua","0.1191","FALSE"
"2","21","24","Cuculus canorus","0.1533","FALSE"
"2","21","24","Athene noctua","0.1086","FALSE"
"2","22","25","Cuculus canorus","0.1953","FALSE"
"2","22","25","Anthus trivialis","0.1623","FALSE"
"2","22","25","Emberiza calandra","0.1236","FALSE"
"2","22","25","Hippolais polyglotta","0.115","FALSE"
"2","23","26","Cuculus canorus","0.3416","FALSE"
"2","23","26","Emberiza calandra","0.1801","FALSE"
"2","23","26","Anthus trivialis","0.1446","FALSE"
"2","24","27","Cuculus canorus","0.3135","FALSE"
"2","24","27","Anthus trivialis","0.1211","FALSE"
"2","24","27","Emberiza calandra","0.1","FALSE"
"2","25","28","Cuculus canorus","0.2115","FALSE"
"2","25","28","Phasianus colchicus","0.1497","FALSE"
"2","25","28","Anthus trivialis","0.1305","FALSE"
"2","26","29","Athene noctua","0.1841","FALSE"
"2","26","29","Cuculus canorus","0.1603","FALSE"
"2","26","29","Phasianus colchicus","0.148","FALSE"
"2","26","29","Coturnix coturnix","0.1072","FALSE"
"2","27","30","Cuculus canorus","0.1682","FALSE"
"2","27","30","Coturnix coturnix","0.1243","FALSE"
"2","27","30","Vanellus vanellus","0.1185","FALSE"
"2","27","30","Athene noctua","0.1086","FALSE"
"2","28","31","Cuculus canorus","0.2311","FALSE"
"2","28","31","Sylvia atricapilla","0.1226","TRUE"
"2","28","31","Emberiza calandra","0.1092","FALSE"
"2","28","31","Coturnix coturnix","0.1062","FALSE"
"2","29","32","Cuculus canorus","0.3524","FALSE"
"2","29","32","Emberiza calandra","0.1388","FALSE"
"2","29","32","Corvus corone","0.1211","TRUE"
"2","30","33","Cuculus canorus","0.1039","FALSE"
"2","31","34","Emberiza calandra","0.1404","FALSE"
"2","31","34","Cuculus canorus","0.1342","FALSE"
"2","32","35","Saxicola rubetra","0.1054","FALSE"
"2","33","36","Corvus corone","0.1905","TRUE"
"2","33","36","Cuculus canorus","0.1652","FALSE"
"2","33","36","Sylvia atricapilla","0.1548","TRUE"
"2","33","36","Phylloscopus trochilus","0.1226","FALSE"
"2","33","36","Curruca communis","0.1219","TRUE"
"2","33","36","Streptopelia turtur","0.1185","FALSE"
"2","33","36","Emberiza citrinella","0.1021","FALSE"
"2","34","37","Cuculus canorus","0.1487","FALSE"
"2","34","37","Sylvia atricapilla","0.1337","TRUE"
"2","34","37","Anthus trivialis","0.1143","FALSE"
"2","34","37","Emberiza calandra","0.1141","FALSE"
"2","34","37","Dryocopus martius","0.1073","FALSE"
"2","34","37","Phylloscopus trochilus","0.105","FALSE"
"2","34","37","Corvus corone","0.103","TRUE"
"2","35","38","Emberiza calandra","0.1496","FALSE"
"2","35","38","Coturnix coturnix","0.1423","FALSE"
"2","35","38","Anthus trivialis","0.1334","FALSE"
"2","35","38","Emberiza citrinella","0.1058","FALSE"
"2","38","41","Corvus corone","0.1327","TRUE"
"2","38","41","Emberiza calandra","0.1162","FALSE"
"2","39","42","Corvus corone","0.1225","TRUE"
"2","40","43","Coturnix coturnix","0.1118","FALSE"
"2","40","43","Corvus corone","0.1028","TRUE"
"2","41","44","Coturnix coturnix","0.1279","FALSE"
"2","41","44","Anas platyrhynchos","0.1068","FALSE"
"2","42","45","Coturnix coturnix","0.2126","FALSE"
"2","42","45","Anthus trivialis","0.1136","FALSE"
"2","42","45","Emberiza calandra","0.1115","FALSE"
"2","43","46","Cuculus canorus","0.1246","FALSE"
"2","43","46","Athene noctua","0.1119","FALSE"
"2","43","46","Anthus trivialis","0.1076","FALSE"
"2","44","47","Athene noctua","0.1692","FALSE"
"2","44","47","Coturnix coturnix","0.1355","FALSE"
"2","44","47","Motacilla flava","0.1224","FALSE"
"2","44","47","Emberiza calandra","0.1224","FALSE"
"2","45","48","Athene noctua","0.2613","FALSE"
"2","46","49","Athene noctua","0.281","FALSE"
"2","47","50","Athene noctua","0.1999","FALSE"
"2","47","50","Emberiza calandra","0.1556","FALSE"
"2","47","50","Coturnix coturnix","0.147","FALSE"
"2","47","50","Cuculus canorus","0.1199","FALSE"
"2","47","50","Anthus campestris","0.1101","FALSE"
"2","48","51","Cuculus canorus","0.1785","FALSE"
"2","48","51","Streptopelia turtur","0.1746","FALSE"
"2","48","51","Coturnix coturnix","0.1424","FALSE"
"2","48","51","Emberiza calandra","0.136","FALSE"
"2","48","51","Hippolais polyglotta","0.1077","FALSE"
"2","48","51","Sylvia atricapilla","0.1046","TRUE"
"2","49","52","Emberiza calandra","0.157","FALSE"
"2","49","52","Cuculus canorus","0.1345","FALSE"
"2","49","52","Coturnix coturnix","0.1343","FALSE"
"2","49","52","Sylvia atricapilla","0.1309","TRUE"
