"correct_identification","recording_id","recording_name","common_name","species_num_in_recording","confidence_higher_than","max_conf","n_species_target","start_times","annotated_species_list","first_detection_with_1st_threshold_confidence","first_detection_with_2nd_threshold_confidence","first_detection_with_3rd_threshold_confidence","first_detection_with_4th_threshold_confidence","first_detection_with_5th_threshold_confidence"
"?",1,"Aurignac/100/S4A10950_20210504_000000.wav","Common Nightingale",1,0.95,"0.9712",2,"14M 24S, 15M 26S, 15M 27S, 17M 12S, 17M 13S, 19M 16S, 19M 48S, 21M 55S, 22M 44S, 23M 8S","Lus meg, Str alu",864,926,926,927,NA
"?",1,"Aurignac/100/S4A10950_20210504_000000.wav","Tawny Owl",3,0.8,"0.8214",2,"10M 22S","Lus meg, Str alu",622,622,NA,NA,NA
"?",1,"Aurignac/100/S4A10950_20210504_010000.wav","Common Nightingale",1,0.95,"0.9712",2,"24S, 1M 0S, 1M 1S, 1M 16S, 1M 39S, 2M 57S, 5M 47S, 5M 48S, 6M 58S, 18M 8S, 19M 10S, 19M 13S, 19M 15S, 19M 38S, 19M 39S, 25M 19S","Lus meg, Str alu",24,24,24,NA,NA
"?",1,"Aurignac/100/S4A10950_20210504_020000.wav","Common Nightingale",1,0.95,"0.9712",2,"20S, 29S, 38S, 1M 16S, 1M 57S, 2M 15S, 2M 16S, 2M 31S, 2M 55S, 2M 56S, 3M 18S, 3M 55S, 5M 51S, 6M 45S, 7M 18S, 7M 19S, 13M 22S, 13M 31S, 16M 34S, 21M 15S","Lus meg, Str alu",20,29,29,29,NA
"?",1,"Aurignac/100/S4A10950_20210504_020000.wav","Little Owl",2,0.95,"0.9651",2,"16M 47S, 16M 48S, 16M 49S, 16M 50S, 16M 52S, 16M 53S, 16M 54S","Lus meg, Str alu",1007,1007,1007,1007,1007
"?",1,"Aurignac/100/S4A10950_20210504_030000.wav","Common Nightingale",1,0.95,"0.9712",2,"2S, 3S, 1M 10S, 1M 11S, 6M 2S, 7M 16S, 7M 17S, 7M 39S, 8M 31S, 9M 13S, 9M 21S, 10M 16S, 13M 0S, 13M 46S, 14M 23S, 14M 24S, 16M 17S, 16M 18S, 18M 6S, 18M 7S, 18M 40S, 19M 40S, 20M 13S, 20M 14S, 21M 3S, 21M 27S, 22M 14S, 22M 26S, 22M 39S, 23M 45S, 24M 5S, 24M 35S, 24M 52S, 24M 59S, 26M 26S, 26M 49S, 27M 58S, 28M 0S, 28M 8S, 28M 10S, 29M 25S, 29M 41S","Lus meg, Str alu",2,3,71,71,459
"?",1,"Aurignac/100/S4A10950_20210504_030000.wav","Little Owl",2,0.95,"0.9651",2,"29M 27S, 29M 28S","Lus meg, Str alu",1767,1767,NA,NA,NA
"?",2,"Aurignac/100/S4A10950_20210504_070000.wav","Cattle Egret",2,0.75,"0.7592",12,"20M 33S","Tur mer, Syl atr, Ale ruf, Eri rub, Hip pol, Syl com, Cor one, Lus meg, Cya cae, Ori ori, Str dec, Pho och",1233,NA,NA,NA,NA
"?",2,"Aurignac/100/S4A10950_20210504_070000.wav","Common Cuckoo",5,0.85,"0.8890",12,"1M 46S, 12M 27S, 12M 28S, 13M 40S, 27M 50S, 29M 42S, 29M 44S","Tur mer, Syl atr, Ale ruf, Eri rub, Hip pol, Syl com, Cor one, Lus meg, Cya cae, Ori ori, Str dec, Pho och",106,106,NA,NA,NA
"?",2,"Aurignac/100/S4A10950_20210504_070000.wav","Common Wood-Pigeon",6,0.9,"0.9316",12,"9M 1S, 9M 2S, 9M 8S, 9M 29S, 9M 52S, 28M 35S","Tur mer, Syl atr, Ale ruf, Eri rub, Hip pol, Syl com, Cor one, Lus meg, Cya cae, Ori ori, Str dec, Pho och",541,541,541,541,NA
