"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,219,277,30551,626,0.259171597633136,0.00898533800441157,0.259171597633136,0.441532258064516,0.32662192393736,0.423983600956611,0.437849017580145
0.11,207,237,30592,637,0.245260663507109,0.00768756690129424,0.245260663507109,0.466216216216216,0.321428571428571,0.442752893809763,0.461248305858669
0.12,197,203,30624,649,0.232860520094563,0.00658513640639699,0.232860520094563,0.4925,0.316211878009631,0.462186033673751,0.486021237500506
0.13,189,172,30650,662,0.222091656874266,0.00558042956329894,0.222091656874266,0.523545706371191,0.311881188118812,0.484834766862834,0.515185548176918
0.14,182,149,30675,667,0.214369846878681,0.00483389566571503,0.214369846878681,0.549848942598187,0.308474576271186,0.503498779495525,0.539750446050653
0.15,174,126,30698,675,0.204946996466431,0.00408772385154425,0.204946996466431,0.58,0.302872062663185,0.523632501327669,0.567582279986425
0.16,172,114,30708,679,0.202115158636898,0.00369865680358186,0.202115158636898,0.601398601398601,0.302550571679859,0.538787543762668,0.587522456345337
0.17,167,102,30720,684,0.196239717978848,0.00330932450846798,0.196239717978848,0.620817843866171,0.298214285714286,0.550727449078565,0.605164536259059
0.18,162,90,30732,689,0.190364277320799,0.0029199922133541,0.190364277320799,0.642857142857143,0.293744333635539,0.563997542494368,0.625093453187245
0.19,157,83,30738,695,0.184272300469484,0.0026929690795237,0.184272300469484,0.654166666666667,0.287545787545788,0.568840579710145,0.634813662462267
0.2,155,72,30749,697,0.181924882629108,0.00233606956296032,0.181924882629108,0.682819383259912,0.287303058387396,0.58764495985727,0.661059495375653
0.21,152,71,30750,700,0.178403755868545,0.00230362415236365,0.178403755868545,0.681614349775785,0.282790697674419,0.584615384615385,0.659379055776626
0.22,151,64,30757,701,0.177230046948357,0.00207650627818695,0.177230046948357,0.702325581395349,0.283036551077788,0.598089468779124,0.678299421417324
0.23,149,63,30758,703,0.174882629107981,0.00204406086759028,0.174882629107981,0.702830188679245,0.280075187969925,0.59684260131951,0.678347544770977
0.24,142,60,30761,710,0.166666666666667,0.00194672463580027,0.166666666666667,0.702970297029703,0.269449715370019,0.591087169441724,0.676928743549502
0.25,138,53,30768,714,0.161971830985915,0.00171960676162357,0.161971830985915,0.722513089005236,0.264621284755513,0.600307062436029,0.693807337170879
0.26,135,50,30771,717,0.158450704225352,0.00162227052983355,0.158450704225352,0.72972972972973,0.260366441658631,0.602046169989507,0.699575340024945
0.27,134,48,30773,718,0.157276995305164,0.00155737970864021,0.157276995305164,0.736263736263736,0.259187620889749,0.605207226354942,0.705225751030112
0.28,134,44,30777,718,0.157276995305164,0.00142759806625353,0.157276995305164,0.752808988764045,0.260194174757282,0.615675675675676,0.720205916651974
0.29,133,42,30779,719,0.156103286384977,0.00136270724506019,0.156103286384977,0.76,0.259006815968841,0.619112814895947,0.726403761928712
0.3,132,40,30781,720,0.154929577464789,0.00129781642386684,0.154929577464789,0.767441860465116,0.2578125,0.622641509433962,0.73280558523651
0.31,131,39,30782,721,0.153755868544601,0.00126537101327017,0.153755868544601,0.770588235294118,0.256360078277887,0.623460246360582,0.735320771208569
0.32,129,38,30783,723,0.151408450704225,0.0012329256026735,0.151408450704225,0.772455089820359,0.253189401373896,0.622304199772985,0.736345886169471
