"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Alauda arvensis",0.1,2,0,174,4,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.976647688893178
"Alauda arvensis",0.11,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.12,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.13,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.14,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.15,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.16,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.17,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.18,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.19,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.2,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.21,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.22,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.23,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.24,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.25,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.26,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.27,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.28,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.29,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.3,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.31,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.32,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.33,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.34,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.35,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.36,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.37,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.38,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.39,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.4,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.41,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.42,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.43,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.44,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.45,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.46,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.47,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.48,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.49,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.5,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.51,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.52,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.53,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.54,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.55,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.56,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.57,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.58,0,0,174,6,0,0,0,NA,NA,NA,NA
"Alauda arvensis",0.59,0,0,174,6,0,0,0,NA,NA,NA,NA
