"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Accipiter gentilis",0.1,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.11,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.12,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.13,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.14,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.15,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.16,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.17,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.18,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.19,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.2,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.21,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.22,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.23,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.24,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.25,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.26,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.27,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.28,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.29,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.3,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.31,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.32,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.33,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.34,0,0,33,0,NA,0,NA,NA,NA,NA,NA
"Accipiter gentilis",0.35,0,0,33,0,NA,0,NA,NA,NA,NA,NA
