"recording_id","initial_time","final_time","species","confidence","correct_identification"
"1","24","27","Strix aluco","0.8891625","TRUE"
"1","30","33","Strix aluco","0.9538506","TRUE"
"1","33","36","Strix aluco","0.10010756","TRUE"
"1","45","48","Strix aluco","0.18046726","TRUE"
"1","48","51","Strix aluco","0.23051988","TRUE"
"1","54","57","Strix aluco","0.14756966","TRUE"
"2","24","27","Coturnix coturnix","0.10700465","FALSE"
"2","42","45","Hippolais polyglotta","0.12656549","FALSE"
"3","30","33","Luscinia megarhynchos","0.14037617","TRUE"
"3","39","42","Luscinia megarhynchos","0.12800938","TRUE"
"3","48","51","Luscinia megarhynchos","0.14880209","TRUE"
"3","54","57","Luscinia megarhynchos","0.123943016","TRUE"
"4","0","3","Luscinia megarhynchos","0.9077294","TRUE"
"4","3","6","Luscinia megarhynchos","0.3148355","TRUE"
"4","6","9","Luscinia megarhynchos","0.6972261","TRUE"
"4","9","12","Luscinia megarhynchos","0.99389464","TRUE"
"4","12","15","Luscinia megarhynchos","0.99975973","TRUE"
"4","15","18","Luscinia megarhynchos","0.97095346","TRUE"
"4","18","21","Luscinia megarhynchos","0.87121457","TRUE"
"4","21","24","Luscinia megarhynchos","0.937416","TRUE"
"4","24","27","Luscinia megarhynchos","0.9902754","TRUE"
"4","27","30","Luscinia megarhynchos","0.96445644","TRUE"
"4","30","33","Luscinia megarhynchos","0.9684739","TRUE"
"4","33","36","Luscinia megarhynchos","0.99565035","TRUE"
"4","36","39","Luscinia megarhynchos","0.9782948","TRUE"
"4","42","45","Luscinia megarhynchos","0.8978575","TRUE"
"4","45","48","Luscinia megarhynchos","0.9871951","TRUE"
"4","48","51","Luscinia megarhynchos","0.7365499","TRUE"
"4","51","54","Luscinia megarhynchos","0.98187125","TRUE"
"4","54","57","Luscinia megarhynchos","0.9816056","TRUE"
"4","57","60","Luscinia megarhynchos","0.9453349","TRUE"
"5","3","6","Luscinia megarhynchos","0.18147078","TRUE"
"5","27","30","Columba palumbus","0.11945601","FALSE"
"5","30","33","Luscinia megarhynchos","0.13207501","TRUE"
"5","45","48","Luscinia megarhynchos","0.23624797","TRUE"
"5","51","54","Ixobrychus minutus","0.22948727","FALSE"
"5","51","54","Columba palumbus","0.12693256","FALSE"
"5","54","57","Luscinia megarhynchos","0.4760263","TRUE"
"6","0","3","Jynx torquilla","0.79762393","TRUE"
"6","3","6","Jynx torquilla","0.963781","TRUE"
"6","6","9","Jynx torquilla","0.9982078","TRUE"
"6","9","12","Jynx torquilla","0.5506031","TRUE"
"6","12","15","Jynx torquilla","0.9702223","TRUE"
"6","15","18","Parus major","0.3469931","TRUE"
"6","18","21","Jynx torquilla","0.9955556","TRUE"
"6","21","24","Jynx torquilla","0.9803413","TRUE"
"6","24","27","Jynx torquilla","0.93212056","TRUE"
"6","27","30","Jynx torquilla","0.1108599","TRUE"
"6","30","33","Jynx torquilla","0.9916249","FALSE"
