"recording_id","total_time","species","min_frequency","max_frequency","min_code_n_ind","detected_by_BirdNET","total_detections","proportion_of_time_detected","mean_BirdNET_confidence"
"1","22.745441","Luscinia megarhynchos","1778.946777","9905.947266","1","FALSE","0","0",NA
"1","5.14420200000001","Strix aluco","347.815796","1228.168823","1","TRUE","6","1","0.416946243333333"
"2","16.491708","Turdus merula","1305.356445","4750.020508","4","FALSE","0","0",NA
"2","35.067991","Sylvia atricapilla","1927.735229","5185.706055","1","FALSE","0","0",NA
"2","17.66008","Alectoris rufa","832.109497","2735.541016","1","FALSE","0","0",NA
"2","10.649843","Erithacus rubecula","1668.96875","6252.906738","4","FALSE","0","0",NA
"2","5.598102","Hippolais polyglotta","1550.568726","6342.600586","4","FALSE","0","0",NA
"2","3.25295099999999","Sylvia communis","1858.349243","5943.391602","4","FALSE","0","0",NA
"2","16.273163","Corvus corone","379.760101","2779.861084","1","FALSE","0","0",NA
"2","5.81664600000001","Luscinia megarhynchos","1254.600586","7037.57373","1","FALSE","0","0",NA
"2","5.791431","Cyanistes caeruleus","4135.504883","7650.497559","1","FALSE","0","0",NA
"2","8.817431","Streptopelia decaocto","343.007172","933.516724","2","FALSE","0","0",NA
"3","35.958981","Sylvia atricapilla","1533.327026","4436.317383","1","FALSE","0","0",NA
"3","36.320421","Luscinia megarhynchos","1057.592773","4655.467285","4","TRUE","4","0.302396054274811","0.135282664"
"3","6.19489700000001","Turdus merula","1292.299561","2826.490234","1","FALSE","0","0",NA
"3","2.40399","Streptopelia decaocto","265.680054","766.519714","1","FALSE","0","0",NA
"4","47.348514","Turdus merula","1255.64502","4690.387207","1","FALSE","0","0",NA
"4","59.94004","Luscinia megarhynchos","836.20636","0","4","TRUE","19","0.949949983350028","0.901083923157895"
"4","2.370368","Streptopelia decaocto","225.30423","694.804565","1","FALSE","0","0",NA
"4","15.146818","Sylvia atricapilla","1012.488953","5308.944824","4","FALSE","0","0",NA
"4","2.967162","Sylvia communis","1480.05896","5760.26416","4","FALSE","0","0",NA
"4","10.876794","Aegithalos caudatus","5455.767578","10420.938477","1","FALSE","0","0",NA
"5","59.998879","Luscinia megarhynchos","976.133667","9410.849609","4","TRUE","4","0.200003736736481","0.256455015"
"5","25.653766","Otus scops","953.804565","3643.562012","1","TRUE","3","0.0491175057884289","0.145865519333333"
"6","47.155185","Luscinia megarhynchos","807.480408","8530.981445","4","TRUE","3","0.190835408661847","0.27715314"
"6","38.02675","Jynx torquilla","750.858276","0","4","TRUE","16","0.881874443648221","0.814980735"
"6","16.937202","Corvus corone","216.44162","11214.958984","1","FALSE","0","0",NA
"6","2.883107","Oriolus oriolus","1102.365479","2264.76123","1","FALSE","0","0",NA
"6","29.049612","Parus major","1943.076538","7529.394531","4","TRUE","1","0.0545254786879769","0.3469931"
"6","5.320718","Columba palumbus","193.347305","846.450928","1","FALSE","0","0",NA
"6","0.781716999999999","Sylvia communis","2264.76123","5205.682129","1","FALSE","0","0",NA
"6","1.420539","Certhia brachydactyla","6009.533203","10058.574219","4","FALSE","0","0",NA
"6","0.739688999999998","Aegithalos caudatus","5675.633789","8413.930664","1","FALSE","0","0",NA
"6","0.848960999999996","Emberiza calandra","3817.344482","7322.01416","4","FALSE","0","0",NA
"7","1.075911","Luscinia megarhynchos","1277.932983","3419.583984","1","FALSE","0","0",NA
"8","44.616706","Hippolais polyglotta","1870.945679","8857.550781","4","TRUE","6","0.403436327190985","0.55567194"
"8","13.070645","Oriolus oriolus","805.611206","8857.550781","1","TRUE","2","0.0435669395045158","0.11857097"
"8","9.62436500000001","Emberiza cirlus","5754.437988","11330.620117","1","TRUE","4","0.0812227092384794","0.170672125"
"8","7.985281","Erithacus rubecula","1370.286255","11168.863281","4","FALSE","0","0",NA
"8","4.429729","Turdus merula","931.772644","2666.519043","4","FALSE","0","0",NA
"8","5.186229","Columba palumbus","158.818893","679.314392","1","FALSE","0","0",NA
"8","7.296025","Streptopelia turtur","420.919678","785.553711","1","TRUE","1","0.300937017074366","0.53379613"
"8","3.143679","Sylvia atricapilla","1012.875305","5332.036133","4","FALSE","0","0",NA
"8","5.404774","Emberiza citrinella","4027.631592","10242.980469","1","FALSE","0","0",NA
"8","0.117677999999998","Dendrocopos major","1287.896118","7876.605957","4","FALSE","0","0",NA
"9","20.551592","Sylvia atricapilla","1636.462524","5360.025391","1","TRUE","3","0.334074995260708","0.147845828333333"
"9","40.985505","Hippolais polyglotta","1284.98584","9561.650391","4","TRUE","5","0.3659830469333","0.541497356"
"9","19.971605","Turdus merula","1187.87146","4850.736328","1","FALSE","0","0",NA
"9","24.855237","Columba palumbus","212.1987","769.086182","1","TRUE","2","0.241397818898287","0.131451053"
"9","4.227996","Erithacus rubecula","2121.389648","8841.463867","1","FALSE","0","0",NA
"9","6.37141399999999","Phylloscopus collybita","2878.751465","7802.04248","4","TRUE","1","0.301073042812789","0.12544046"
"9","7.405297","Sylvia communis","1787.654541","8155.597656","4","FALSE","0","0",NA
"9","1.159967","Phylloscopus bonelli","2577.991211","7696.091797","1","FALSE","0","0",NA
"10","28.503249","Saxicola rubicola","1451.345337","7474.525391","1","TRUE","8","0.684710539489726","0.3443500525"
"10","0.327817","Oriolus oriolus","1172.474243","2201.179932","1","FALSE","0","0",NA
"10","2.034145","Turdus merula","1275.176758","2295.633545","1","FALSE","0","0",NA
"10","14.028878","Sylvia atricapilla","1405.882324","6264.538574","4","FALSE","0","0",NA
"10","4.24480900000001","Picus viridis","718.493591","14486.852539","1","TRUE","5","0.949491720357735","0.578220646"
"10","0.420277999999996","Fringilla coelebs","2891.989746","4806.249512","1","FALSE","0","0",NA
"10","15.432606","Turdus philomelos","1569.343628","6414.894531","1","FALSE","0","0",NA
"11","2.57210000000001","Otus scops","1007.614685","1753.332153","1","TRUE","1","0.143791065666187","0.17937087"
"11","31.092162","Luscinia megarhynchos","1357.411743","13412.748047","1","TRUE","5","0.348396840335516","0.374347269"
"12","59.998879","Alauda arvensis","1654.300415","8154.782715","4","TRUE","1","0.0500009341841203","0.10008315"
"12","0.638824","Dendrocopos major","591.958496","4741.72998","1","FALSE","0","0",NA
"12","3.908585","Luscinia megarhynchos","1627.794434","4104.492188","1","FALSE","0","0",NA
"12","1.908062","Fringilla coelebs","1877.505981","4214.529785","1","FALSE","0","0",NA
"12","0.378250000000001","Oriolus oriolus","1264.201782","1966.560059","1","FALSE","0","0",NA
"12","3.076435","Pica pica","440.667389","13546.286133","1","TRUE","1","0.606557265146184","0.7899273"
"13","12.759638","Turdus merula","741.897461","3502.798828","1","FALSE","0","0",NA
"13","10.708682","Corvus corone","329.832886","3502.798828","1","FALSE","0","0",NA
"13","2.319934","Sylvia atricapilla","831.21344","3452.58374","4","FALSE","0","0",NA
"13","3.101651","Streptopelia decaocto","317.52829","945.725403","1","FALSE","0","0",NA
"13","3.03440699999999","Luscinia megarhynchos","447.490814","3071.865479","4","FALSE","0","0",NA
