Scientific_name,English_name
Struthio camelus,Common Ostrich
Struthio molybdophanes,Somali Ostrich
Rhea americana,Greater Rhea
Rhea pennata,Lesser Rhea
Nothocercus julius,Tawny-breasted Tinamou
Nothocercus bonapartei,Highland Tinamou
Nothocercus nigrocapillus,Hooded Tinamou
Tinamus tao,Gray Tinamou
Tinamus solitarius,Solitary Tinamou
Tinamus osgoodi,Black Tinamou
Tinamus major,Great Tinamou
Tinamus guttatus,White-throated Tinamou
Crypturellus cinereus,Cinereous Tinamou
Crypturellus berlepschi,Berlepsch's Tinamou
Crypturellus soui,Little Tinamou
Crypturellus ptaritepui,Tepui Tinamou
Crypturellus obsoletus,Brown Tinamou
Crypturellus undulatus,Undulated Tinamou
Crypturellus transfasciatus,Pale-browed Tinamou
Crypturellus strigulosus,Brazilian Tinamou
Crypturellus duidae,Gray-legged Tinamou
Crypturellus erythropus,Red-legged Tinamou
Crypturellus noctivagus,Yellow-legged Tinamou
Crypturellus atrocapillus,Black-capped Tinamou
Crypturellus boucardi,Slaty-breasted Tinamou
Crypturellus kerriae,Choco Tinamou
Crypturellus variegatus,Variegated Tinamou
Crypturellus cinnamomeus,Thicket Tinamou
Crypturellus brevirostris,Rusty Tinamou
Crypturellus bartletti,Bartlett's Tinamou
Crypturellus parvirostris,Small-billed Tinamou
Crypturellus casiquiare,Barred Tinamou
Crypturellus tataupa,Tataupa Tinamou
Rhynchotus rufescens,Red-winged Tinamou
Rhynchotus maculicollis,Huayco Tinamou
Nothoprocta taczanowskii,Taczanowski's Tinamou
Nothoprocta ornata,Ornate Tinamou
Nothoprocta perdicaria,Chilean Tinamou
Nothoprocta cinerascens,Brushland Tinamou
Nothoprocta pentlandii,Andean Tinamou
Nothoprocta curvirostris,Curve-billed Tinamou
Nothura boraquira,White-bellied Nothura
Nothura minor,Lesser Nothura
Nothura darwinii,Darwin's Nothura
Nothura maculosa,Spotted Nothura
Taoniscus nanus,Dwarf Tinamou
Eudromia elegans,Elegant Crested-Tinamou
Eudromia formosa,Quebracho Crested-Tinamou
Tinamotis pentlandii,Puna Tinamou
Tinamotis ingoufi,Patagonian Tinamou
Casuarius casuarius,Southern Cassowary
Casuarius bennetti,Dwarf Cassowary
Casuarius unappendiculatus,Northern Cassowary
Dromaius novaehollandiae,Emu
Apteryx australis,Southern Brown Kiwi
Apteryx rowi,Okarito Brown Kiwi
Apteryx mantelli,North Island Brown Kiwi
Apteryx owenii,Little Spotted Kiwi
Apteryx haastii,Great Spotted Kiwi
Anhima cornuta,Horned Screamer
Chauna torquata,Southern Screamer
Chauna chavaria,Northern Screamer
Anseranas semipalmata,Magpie Goose
Dendrocygna guttata,Spotted Whistling-Duck
Dendrocygna eytoni,Plumed Whistling-Duck
Dendrocygna viduata,White-faced Whistling-Duck
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Dendrocygna arborea,West Indian Whistling-Duck
Dendrocygna bicolor,Fulvous Whistling-Duck
Dendrocygna arcuata,Wandering Whistling-Duck
Dendrocygna javanica,Lesser Whistling-Duck
Thalassornis leuconotus,White-backed Duck
Anser indicus,Bar-headed Goose
Anser canagicus,Emperor Goose
Anser caerulescens,Snow Goose
Anser rossii,Ross's Goose
Anser anser,Graylag Goose
Anser cygnoides,Swan Goose
Anser albifrons,Greater White-fronted Goose
Anser erythropus,Lesser White-fronted Goose
Anser fabalis,Taiga Bean-Goose
Anser serrirostris,Tundra Bean-Goose
Anser brachyrhynchus,Pink-footed Goose
Branta bernicla,Brant
Branta leucopsis,Barnacle Goose
Branta hutchinsii,Cackling Goose
Branta canadensis,Canada Goose
Branta sandvicensis,Hawaiian Goose
Branta ruficollis,Red-breasted Goose
Cereopsis novaehollandiae,Cape Barren Goose
Stictonetta naevosa,Freckled Duck
Cyanochen cyanoptera,Blue-winged Goose
Cygnus olor,Mute Swan
Cygnus atratus,Black Swan
Cygnus melancoryphus,Black-necked Swan
Cygnus buccinator,Trumpeter Swan
Cygnus columbianus,Tundra Swan
Cygnus cygnus,Whooper Swan
Coscoroba coscoroba,Coscoroba Swan
Sarkidiornis melanotos,Knob-billed Duck
Sarkidiornis sylvicola,Comb Duck
Pteronetta hartlaubii,Hartlaub's Duck
Oressochen jubatus,Orinoco Goose
Oressochen melanopterus,Andean Goose
Chloephaga picta,Upland Goose
Chloephaga hybrida,Kelp Goose
Chloephaga poliocephala,Ashy-headed Goose
Chloephaga rubidiceps,Ruddy-headed Goose
Radjah radjah,Radjah Shelduck
Alopochen aegyptiaca,Egyptian Goose
Alopochen mauritiana,Mauritius Shelduck
Alopochen kervazoi,Reunion Shelduck
Tadorna ferruginea,Ruddy Shelduck
Tadorna cana,South African Shelduck
Tadorna tadornoides,Australian Shelduck
Tadorna variegata,Paradise Shelduck
Tadorna tadorna,Common Shelduck
Tadorna cristata,Crested Shelduck
Plectropterus gambensis,Spur-winged Goose
Tachyeres patachonicus,Flying Steamer-Duck
Tachyeres pteneres,Flightless Steamer-Duck
Tachyeres brachypterus,Falkland Steamer-Duck
Tachyeres leucocephalus,White-headed Steamer-Duck
Lophonetta specularioides,Crested Duck
Speculanas specularis,Spectacled Duck
Cairina moschata,Muscovy Duck
Nettapus pulchellus,Green Pygmy-Goose
Nettapus coromandelianus,Cotton Pygmy-Goose
Nettapus auritus,African Pygmy-Goose
Callonetta leucophrys,Ringed Teal
Aix sponsa,Wood Duck
Aix galericulata,Mandarin Duck
Chenonetta jubata,Maned Duck
Chenonetta finschi,Finsch's Duck
Amazonetta brasiliensis,Brazilian Teal
Hymenolaimus malacorhynchos,Blue Duck
Merganetta armata,Torrent Duck
Salvadorina waigiuensis,Salvadori's Teal
Sibirionetta formosa,Baikal Teal
Spatula querquedula,Garganey
Spatula hottentota,Blue-billed Teal
Spatula versicolor,Silver Teal
Spatula puna,Puna Teal
Spatula discors,Blue-winged Teal
Spatula cyanoptera,Cinnamon Teal
Spatula platalea,Red Shoveler
Spatula smithii,Cape Shoveler
Spatula rhynchotis,Australian Shoveler
Spatula clypeata,Northern Shoveler
Mareca strepera,Gadwall
Mareca falcata,Falcated Duck
Mareca penelope,Eurasian Wigeon
Mareca americana,American Wigeon
Mareca sibilatrix,Chiloe Wigeon
