"recording_id","initial_time","final_time","species","confidence","correct_identification"
"1","0","5",NA,"0.11","FALSE"
"1","5","10",NA,"0.13","FALSE"
"1","5","10",NA,"0.15","FALSE"
"1","10","15",NA,"0.1","FALSE"
"1","10","15",NA,"0.12","FALSE"
"1","15","20",NA,"0.11","FALSE"
"1","25","30","Strix aluco","0.99","TRUE"
"1","30","35","Strix aluco","0.99","TRUE"
"1","35","40",NA,"0.15","FALSE"
"1","40","45",NA,"0.11","FALSE"
"1","45","50",NA,"0.22","FALSE"
"1","45","50","Strix aluco","0.69","TRUE"
"1","50","55","Strix aluco","0.67","TRUE"
"1","55","60",NA,"0.15","FALSE"
"1","55","60",NA,"0.17","FALSE"
"2","5","10","Cuculus canorus","0.76","FALSE"
"2","15","20","Sylvia atricapilla","0.12","TRUE"
"2","15","20","Cuculus canorus","0.62","FALSE"
"2","25","30","Cuculus canorus","0.46","FALSE"
"2","30","35","Sylvia atricapilla","0.12","TRUE"
"2","30","35","Cuculus canorus","0.28","FALSE"
"2","35","40","Sylvia atricapilla","0.41","TRUE"
"2","40","45","Sylvia atricapilla","0.16","TRUE"
"2","40","45","Luscinia megarhynchos","0.27","TRUE"
"2","45","50","Cuculus canorus","0.33","FALSE"
"3","0","5","Sylvia atricapilla","0.78","TRUE"
"3","15","20",NA,"0.26","FALSE"
"3","20","25","Sylvia atricapilla","0.7","TRUE"
"3","25","30",NA,"0.14","FALSE"
"3","25","30","Sylvia atricapilla","0.2","TRUE"
"3","35","40",NA,"0.14","FALSE"
"3","40","45","Sylvia atricapilla","0.47","TRUE"
"3","45","50","Chloris chloris","0.19","FALSE"
"3","50","55","Phylloscopus trochilus","0.12","FALSE"
"3","55","60","Sylvia atricapilla","0.3","TRUE"
"3","55","60","Luscinia megarhynchos","0.1","TRUE"
"4","0","5","Luscinia megarhynchos","0.98","TRUE"
"4","5","10","Luscinia megarhynchos","0.78","TRUE"
"4","10","15","Luscinia megarhynchos","1","TRUE"
"4","15","20","Luscinia megarhynchos","0.98","TRUE"
"4","20","25","Luscinia megarhynchos","0.99","TRUE"
"4","25","30","Luscinia megarhynchos","1","TRUE"
"4","30","35","Luscinia megarhynchos","1","TRUE"
"4","35","40","Luscinia megarhynchos","1","TRUE"
"4","40","45","Luscinia megarhynchos","1","TRUE"
"4","45","50","Luscinia megarhynchos","0.99","TRUE"
"4","50","55","Luscinia megarhynchos","1","TRUE"
"4","55","60","Luscinia megarhynchos","0.58","TRUE"
"4","55","60","Aegithalos caudatus","0.41","TRUE"
"5","0","5","Periparus ater","0.11","FALSE"
"5","0","5","Luscinia megarhynchos","0.3","TRUE"
"5","5","10","Luscinia megarhynchos","0.14","TRUE"
"5","15","20","Turdus merula","0.11","FALSE"
"5","20","25","Luscinia megarhynchos","0.33","TRUE"
"5","25","30","Luscinia megarhynchos","0.29","TRUE"
"5","30","35","Luscinia megarhynchos","0.87","TRUE"
"5","35","40","Luscinia megarhynchos","0.42","TRUE"
"5","40","45","Luscinia megarhynchos","0.91","TRUE"
"5","45","50","Luscinia megarhynchos","0.74","TRUE"
"5","45","50",NA,"0.12","FALSE"
"5","50","55",NA,"0.23","FALSE"
"5","50","55",NA,"0.19","FALSE"
"5","55","60","Luscinia megarhynchos","0.34","TRUE"
"5","55","60",NA,"0.28","FALSE"
"6","0","5","Jynx torquilla","0.8","TRUE"
"6","5","10","Jynx torquilla","1","TRUE"
"6","10","15","Jynx torquilla","1","TRUE"
"6","15","20","Jynx torquilla","0.99","TRUE"
"6","20","25","Jynx torquilla","0.99","TRUE"
"6","25","30","Jynx torquilla","1","TRUE"
"6","30","35","Jynx torquilla","0.97","TRUE"
"6","35","40","Luscinia megarhynchos","0.79","TRUE"
"6","35","40","Jynx torquilla","0.2","TRUE"
"6","40","45","Jynx torquilla","0.97","TRUE"
"6","45","50","Jynx torquilla","1","TRUE"
"6","50","55","Luscinia megarhynchos","0.3","TRUE"
"6","50","55","Jynx torquilla","0.5","TRUE"
"6","50","55","Parus major","0.11","TRUE"
"6","55","60","Jynx torquilla","0.99","TRUE"
"7","0","5","Athene noctua","0.1","FALSE"
"7","15","20","Athene noctua","0.29","FALSE"
"7","20","25",NA,"0.12","FALSE"
"7","25","30","Coturnix coturnix","0.15","FALSE"
"7","35","40",NA,"0.14","FALSE"
"7","40","45",NA,"0.18","FALSE"
"7","50","55",NA,"0.13","FALSE"
"7","55","60","Nycticorax nycticorax","0.14","FALSE"
"7","55","60",NA,"0.16","FALSE"
"8","0","5","Cuculus canorus","0.11","FALSE"
"8","5","10","Parus major","0.15","FALSE"
"8","10","15","Parus major","0.22","FALSE"
"8","15","20","Hippolais polyglotta","0.46","TRUE"
"8","20","25","Cuculus canorus","0.1","FALSE"
"8","20","25","Oriolus oriolus","0.19","TRUE"
"8","20","25","Dendrocopos major","0.13","FALSE"
"8","25","30","Lophophanes cristatus","0.15","FALSE"
"8","30","35","Regulus regulus","0.1","FALSE"
"8","30","35","Parus major","0.1","FALSE"
"8","30","35","Aegithalos caudatus","0.1","FALSE"
"8","35","40","Parus major","0.1","FALSE"
"8","35","40","Curruca communis","0.28","FALSE"
"8","40","45","Periparus ater","0.21","FALSE"
"8","45","50","Carduelis carduelis","0.95","FALSE"
"8","50","55","Parus major","0.14","FALSE"
"8","55","60","Parus major","0.76","FALSE"
"9","0","5","Sylvia atricapilla","0.21","TRUE"
"9","0","5","Cuculus canorus","0.15","FALSE"
"9","5","10","Cuculus canorus","0.32","FALSE"
"9","10","15","Hippolais polyglotta","0.21","TRUE"
"9","10","15",NA,"0.13","FALSE"
"9","15","20",NA,"0.38","FALSE"
"9","15","20","Sylvia atricapilla","0.12","TRUE"
"9","15","20","Columba palumbus","0.1","TRUE"
"9","25","30","Hippolais polyglotta","0.46","TRUE"
"9","30","35","Oriolus oriolus","0.17","FALSE"
"9","35","40","Phylloscopus collybita","0.35","TRUE"
"9","35","40","Turdus merula","0.12","TRUE"
"9","40","45","Cuculus canorus","0.24","FALSE"
"9","45","50","Cuculus canorus","0.34","FALSE"
"9","50","55","Cuculus canorus","0.49","FALSE"
"9","55","60","Sylvia atricapilla","0.25","TRUE"
"10","0","5","Saxicola rubicola","0.58","TRUE"
