"species","n_recordings_clearly_detected","correctly_identified_1st_threshold","incorrectly_identified_1st_threshold","correctly_identified_2nd_threshold","incorrectly_identified_2nd_threshold","correctly_identified_3rd_threshold","incorrectly_identified_3rd_threshold","non_present_species_1st_threshold","non_present_species_2nd_threshold","non_present_species_3rd_threshold"
"Accipiter gentilis","0","0","1","0","0","0","0","1","0","0"
"Acrocephalus arundinaceus","0","0","1","0","0","0","0","1","0","0"
"Actitis hypoleucos","0","0","2","0","0","0","0","2","0","0"
"Aegithalos caudatus","4","2","0","1","0","1","0","0","0","0"
"Alauda arvensis","9","6","3","3","0","2","0","0","0","0"
"Alectoris rufa","3","0","0","0","0","0","0","0","0","0"
"Anas platyrhynchos","1","0","1","0","0","0","0","0","0","0"
"Anthus campestris","0","0","1","0","0","0","0","1","0","0"
"Anthus pratensis","0","0","3","0","1","0","0","3","1","0"
"Anthus spinoletta","4","2","1","1","0","1","0","0","0","0"
"Anthus trivialis","16","14","4","12","1","12","0","0","0","0"
"Apus apus","0","0","1","0","0","0","0","1","0","0"
"Asio otus","1","0","0","0","0","0","0","0","0","0"
"Athene noctua","0","0","2","0","0","0","0","2","0","0"
"Burhinus oedicnemus","0","0","1","0","1","0","0","1","1","0"
"Buteo buteo","1","1","3","1","2","1","1","0","0","0"
"Calidris alpina","0","0","2","0","0","0","0","2","0","0"
"Carduelis carduelis","1","0","1","0","1","0","1","0","0","0"
"Carduelis citrinella","2","0","0","0","0","0","0","0","0","0"
"Certhia brachydactyla","9","4","2","3","1","2","1","0","0","0"
"Charadrius dubius","0","0","1","0","1","0","0","1","1","0"
"Charadrius hiaticula","0","0","1","0","0","0","0","1","0","0"
"Chloris chloris","6","0","4","0","2","0","1","0","0","0"
"Cisticola juncidis","6","3","0","2","0","1","0","0","0","0"
"Coccothraustes coccothraustes","0","0","2","0","0","0","0","2","0","0"
"Columba oenas","2","0","1","0","0","0","0","0","0","0"
"Columba palumbus","17","0","0","0","0","0","0","0","0","0"
"Corvus corax","5","0","2","0","0","0","0","0","0","0"
"Corvus cornix","0","0","1","0","0","0","0","1","0","0"
"Corvus corone","49","13","2","5","0","1","0","0","0","0"
"Corvus monedula","2","0","0","0","0","0","0","0","0","0"
"Coturnix coturnix","13","4","13","4","1","4","0","0","0","0"
"Cuculus canorus","13","9","27","6","8","3","3","0","0","0"
"Curruca communis","52","16","6","9","1","7","0","0","0","0"
"Curruca hortensis","0","0","1","0","0","0","0","1","0","0"
"Curruca melanocephala","0","0","1","0","0","0","0","1","0","0"
"Cyanistes caeruleus","28","6","5","4","0","0","0","0","0","0"
"Dendrocopos major","5","1","0","1","0","0","0","0","0","0"
"Dendrocoptes medius","0","0","2","0","1","0","1","2","1","1"
"Dryocopus martius","0","0","2","0","0","0","0","2","0","0"
"Emberiza calandra","34","11","3","9","1","6","1","0","0","0"
"Emberiza cia","4","0","0","0","0","0","0","0","0","0"
"Emberiza cirlus","20","9","0","7","0","5","0","0","0","0"
"Emberiza citrinella","21","3","4","1","1","0","0","0","0","0"
"Erithacus rubecula","33","12","4","5","0","4","0","0","0","0"
"Ficedula hypoleuca","0","0","2","0","0","0","0","2","0","0"
"Fringilla coelebs","37","11","1","4","0","2","0","0","0","0"
"Fulica atra","0","0","1","0","0","0","0","1","0","0"
"Galerida cristata","1","0","0","0","0","0","0","0","0","0"
"Gallinula chloropus","0","0","5","0","0","0","0","5","0","0"
"Garrulus glandarius","8","1","0","1","0","1","0","0","0","0"
"Haematopus ostralegus","0","0","1","0","0","0","0","1","0","0"
"Hippolais polyglotta","14","6","0","4","0","3","0","0","0","0"
"Hirundo rustica","4","3","2","1","0","0","0","0","0","0"
"Ixobrychus minutus","0","0","3","0","0","0","0","3","0","0"
"Jynx torquilla","1","1","1","1","0","1","0","0","0","0"
"Lanius collurio","0","0","1","0","0","0","0","1","0","0"
"Leiopicus medius","3","0","0","0","0","0","0","0","0","0"
"Lophophanes cristatus","4","1","1","0","0","0","0","0","0","0"
"Loxia curvirostra","2","0","6","0","1","0","0","0","0","0"
"Lullula arborea","14","4","2","3","2","3","0","0","0","0"
"Luscinia megarhynchos","99","46","0","32","0","22","0","0","0","0"
"Merops apiaster","1","1","0","1","0","1","0","0","0","0"
"Milvus migrans","1","1","0","1","0","0","0","0","0","0"
"Monticola saxatilis","1","0","0","0","0","0","0","0","0","0"
"Motacilla cinerea","0","0","1","0","0","0","0","1","0","0"
"Muscicapa striata","0","0","1","0","0","0","0","1","0","0"
"Numenius arquata","0","0","2","0","0","0","0","2","0","0"
"Numenius phaeopus","0","0","8","0","0","0","0","8","0","0"
"Nycticorax nycticorax","0","0","4","0","2","0","1","4","2","1"
"Oenanthe oenanthe","1","0","0","0","0","0","0","0","0","0"
"Oriolus oriolus","31","7","1","2","0","1","0","0","0","0"
"Otus scops","14","0","0","0","0","0","0","0","0","0"
"Parus major","22","8","10","5","3","3","1","0","0","0"
"Passer domesticus","21","3","0","0","0","0","0","0","0","0"
"Passer montanus","0","0","3","0","1","0","1","3","1","1"
"Periparus ater","8","2","6","2","1","1","1","0","0","0"
"Phalacrocorax carbo","0","0","1","0","0","0","0","1","0","0"
"Phasianus colchicus","9","0","1","0","0","0","0","0","0","0"
"Phoenicurus ochruros","9","4","1","2","0","2","0","0","0","0"
