"n_recordings_sampled","sample_number","minimum_confidence_threshold","n_species_correctly_detected","n_species_incorrectly_detected","total_species_detected"
10,1,0.15,12,8,23
10,1,0.6,9,2,23
10,1,0.85,7,1,23
10,2,0.15,8,6,22
10,2,0.6,4,1,22
10,2,0.85,3,1,22
10,3,0.15,11,9,26
10,3,0.6,10,1,26
10,3,0.85,8,1,26
10,4,0.15,10,4,27
10,4,0.6,6,1,27
10,4,0.85,3,0,27
10,5,0.15,10,9,25
10,5,0.6,6,1,25
10,5,0.85,5,1,25
10,6,0.15,10,7,27
10,6,0.6,9,1,27
10,6,0.85,1,0,27
10,7,0.15,13,2,22
10,7,0.6,8,1,22
10,7,0.85,6,1,22
10,8,0.15,6,10,21
10,8,0.6,6,1,21
10,8,0.85,6,1,21
10,9,0.15,10,7,29
10,9,0.6,4,1,29
10,9,0.85,3,0,29
10,10,0.15,11,15,25
10,10,0.6,9,1,25
10,10,0.85,6,0,25
10,11,0.15,11,3,28
10,11,0.6,7,2,28
10,11,0.85,6,1,28
10,12,0.15,8,5,18
10,12,0.6,4,1,18
10,12,0.85,3,0,18
10,13,0.15,12,11,28
10,13,0.6,8,1,28
10,13,0.85,7,0,28
10,14,0.15,12,6,27
10,14,0.6,9,4,27
10,14,0.85,5,1,27
10,15,0.15,18,9,28
10,15,0.6,10,1,28
10,15,0.85,5,0,28
10,16,0.15,7,10,27
10,16,0.6,6,1,27
10,16,0.85,3,0,27
10,17,0.15,10,12,26
10,17,0.6,8,0,26
10,17,0.85,6,0,26
10,18,0.15,9,7,23
10,18,0.6,7,1,23
10,18,0.85,6,0,23
10,19,0.15,7,11,23
10,19,0.6,5,4,23
10,19,0.85,4,1,23
10,20,0.15,8,8,19
10,20,0.6,6,3,19
10,20,0.85,6,1,19
10,21,0.15,12,9,21
10,21,0.6,11,1,21
10,21,0.85,8,0,21
10,22,0.15,10,7,26
10,22,0.6,8,2,26
10,22,0.85,5,0,26
10,23,0.15,14,8,25
10,23,0.6,13,2,25
10,23,0.85,9,0,25
10,24,0.15,13,9,30
10,24,0.6,8,4,30
10,24,0.85,6,1,30
10,25,0.15,8,5,22
10,25,0.6,7,0,22
10,25,0.85,4,0,22
10,26,0.15,9,9,22
10,26,0.6,6,2,22
10,26,0.85,4,1,22
10,27,0.15,11,7,28
10,27,0.6,8,0,28
10,27,0.85,7,0,28
10,28,0.15,11,8,22
10,28,0.6,8,3,22
10,28,0.85,5,3,22
10,29,0.15,12,8,26
10,29,0.6,4,2,26
10,29,0.85,4,1,26
10,30,0.15,13,11,24
10,30,0.6,6,1,24
10,30,0.85,4,1,24
10,31,0.15,11,6,23
10,31,0.6,8,3,23
10,31,0.85,5,3,23
10,32,0.15,9,3,24
10,32,0.6,7,0,24
10,32,0.85,6,0,24
