"recording_id","label","sound_category","sound_type","initial_time","final_time","min_frequency","max_frequency","confidence_level","code_n_ind","species"
1,"Ort sp.","Orthoptera","Song",0,59.998879,3790.943359,4530.612305,1,1,"Orthoptera sp."
1,"Hyla meridionalis","Frog","Song",0,59.998879,932.715271,2610.605469,1,3,"Hyla meridionalis"
1,"Lus meg","Bird","Song",0,1.975306,2565.0354,4046.961426,1,1,"Luscinia megarhynchos"
1,"Asi otu","Bird","Song",4.681896,5.387963,372.890137,897.597961,0,1,"Asio otus"
1,"Lus meg","Bird","Song",7.396892,9.48147,2520.092773,4530.612305,1,1,"Luscinia megarhynchos"
1,"Canis familiaris","Domestic animal","Unknown",10.195943,12.171249,305.139313,781.745667,1,0,"Canis familiaris"
1,"Lus meg","Bird","Song",12.507472,16.668223,2475.768311,4113.215332,1,4,"Luscinia megarhynchos"
1,"Lus meg","Bird","Song",19.618574,21.089547,2142.447266,3668.158691,1,1,"Luscinia megarhynchos"
1,"Lus meg","Bird","Song",23.527159,27.250822,1844.110962,3209.687256,1,4,"Luscinia megarhynchos"
1,"Str alu","Bird","Song",25.847094,26.578377,423.007507,955.503174,1,1,"Strix aluco"
1,"Non identifie","Noise","Unknown",28.478033,28.906717,288.053162,692.651978,1,0,"-"
1,"Lus meg","Bird","Song",30.865212,32.756463,1778.946777,3712.572021,1,1,"Luscinia megarhynchos"
1,"Str alu","Bird","Song",32.201696,34.706553,347.815796,1228.168823,1,1,"Strix aluco"
1,"Lus meg","Bird","Song",35.967386,38.043559,2182.119385,3853.624023,1,4,"Luscinia megarhynchos"
1,"Lus meg","Bird","Song",43.700501,45.701024,1844.110962,3917.178223,1,4,"Luscinia megarhynchos"
1,"Str alu","Bird","Song",47.718358,48.474858,520.393738,1074.302979,1,1,"Strix aluco"
1,"Canis familiaris","Domestic animal","Unknown",48.642969,59.998879,319.168182,644.735229,1,0,"Canis familiaris"
1,"Lus meg","Bird","Song",48.794269,50.029886,3050.449707,9905.947266,1,4,"Luscinia megarhynchos"
1,"Str alu","Bird","Song",54.14861,55.300172,626.225098,932.715271,1,1,"Strix aluco"
1,"Lus meg","Bird","Song",55.392633,57.519239,2182.119385,3917.178223,1,1,"Luscinia megarhynchos"
2,"Tur mer","Bird","Song",0,1.933279,1609.010132,4750.020508,1,4,"Turdus merula"
2,"Syl atr","Bird","Song",0,1.992117,2440.709961,4612.07959,1,4,"Sylvia atricapilla"
2,"Ale ruf","Bird","Song",0.504334,5.530858,942.171936,2399.664062,1,4,"Alectoris rufa"
2,"Canis familiaris","Domestic animal","Unknown",1.57184,26.897788,421.711182,821.637146,1,0,"Canis familiaris"
2,"Eri rub","Bird","Song",2.261095,12.910938,1668.96875,6252.906738,1,4,"Erithacus rubecula"
2,"Tur mer","Bird","Call",4.001046,4.152346,1699.529419,3517.578125,0,1,"Turdus merula"
2,"Syl atr","Bird","Song",4.396107,5.598102,1927.735229,4074.455078,1,1,"Sylvia atricapilla"
2,"Cya cae","Bird","Call",6.001569,6.825314,2561.266113,5943.391602,0,4,"Cyanistes caeruleus"
2,"Tur mer","Bird","Song",6.211708,9.10322,1305.356445,3571.986328,1,4,"Turdus merula"
2,"Syl atr","Bird","Song",8.615698,11.700538,2134.613281,3682.917969,0,4,"Sylvia atricapilla"
2,"Hip pol","Bird","Song",9.397415,12.944561,1858.349243,3205.373779,1,4,"Hippolais polyglotta"
2,"Ale ruf","Bird","Song",9.683204,10.532165,963.169556,2360.530273,1,4,"Alectoris rufa"
2,"Syl atr","Bird","Song",13.297594,16.399245,2563.83374,5185.706055,1,4,"Sylvia atricapilla"
2,"Cuc can","Bird","Song",13.490922,13.928011,450.58017,841.093689,0,1,"Cuculus canorus"
2,"Tur mer","Bird","Song",13.701061,16.508518,1357.430054,3155.634277,1,4,"Turdus merula"
2,"Non identifie","Noise","Unknown",16.046212,17.668485,5378.050781,11218.293945,1,0,"-"
2,"Syl com","Bird","Song",16.819523,17.82819,2439.297363,5943.391602,1,4,"Curruca communis"
2,"Col pal","Bird","Song",16.819523,18.651935,366.128052,880.756165,0,1,"Columba palumbus"
2,"Syl atr","Bird","Song",17.500374,20.778542,2400.709229,4282.311523,1,4,"Sylvia atricapilla"
2,"Ale ruf","Bird","Call",18.038329,18.845263,933.516724,2735.541016,1,1,"Alectoris rufa"
2,"Cor one","Bird","Call",19.694224,22.56052,851.874329,1550.568726,1,1,"Corvus corone"
2,"Hip pol","Bird","Song",19.92958,21.980536,1550.568726,6342.600586,1,4,"Hippolais polyglotta"
2,"Tur mer","Bird","Song",19.946391,22.014159,1499.534546,2775.168701,1,4,"Turdus merula"
2,"Lus meg","Bird","Song",22.014159,23.535565,2029.828857,7037.57373,1,4,"Luscinia megarhynchos"
2,"Cya cae","Bird","Song",23.375859,24.325687,4135.504883,7650.497559,1,1,"Cyanistes caeruleus"
2,"Tur mer","Bird","Call",24.998132,25.183054,755.535461,9254.866211,0,1,"Turdus merula"
2,"Syl atr","Bird","Song",25.309138,30.856807,2208.220459,4156.208984,1,4,"Sylvia atricapilla"
2,"Cor one","Bird","Call",25.468843,26.855761,657.21875,1961.335083,1,1,"Corvus corone"
2,"Lus meg","Bird","Song",26.595188,27.5198,1357.430054,4218.855469,1,1,"Luscinia megarhynchos"
2,"Otu sco","Bird","Song",26.813733,27.175172,900.968384,1390.542969,0,1,"Otus scops"
2,"Cor one","Bird","Call",27.175172,27.847617,379.760101,2029.828857,1,1,"Corvus corone"
2,"Ale ruf","Bird","Song",27.704722,29.100045,942.171936,1444.346313,1,1,"Alectoris rufa"
2,"Emb cir","Bird","Song",29.789301,31.630118,3463.862305,6713.103027,0,4,"Emberiza cirlus"
2,"Cor one","Bird","Call",30.781157,36.051442,379.760101,1765.994019,1,1,"Corvus corone"
2,"Non identifie","Noise","Unknown",31.05854,34.992342,3558.558105,11067.823242,1,0,"-"
2,"Lus meg","Bird","Song",31.344329,32.865735,1410.855835,2563.83374,1,1,"Luscinia megarhynchos"
2,"Syl com","Bird","Song",32.319374,34.563658,1858.349243,4820.328613,1,4,"Curruca communis"
2,"Syl atr","Bird","Song",33.748319,53.69471,1992.940796,4820.328613,1,4,"Sylvia atricapilla"
2,"Tro tro","Bird","Song",33.91643,34.89988,4477.631348,7203.76416,0,1,"Troglodytes troglodytes"
2,"Ale ruf","Bird","Call",35.664786,36.362448,997.555054,2605.939209,1,1,"Alectoris rufa"
2,"Cya cae","Bird","Song",37.505604,39.489316,4282.311523,7619.572266,1,1,"Cyanistes caeruleus"
2,"Ale ruf","Bird","Call",38.136021,38.379782,954.589783,2648.586914,1,1,"Alectoris rufa"
2,"Cor one","Bird","Call",39.985244,41.397377,954.589783,2779.861084,1,4,"Corvus corone"
2,"Ale ruf","Bird","Call",41.346944,43.389495,832.109497,2648.586914,1,4,"Alectoris rufa"
2,"Tur mer","Bird","Song",41.758816,43.633256,1556.142944,2687.974121,1,4,"Turdus merula"
2,"Lus meg","Bird","Song",42.288367,43.120517,1493.606812,4544.425781,1,1,"Luscinia megarhynchos"
2,"Cya cae","Bird","Song",43.877017,44.608301,4411.688965,7203.76416,1,1,"Cyanistes caeruleus"
2,"Oiseau sp.","Bird","Unknown",44.734384,47.054319,1992.940796,7835.605469,1,4,"Unidentified bird"
2,"Oiseau sp.","Bird","Unknown",44.81844,45.011768,4197.333496,6939.885742,1,1,"Unidentified bird"
2,"Cor one","Bird","Call",44.877279,47.760386,912.711975,1521.905273,1,1,"Corvus corone"
2,"Ale ruf","Bird","Song",45.27234,51.870704,963.169556,2100.085205,1,4,"Alectoris rufa"
2,"Canis familiaris","Domestic animal","Unknown",45.331179,59.956851,407.549469,727.977966,1,0,"Canis familiaris"
2,"Tur mer","Bird","Song",47.306485,48.20588,1704.120117,2819.604248,1,4,"Turdus merula"
2,"Cya cae","Bird","Song",47.962119,49.130492,4282.311523,6808.736816,1,1,"Cyanistes caeruleus"
2,"Ori ori","Bird","Song",49.374253,50.071914,1072.254639,2439.297363,1,4,"Oriolus oriolus"
2,"Cor one","Bird","Call",50.282053,50.668709,1041.63562,2779.861084,1,1,"Corvus corone"
2,"Str dec","Bird","Song",51.13942,59.956851,343.007172,933.516724,1,2,"Streptopelia decaocto"
2,"Pho och","Bird","Song",51.341154,52.206926,2246.069092,6843.430176,1,4,"Phoenicurus ochruros"
2,"Cya cae","Bird","Song",52.072437,52.770099,4135.504883,7236.711914,1,4,"Cyanistes caeruleus"
2,"Lus meg","Bird","Song",52.248954,54.190638,1254.600586,3739.459717,1,4,"Luscinia megarhynchos"
2,"Tur mer","Bird","Song",54.871488,58.889345,1465.669067,4544.425781,1,4,"Turdus merula"
2,"Pho och","Bird","Song",55.073222,56.0987,2135.888672,6654.160156,1,4,"Phoenicurus ochruros"
2,"Oiseau sp.","Bird","Unknown",56.275217,56.611439,5495.346191,7103.097656,1,1,"Unidentified bird"
2,"Cya cae","Bird","Song",57.140989,58.099223,4411.688965,7305.724121,1,1,"Cyanistes caeruleus"
2,"Cor one","Bird","Call",57.208234,58.393418,1027.787354,2100.085205,1,4,"Corvus corone"
2,"Oiseau sp.","Bird","Unknown",57.258667,58.460662,1992.940796,4094.359131,1,4,"Unidentified bird"
