"recording_id","initial_time","final_time","species","total_time","min_code_n_ind"
"1","0","3","Luscinia megarhynchos","1.98","1"
"1","1","4","Luscinia megarhynchos","0.98","1"
"1","5","8","Luscinia megarhynchos","0.6","1"
"1","6","9","Luscinia megarhynchos","1.6","1"
"1","7","10","Luscinia megarhynchos","2.08","1"
"1","8","11","Luscinia megarhynchos","1.48","1"
"1","9","12","Luscinia megarhynchos","0.48","1"
"1","10","13","Luscinia megarhynchos","0.49","4"
"1","11","14","Luscinia megarhynchos","1.49","4"
"1","12","15","Luscinia megarhynchos","2.49","4"
"1","13","16","Luscinia megarhynchos","3","4"
"1","14","17","Luscinia megarhynchos","2.67","4"
"1","15","18","Luscinia megarhynchos","1.67","4"
"1","16","19","Luscinia megarhynchos","0.67","4"
"1","17","20","Luscinia megarhynchos","0.38","1"
"1","18","21","Luscinia megarhynchos","1.38","1"
"1","19","22","Luscinia megarhynchos","1.47","1"
"1","20","23","Luscinia megarhynchos","1.09","1"
"1","21","24","Luscinia megarhynchos","0.09","1"
"1","21","24","Luscinia megarhynchos","0.47","4"
"1","22","25","Luscinia megarhynchos","1.47","4"
"1","23","26","Luscinia megarhynchos","2.47","4"
"1","23","26","Strix aluco","0.15","1"
"1","24","27","Luscinia megarhynchos","3","4"
"1","24","27","Strix aluco","0.73","1"
"1","25","28","Luscinia megarhynchos","2.25","4"
"1","25","28","Strix aluco","0.73","1"
"1","26","29","Luscinia megarhynchos","1.25","4"
"1","26","29","Strix aluco","0.58","1"
"1","27","30","Luscinia megarhynchos","0.25","4"
"1","28","31","Luscinia megarhynchos","0.13","1"
"1","29","32","Luscinia megarhynchos","1.13","1"
"1","30","33","Luscinia megarhynchos","1.89","1"
"1","30","33","Strix aluco","0.8","1"
"1","31","34","Luscinia megarhynchos","1.76","1"
"1","31","34","Strix aluco","1.8","1"
"1","32","35","Luscinia megarhynchos","0.76","1"
"1","32","35","Strix aluco","2.5","1"
"1","33","36","Luscinia megarhynchos","0.03","4"
"1","33","36","Strix aluco","1.71","1"
"1","34","37","Luscinia megarhynchos","1.03","4"
"1","34","37","Strix aluco","0.71","1"
"1","35","38","Luscinia megarhynchos","2.03","4"
"1","36","39","Luscinia megarhynchos","2.04","4"
"1","37","40","Luscinia megarhynchos","1.04","4"
"1","38","41","Luscinia megarhynchos","0.04","4"
"1","41","44","Luscinia megarhynchos","0.3","4"
"1","42","45","Luscinia megarhynchos","1.3","4"
"1","43","46","Luscinia megarhynchos","2","4"
"1","44","47","Luscinia megarhynchos","1.7","4"
"1","45","48","Luscinia megarhynchos","0.7","4"
"1","45","48","Strix aluco","0.28","1"
"1","46","49","Luscinia megarhynchos","0.21","4"
"1","46","49","Strix aluco","0.76","1"
"1","47","50","Luscinia megarhynchos","1.21","4"
"1","47","50","Strix aluco","0.76","1"
"1","48","51","Luscinia megarhynchos","1.24","4"
"1","48","51","Strix aluco","0.47","1"
"1","49","52","Luscinia megarhynchos","1.03","4"
"1","50","53","Luscinia megarhynchos","0.03","4"
"1","52","55","Strix aluco","0.85","1"
"1","53","56","Luscinia megarhynchos","0.61","1"
"1","53","56","Strix aluco","1.15","1"
"1","54","57","Luscinia megarhynchos","1.61","1"
"1","54","57","Strix aluco","1.15","1"
"1","55","58","Luscinia megarhynchos","2.13","1"
"1","55","58","Strix aluco","0.3","1"
"1","56","59","Luscinia megarhynchos","1.52","1"
"1","57","60","Luscinia megarhynchos","0.52","1"
"2","0","3","Alectoris rufa","2.5","4"
"2","0","3","Erithacus rubecula","0.74","4"
"2","0","3","Sylvia atricapilla","1.99","4"
"2","0","3","Turdus merula","1.93","4"
"2","1","4","Alectoris rufa","3","4"
"2","1","4","Erithacus rubecula","1.74","4"
"2","1","4","Sylvia atricapilla","0.99","4"
"2","1","4","Turdus merula","0.93","4"
"2","2","5","Alectoris rufa","3","4"
"2","2","5","Erithacus rubecula","2.74","4"
"2","2","5","Sylvia atricapilla","0.6","1"
"2","3","6","Alectoris rufa","2.53","4"
"2","3","6","Erithacus rubecula","3","4"
"2","3","6","Sylvia atricapilla","1.2","1"
"2","4","7","Alectoris rufa","1.53","4"
"2","4","7","Erithacus rubecula","3","4"
"2","4","7","Sylvia atricapilla","1.2","1"
"2","4","7","Turdus merula","0.79","4"
"2","5","8","Alectoris rufa","0.53","4"
"2","5","8","Erithacus rubecula","3","4"
"2","5","8","Sylvia atricapilla","0.6","1"
"2","5","8","Turdus merula","1.79","4"
"2","6","9","Erithacus rubecula","3","4"
"2","6","9","Turdus merula","2.79","4"
"2","7","10","Alectoris rufa","0.32","4"
"2","7","10","Erithacus rubecula","3","4"
"2","7","10","Hippolais polyglotta","0.6","4"
"2","7","10","Turdus merula","2.1","4"
