label,species
Aeg cau,Aegithalos caudatus
Ala arv,Alauda arvensis
Ale ruf,Alectoris rufa
Ana pla,Anas platyrhynchos
Ant cam,Anthus campestris
Ant tri,Anthus trivialis
Ant spi,Anthus spinoletta
Asi otu,Asio otus
But but,Buteo buteo
Car car,Carduelis carduelis
Car cit,Carduelis citrinella
Cer bra,Certhia brachydactyla
Chl chl,Chloris chloris
Cis jun,Cisticola juncidis
Col oen,Columba oenas
Col pal,Columba palumbus
Cor mon,Corvus monedula
Cor one,Corvus corone
Cor rax,Corvus corax
Cot cot,Coturnix coturnix
Cuc can,Cuculus canorus
Cya cae,Cyanistes caeruleus
Del urb,Delichon urbicum
Den maj,Dendrocopos major
Den med,Leiopicus medius
Emb cal,Emberiza calandra
Emb cia,Emberiza cia
Emb cir,Emberiza cirlus
Emb cit,Emberiza citrinella
Emb hor,Emberiza hortulana
Eri rub,Erithacus rubecula
Fri coe,Fringilla coelebs
Gal cri,Galerida cristata
Gar gla,Garrulus glandarius
Hip pol,Hippolais polyglotta
Hir rus,Hirundo rustica
Jyn tor,Jynx torquilla
Lan mer,Lanius meridionalis
Lin can,Linaria cannabina
Loc nae,Locustella naevia
Lop cri,Lophophanes cristatus
Lox cur,Loxia curvirostra
Lul arb,Lullula arborea
Lus meg,Luscinia megarhynchos
Mer api,Merops apiaster
Mil mig,Milvus migrans
Mon sax,Monticola saxatilis
Mot alb,Motacilla alba
Nyc nyc,Nycticorax nycticorax
Oen oen,Oenanthe oenanthe
Oiseau sp.,Unidentified bird
Ori ori,Oriolus oriolus
Otu sco,Otus scops
Par maj,Parus major
Pas dom,Passer domesticus
Pas mon,Passer montanus
Per ate,Periparus ater
Pha col,Phasianus colchicus
Pho och,Phoenicurus ochruros
Phy bon,Phylloscopus bonelli
Phy col,Phylloscopus collybita
Phy lus,Phylloscopus trochilus
Pic pic,Pica pica
Pic vir,Picus viridis
Pic sha,Picus sharpei
Poe pal,Poecile palustris
Pru mod,Prunella modularis
Pyr gra,Pyrrhocorax graculus
Pyr rax,Pyrrhocorax pyrrhocorax
Reg ign,Regulus ignicapilla
Reg reg,Regulus regulus
Sax ola,Saxicola rubicola
Ser ser,Serinus serinus
Sit eur,Sitta europaea
Spi spi,Spinus spinus
Str alu,Strix aluco
Str dec,Streptopelia decaocto
Str tur,Streptopelia turtur
Stu vul,Sturnus vulgaris
Syl atr,Sylvia atricapilla
Syl bor,Sylvia borin
Syl com,Curruca communis
Tro tro,Troglodytes troglodytes
Tur mer,Turdus merula
Tur phi,Turdus philomelos
Tur tor,Turdus torquatus
Tur vis,Turdus viscivorus
Upu epo,Upupa epops
