station,commune,X,Y,coordinate_system,precise_coordinates,grid no,start_date,end_date,recorder,ARU,habitat,comment,altitude
5,Peyrissas,530481.010114999,6246883.78139,Lambert93,yes,5,19/06/2019,20/06/2019,SM4C,SM4,grassland,,
8,Saint-André,523477.657095999,6246576.65398999,Lambert93,yes,8,28/05/2020,30/05/2020,AME,Audiomoth,wood,,
14,Saint-André,526972.469261,6246480.58904999,Lambert93,yes,14,28/05/2020,30/05/2020,AMN,Audiomoth,wood,,
23,Saint-André,524961.713104999,6246036.22345,Lambert93,yes,23,28/05/2020,30/05/2020,AMH,Audiomoth,wood,,
32,Peyrissas,529954.300064999,6245898.98012,Lambert93,yes,32,18/06/2019,19/06/2019,AME,Audiomoth,crop,,
41,Eoux,526945.024631,6245482.06584999,Lambert93,yes,41,28/05/2020,30/05/2020,AMP,Audiomoth,crop,,
45,Peyrissas,528942.056816,6245427.16698999,Lambert93,yes,45,17/06/2019,18/06/2019,AME,Audiomoth,wood,,
61,Eoux,528928.332883,6244927.90546999,Lambert93,yes,61,17/06/2019,18/06/2019,SM4C,SM4,mosaic,,
66,Peyrissas,531424.633403999,6244859.28753999,Lambert93,yes,66,18/06/2019,19/06/2019,SM4C,SM4,mosaic,,
85,Peyrissas,531410.908706999,6244360.02580999,Lambert93,yes,85,19/06/2019,20/06/2019,AMF,Audiomoth,grassland,wet meadow,
87,Benque,532409.42997,6244332.57918,Lambert93,yes,87,19/06/2019,20/06/2019,AME,Audiomoth,wood,,
91,Esparron,522909.802603,6244094.07703,Lambert93,yes,91,28/05/2020,30/05/2020,AMD,Audiomoth,wood,,
96,Saint-André,525406.087054,6244025.45779,Lambert93,yes,96,23/04/2019,24/04/2019,SM4A,SM4,grassland,,
100,Eoux,527403.114474999,6243970.55838,Lambert93,yes,100,03/05/2021,04/05/2021,SM4D,SM4,crop,,
108,Benque,531397.183791,6243860.76451999,Lambert93,yes,108,05/05/2021,07/05/2021,SM4C,SM4,grassland,,
109,Benque,531896.444341,6243847.0415,Lambert93,yes,109,27/05/2020,28/05/2020,SM4B,SM4,grassland,,
