station,ARU,recording_date,recording_time,file_name,local_directory,server_directory_name,server_directory_URL,hard_drive_directory,second_recording,third_recording,fourth_recording
5,SM4,20/06/19,00:00:00,S4A10950_20190620_000000.wav,../Recordings/Selected/Aurignac/5,3 SMA4 juin eoux,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2F3%20SMA4%20juin%20eoux,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/5,S4A10950_20190620_010000.wav,S4A10950_20190620_020000.wav,S4A10950_20190620_030000.wav
5,SM4,20/06/19,07:00:00,S4A10950_20190620_070000.wav,../Recordings/Selected/Aurignac/5,3 SMA4 juin eoux,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2F3%20SMA4%20juin%20eoux,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/5,S4A10950_20190620_080000.wav,S4A10950_20190620_090000.wav,S4A10950_20190620_100000.wav
5,SM4,20/06/19,13:00:00,S4A10954_20190620_130000.wav,../Recordings/Selected/Aurignac/5,4 SMA4 juin eoux,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2F4%20SM4%20juin%20eoux,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/5,S4A10954_20190620_140000.wav,S4A10954_20190620_110000.wav,S4A10950_20190620_100000.wav
8,Audiomoth,29/05/20,00:00:00,20200529_000000.wav,../Recordings/Selected/Aurignac/8,Aurignac Audio 2020 AMTE 8,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTE%208,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/8,20200529_010000.wav,20200529_020000.wav,20200529_030000.wav
8,Audiomoth,29/05/20,07:00:00,20200529_070000.wav,../Recordings/Selected/Aurignac/8,Aurignac Audio 2020 AMTE 8,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTE%208,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/8,20200529_080000.wav,20200529_090000.wav,20200529_100000.wav
8,Audiomoth,28/05/20,13:00:00,20200528_130000.wav,../Recordings/Selected/Aurignac/8,Aurignac Audio 2020 AMTE 8,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTE%208,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/8,20200528_140000.wav,20200528_150000.wav,20200528_160000.wav
14,Audiomoth,29/05/20,00:00:00,20200529_000000.wav,../Recordings/Selected/Aurignac/14,Aurignac Audio 2020 AMTN 14,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTN%2014,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/14,20200529_010000.wav,20200529_020000.wav,20200529_030000.wav
14,Audiomoth,29/05/20,07:00:00,20200529_070000.wav,../Recordings/Selected/Aurignac/14,Aurignac Audio 2020 AMTN 14,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTN%2014,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/14,20200529_080000.wav,20200529_090000.wav,20200529_100000.wav
14,Audiomoth,28/05/20,13:00:00,20200528_130000.wav,../Recordings/Selected/Aurignac/14,Aurignac Audio 2020 AMTN 14,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTN%2014,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/14,20200528_140000.wav,20200528_150000.wav,20200528_160000.wav
23,Audiomoth,29/05/20,00:00:00,20200529_000000.wav,../Recordings/Selected/Aurignac/23,Aurignac Audio 2020 AMTH 23,https://nextcloud.inrae.fr/s/MzeqsR82M8BiC2R?path=%2FAurignac%20Audio%202020%20AMTH%2023,/media/david/One Touch/PSI-BIOM/Travail/Enregistrements analyses BirdNET/Aurignac/23,20200529_010000.wav,20200529_020000.wav,20200529_030000.wav
