0.000000	59.931635	Ort sp. 1 4
\	3419.583984	-1.000000
0.008406	0.512739	Pelophylax sp. 1 1
\	1407.078613	2794.891113
0.941423	2.538479	Hyla meridionalis 1 2
\	1979.559204	3023.083496
1.555028	9.153654	Pelophylax sp. 1 1
\	965.366577	1850.836304
2.933540	3.656418	Pelophylax sp. 1 1
\	1783.707031	2976.282715
4.202779	4.665085	Hyla meridionalis 1 1
\	1879.775146	2976.282715
4.925658	8.666131	Pelophylax sp. 1 1
\	1912.616699	2976.282715
9.153654	9.775665	Hyla meridionalis 1 1
\	1912.616699	3118.479004
10.137104	10.792738	Pelophylax sp. 1 1
\	1945.876099	2930.071045
11.128960	11.885460	Hyla meridionalis 1 1
\	1815.325562	3316.665771
12.162844	14.583645	Pelophylax sp. 1 1
\	1879.775146	3167.089600
14.684511	15.230873	Hyla meridionalis 1 1
\	915.512756	3266.174805
15.583906	16.273162	Pelophylax sp. 1 1
\	1783.707031	3367.798828
16.668223	19.391624	Pelophylax sp. 1 1
\	864.150635	1726.038208
16.710251	17.214585	Hyla meridionalis 1 1
\	1020.994690	3070.479736
17.584429	18.601502	Pelophylax sp. 1 1
\	1721.658081	2976.282715
18.996563	19.484085	Hyla meridionalis 1 1
\	1020.994690	3216.318604
19.811902	20.652458	Pelophylax sp. 1 1
\	1752.486084	3167.089600
21.013897	21.459392	Hyla meridionalis 1 1
\	875.153015	3118.479004
22.157053	22.997609	Pelophylax sp. 1 1
\	1303.112793	2930.071045
23.232965	23.779326	Hyla meridionalis 1 1
\	741.670349	3023.083496
24.317282	24.636693	Pelophylax sp. 1 1
\	787.625183	1467.111572
24.317282	25.098999	Pelophylax sp. 1 1
\	1253.069702	3167.089600
25.452032	25.989988	Hyla meridionalis 1 1
\	778.609924	3023.083496
26.418672	27.250822	Pelophylax sp. 1 1
\	1407.078613	3266.174805
27.536611	28.074567	Hyla meridionalis 1 1
\	895.205383	3367.798828
28.713389	29.436267	Pelophylax sp. 1 1
\	1303.112793	3216.318604
29.780895	30.377690	Hyla meridionalis 1 1
\	797.433167	3118.479004
29.831328	39.127877	Pelophylax sp. 1 4
\	1029.213501	1726.038208
30.789562	31.638524	Pelophylax sp. 1 1
\	1328.613159	3070.479736
32.193290	32.764868	Hyla meridionalis 1 1
\	875.153015	3367.798828
33.193552	33.941647	Pelophylax sp. 1 1
\	1303.112793	2884.439941
34.530036	35.168858	Hyla meridionalis 1 1
\	778.609924	3316.665771
35.387403	36.202742	Pelophylax sp. 1 1
\	1228.518921	3167.089600
36.538964	37.118948	Hyla meridionalis 1 1
\	875.153015	2930.071045
37.446765	38.489054	Pelophylax sp. 1 1
\	1253.069702	3633.398926
38.934549	39.514532	Hyla meridionalis 1 1
\	760.023254	3167.089600
39.640616	40.355088	Pelophylax sp. 1 1
\	1065.091309	3525.138428
41.624328	42.187500	Hyla meridionalis 1 4
\	1912.616699	3118.479004
41.624328	45.028579	Pelophylax sp. 1 4
\	797.433167	3316.665771
43.330656	56.367678	Pelophylax sp. 1 4
\	1051.035278	1665.947388
43.742528	44.230051	Hyla meridionalis 1 4
\	1847.346802	3216.318604
44.860468	45.936379	Lus meg 1 1 1
\	1277.932983	3419.583984
45.986813	46.676068	Pelophylax sp. 1 1
\	1303.112793	3118.479004
46.852585	47.625897	Hyla meridionalis 1 1
\	760.023254	3688.564697
48.105013	48.853108	Pelophylax sp. 1 1
\	1253.069702	3216.318604
49.626420	50.223214	Hyla meridionalis 1 4
\	956.906555	3167.089600
50.021481	50.820009	Pelophylax sp. 1 1
\	1253.069702	2498.724854
51.475643	52.022004	Hyla meridionalis 1 4
\	778.609924	3023.083496
51.769837	52.459093	Pelophylax sp. 1 1
\	1354.437988	2379.607178
52.887776	53.492977	Pelophylax sp. 1 1
\	1488.578613	2976.282715
53.644277	54.157016	Hyla meridionalis 1 1
\	936.078857	3118.479004
54.157016	55.989428	Pelophylax sp. 1 1
\	1180.339600	2839.382324
56.443328	56.964473	Hyla meridionalis 1 1
\	855.352844	2976.282715
56.443328	56.964473	Hyla meridionalis 1 1
\	1879.775146	2930.071045
56.930850	59.755118	Pelophylax sp. 1 1
\	1407.078613	2884.439941
