Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.6293
2	Spectrogram 1	1	8.0	11.0	150	15000	blackc1	Eurasian Blackcap	0.6969
3	Spectrogram 1	1	10.0	13.0	150	15000	blackc1	Eurasian Blackcap	0.9787
4	Spectrogram 1	1	12.0	15.0	150	15000	blackc1	Eurasian Blackcap	0.5952
5	Spectrogram 1	1	22.0	25.0	150	15000	blackc1	Eurasian Blackcap	0.5884
6	Spectrogram 1	1	24.0	27.0	150	15000	blackc1	Eurasian Blackcap	0.9664
7	Spectrogram 1	1	36.0	39.0	150	15000	blackc1	Eurasian Blackcap	0.7314
8	Spectrogram 1	1	46.0	49.0	150	15000	blackc1	Eurasian Blackcap	0.2505
9	Spectrogram 1	1	48.0	51.0	150	15000	blackc1	Eurasian Blackcap	0.9606
10	Spectrogram 1	1	50.0	53.0	150	15000	blackc1	Eurasian Blackcap	0.8015
