Turdus merula_Eurasian Blackbird
Hirundo rustica_Barn Swallow
Fringilla coelebs_Common Chaffinch
Columba palumbus_Common Wood-Pigeon
Corvus corone_Carrion Crow
Sylvia atricapilla_Eurasian Blackcap
Parus major_Great Tit
Passer domesticus_House Sparrow
Pica pica_Eurasian Magpie
Apus apus_Common Swift
Carduelis carduelis_European Goldfinch
Erithacus rubecula_European Robin
Serinus serinus_European Serin
Luscinia megarhynchos_Common Nightingale
Milvus migrans_Black Kite
Streptopelia decaocto_Eurasian Collared-Dove
Cyanistes caeruleus_Eurasian Blue Tit
Cuculus canorus_Common Cuckoo
Phoenicurus ochruros_Black Redstart
Anas platyrhynchos_Mallard
Garrulus glandarius_Eurasian Jay
Delichon urbicum_Common House-Martin
Motacilla alba_White Wagtail
Chloris chloris_European Greenfinch
Troglodytes troglodytes_Eurasian Wren
Gyps fulvus_Eurasian Griffon
Falco tinnunculus_Eurasian Kestrel
Sturnus vulgaris_European Starling
Columba livia_Rock Pigeon
Buteo buteo_Common Buzzard
Emberiza cirlus_Cirl Bunting
Larus michahellis_Yellow-legged Gull
Linaria cannabina_Eurasian Linnet
Phylloscopus bonelli_Western Bonelli's Warbler
Periparus ater_Coal Tit
Ardea cinerea_Gray Heron
Merops apiaster_European Bee-eater
Certhia brachydactyla_Short-toed Treecreeper
Saxicola rubicola_European Stonechat
Aegithalos caudatus_Long-tailed Tit
Corvus corax_Common Raven
Upupa epops_Eurasian Hoopoe
Cettia cetti_Cetti's Warbler
Dendrocopos major_Great Spotted Woodpecker
Regulus ignicapilla_Common Firecrest
Oriolus oriolus_Eurasian Golden Oriole
Emberiza calandra_Corn Bunting
Hippolais polyglotta_Melodious Warbler
Motacilla flava_Western Yellow Wagtail
Picus viridis_Eurasian Green Woodpecker
Ptyonoprogne rupestris_Eurasian Crag-Martin
Sitta europaea_Eurasian Nuthatch
Phalacrocorax carbo_Great Cormorant
Egretta garzetta_Little Egret
Turdus viscivorus_Mistle Thrush
Fulica atra_Eurasian Coot
Gallinula chloropus_Eurasian Moorhen
Phylloscopus collybita_Common Chiffchaff
Curruca melanocephala_Sardinian Warbler
Lullula arborea_Wood Lark
Galerida cristata_Crested Lark
Oenanthe oenanthe_Northern Wheatear
Circus aeruginosus_Eurasian Marsh-Harrier
Turdus philomelos_Song Thrush
Pyrrhocorax pyrrhocorax_Red-billed Chough
Milvus milvus_Red Kite
Picus sharpei_Iberian Green Woodpecker
Lophophanes cristatus_Crested Tit
Curruca communis_Greater Whitethroat
Streptopelia turtur_European Turtle-Dove
Cisticola juncidis_Zitting Cisticola
Circaetus gallicus_Short-toed Snake-Eagle
Phoenicurus phoenicurus_Common Redstart
Alauda arvensis_Eurasian Skylark
Petronia petronia_Rock Sparrow
Ciconia ciconia_White Stork
Corvus monedula_Eurasian Jackdaw
Hieraaetus pennatus_Booted Eagle
Sturnus unicolor_Spotless Starling
Himantopus himantopus_Black-winged Stilt
Prunella modularis_Dunnock
Podiceps cristatus_Great Crested Grebe
Curruca iberiae_Western Subalpine Warbler
Actitis hypoleucos_Common Sandpiper
Motacilla cinerea_Gray Wagtail
Lanius senator_Woodchat Shrike
Anthus trivialis_Tree Pipit
Bubulcus ibis_Cattle Egret
Alectoris rufa_Red-legged Partridge
Carduelis citrinella_Citril Finch
Emberiza cia_Rock Bunting
Acrocephalus scirpaceus_Eurasian Reed Warbler
Tachybaptus ruficollis_Little Grebe
Chroicocephalus ridibundus_Black-headed Gull
Ardea purpurea_Purple Heron
Charadrius dubius_Little Ringed Plover
Saxicola rubetra_Whinchat
Tadorna tadorna_Common Shelduck
Muscicapa striata_Spotted Flycatcher
Ficedula hypoleuca_European Pied Flycatcher
Pernis apivorus_European Honey-buzzard
Passer montanus_Eurasian Tree Sparrow
Acrocephalus arundinaceus_Great Reed Warbler
Phylloscopus trochilus_Willow Warbler
Riparia riparia_Bank Swallow
Ardea alba_Great Egret
Lanius collurio_Red-backed Shrike
Netta rufina_Red-crested Pochard
Poecile palustris_Marsh Tit
Mareca strepera_Gadwall
Pyrrhula pyrrhula_Eurasian Bullfinch
Curruca undata_Dartford Warbler
Emberiza citrinella_Yellowhammer
Accipiter nisus_Eurasian Sparrowhawk
Sterna hirundo_Common Tern
Tringa glareola_Wood Sandpiper
Apus melba_Alpine Swift
Recurvirostra avosetta_Pied Avocet
Falco subbuteo_Eurasian Hobby
Spatula clypeata_Northern Shoveler
Plegadis falcinellus_Glossy Ibis
Tringa ochropus_Green Sandpiper
Phasianus colchicus_Ring-necked Pheasant
Circus pygargus_Montagu's Harrier
Alcedo atthis_Common Kingfisher
Coturnix coturnix_Common Quail
Aythya ferina_Common Pochard
Melanocorypha calandra_Calandra Lark
Sylvia borin_Garden Warbler
Tringa totanus_Common Redshank
Jynx torquilla_Eurasian Wryneck
Tringa nebularia_Common Greenshank
Aquila chrysaetos_Golden Eagle
Cinclus cinclus_White-throated Dipper
Coccothraustes coccothraustes_Hawfinch
Cygnus olor_Mute Swan
Vanellus vanellus_Northern Lapwing
Pyrrhocorax graculus_Yellow-billed Chough
Psittacula krameri_Rose-ringed Parakeet
Regulus regulus_Goldcrest
Anthus spinoletta_Water Pipit
Phoenicopterus roseus_Greater Flamingo
Podiceps nigricollis_Eared Grebe
Loxia curvirostra_Red Crossbill
Morus bassanus_Northern Gannet
Rallus aquaticus_Water Rail
Anthus pratensis_Meadow Pipit
Falco peregrinus_Peregrine Falcon
Emberiza schoeniclus_Reed Bunting
Calidris pugnax_Ruff
Anas crecca_Green-winged Teal
Nycticorax nycticorax_Black-crowned Night-Heron
Anthus campestris_Tawny Pipit
Falco naumanni_Lesser Kestrel
Ichthyaetus melanocephalus_Mediterranean Gull
Passer hispaniolensis_Spanish Sparrow
Galerida theklae_Thekla's Lark
Cecropis daurica_Red-rumped Swallow
Burhinus oedicnemus_Eurasian Thick-knee
Pandion haliaetus_Osprey
Aegypius monachus_Cinereous Vulture
Limosa limosa_Black-tailed Godwit
Columba oenas_Stock Dove
Gelochelidon nilotica_Gull-billed Tern
Thalasseus sandvicensis_Sandwich Tern
Spatula querquedula_Garganey
