Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	2.0	5.0	150	15000	tawowl1	Tawny Owl	0.1047
2	Spectrogram 1	1	10.0	13.0	150	15000	eurrob1	European Robin	0.1485
3	Spectrogram 1	1	10.0	13.0	150	15000	sonthr1	Song Thrush	0.1424
4	Spectrogram 1	1	10.0	13.0	150	15000	goldcr1	Goldcrest	0.1395
5	Spectrogram 1	1	10.0	13.0	150	15000	eurbla	Eurasian Blackbird	0.1092
6	Spectrogram 1	1	12.0	15.0	150	15000	sonthr1	Song Thrush	0.1132
7	Spectrogram 1	1	16.0	19.0	150	15000	sonthr1	Song Thrush	0.1121
8	Spectrogram 1	1	16.0	19.0	150	15000	eurbla	Eurasian Blackbird	0.1105
9	Spectrogram 1	1	34.0	37.0	150	15000	sonthr1	Song Thrush	0.1101
10	Spectrogram 1	1	36.0	39.0	150	15000	sonthr1	Song Thrush	0.1187
11	Spectrogram 1	1	36.0	39.0	150	15000	goldcr1	Goldcrest	0.1056
12	Spectrogram 1	1	38.0	41.0	150	15000	sonthr1	Song Thrush	0.1155
13	Spectrogram 1	1	38.0	41.0	150	15000	goldcr1	Goldcrest	0.1128
14	Spectrogram 1	1	38.0	41.0	150	15000	eurrob1	European Robin	0.1112
15	Spectrogram 1	1	40.0	43.0	150	15000	goldcr1	Goldcrest	0.1202
16	Spectrogram 1	1	42.0	45.0	150	15000	goldcr1	Goldcrest	0.1567
17	Spectrogram 1	1	42.0	45.0	150	15000	sonthr1	Song Thrush	0.1413
18	Spectrogram 1	1	42.0	45.0	150	15000	eurrob1	European Robin	0.1120
19	Spectrogram 1	1	46.0	49.0	150	15000	sonthr1	Song Thrush	0.1010
20	Spectrogram 1	1	52.0	55.0	150	15000	sonthr1	Song Thrush	0.1030
