Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	rebshr1	Red-backed Shrike	0.1412
2	Spectrogram 1	1	3.0	6.0	150	15000	thelar1	Thekla's Lark	0.1109
3	Spectrogram 1	1	12.0	15.0	150	15000	combuz1	Common Buzzard	0.7641
4	Spectrogram 1	1	18.0	21.0	150	15000	webwar1	Western Bonelli's Warbler	0.2488
5	Spectrogram 1	1	24.0	27.0	150	15000	rebshr1	Red-backed Shrike	0.4099
6	Spectrogram 1	1	24.0	27.0	150	15000	webwar1	Western Bonelli's Warbler	0.1231
7	Spectrogram 1	1	33.0	36.0	150	15000	rebshr1	Red-backed Shrike	0.1206
8	Spectrogram 1	1	33.0	36.0	150	15000	webwar1	Western Bonelli's Warbler	0.1026
9	Spectrogram 1	1	39.0	42.0	150	15000	rebshr1	Red-backed Shrike	0.3225
10	Spectrogram 1	1	54.0	57.0	150	15000	webwar1	Western Bonelli's Warbler	0.4708
11	Spectrogram 1	1	54.0	57.0	150	15000	cirbun1	Cirl Bunting	0.1177
