Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	tawowl1	Tawny Owl	0.2066
2	Spectrogram 1	1	0	3.0	150	15000	eutkne1	Eurasian Thick-knee	0.2008
3	Spectrogram 1	1	0	3.0	150	15000	litowl1	Little Owl	0.1573
4	Spectrogram 1	1	0	3.0	150	15000	brnowl	Barn Owl	0.1346
5	Spectrogram 1	1	0	3.0	150	15000	comsan	Common Sandpiper	0.1252
6	Spectrogram 1	1	0	3.0	150	15000	comqua1	Common Quail	0.1035
7	Spectrogram 1	1	3.0	6.0	150	15000	comnig1	Common Nightingale	0.1192
8	Spectrogram 1	1	6.0	9.0	150	15000	comnig1	Common Nightingale	0.1920
9	Spectrogram 1	1	6.0	9.0	150	15000	eurgre1	European Greenfinch	0.1016
10	Spectrogram 1	1	9.0	12.0	150	15000	tawowl1	Tawny Owl	0.2481
11	Spectrogram 1	1	9.0	12.0	150	15000	brnowl	Barn Owl	0.1733
12	Spectrogram 1	1	9.0	12.0	150	15000	eutkne1	Eurasian Thick-knee	0.1689
13	Spectrogram 1	1	9.0	12.0	150	15000	comsan	Common Sandpiper	0.1176
14	Spectrogram 1	1	9.0	12.0	150	15000	litowl1	Little Owl	0.1135
15	Spectrogram 1	1	9.0	12.0	150	15000	comqua1	Common Quail	0.1012
16	Spectrogram 1	1	12.0	15.0	150	15000	eugwoo2	Eurasian Green Woodpecker	0.1287
17	Spectrogram 1	1	15.0	18.0	150	15000	eugwoo2	Eurasian Green Woodpecker	0.1321
18	Spectrogram 1	1	15.0	18.0	150	15000	comnig1	Common Nightingale	0.1293
19	Spectrogram 1	1	18.0	21.0	150	15000	brnowl	Barn Owl	0.1573
20	Spectrogram 1	1	18.0	21.0	150	15000	tawowl1	Tawny Owl	0.1373
21	Spectrogram 1	1	21.0	24.0	150	15000	comqua1	Common Quail	0.1168
22	Spectrogram 1	1	24.0	27.0	150	15000	eutkne1	Eurasian Thick-knee	0.2058
23	Spectrogram 1	1	24.0	27.0	150	15000	tawowl1	Tawny Owl	0.1582
24	Spectrogram 1	1	27.0	30.0	150	15000	comnig1	Common Nightingale	0.2903
25	Spectrogram 1	1	27.0	30.0	150	15000	eubeat1	European Bee-eater	0.1141
26	Spectrogram 1	1	30.0	33.0	150	15000	tawowl1	Tawny Owl	0.1521
27	Spectrogram 1	1	30.0	33.0	150	15000	brnowl	Barn Owl	0.1505
28	Spectrogram 1	1	30.0	33.0	150	15000	litowl1	Little Owl	0.1275
29	Spectrogram 1	1	30.0	33.0	150	15000	eutkne1	Eurasian Thick-knee	0.1104
30	Spectrogram 1	1	33.0	36.0	150	15000	comnig1	Common Nightingale	0.6623
31	Spectrogram 1	1	36.0	39.0	150	15000	litowl1	Little Owl	0.1866
32	Spectrogram 1	1	36.0	39.0	150	15000	tawowl1	Tawny Owl	0.1794
33	Spectrogram 1	1	36.0	39.0	150	15000	eutkne1	Eurasian Thick-knee	0.1146
34	Spectrogram 1	1	36.0	39.0	150	15000	brnowl	Barn Owl	0.1001
35	Spectrogram 1	1	39.0	42.0	150	15000	comnig1	Common Nightingale	0.5738
36	Spectrogram 1	1	42.0	45.0	150	15000	tawowl1	Tawny Owl	0.1802
37	Spectrogram 1	1	42.0	45.0	150	15000	brnowl	Barn Owl	0.1706
38	Spectrogram 1	1	42.0	45.0	150	15000	litowl1	Little Owl	0.1398
39	Spectrogram 1	1	42.0	45.0	150	15000	eutkne1	Eurasian Thick-knee	0.1163
40	Spectrogram 1	1	42.0	45.0	150	15000	comqua1	Common Quail	0.1110
41	Spectrogram 1	1	45.0	48.0	150	15000	comnig1	Common Nightingale	0.2081
42	Spectrogram 1	1	45.0	48.0	150	15000	comqua1	Common Quail	0.1633
43	Spectrogram 1	1	48.0	51.0	150	15000	brnowl	Barn Owl	0.1758
44	Spectrogram 1	1	48.0	51.0	150	15000	tawowl1	Tawny Owl	0.1728
45	Spectrogram 1	1	48.0	51.0	150	15000	litowl1	Little Owl	0.1247
46	Spectrogram 1	1	48.0	51.0	150	15000	comqua1	Common Quail	0.1134
47	Spectrogram 1	1	48.0	51.0	150	15000	eutkne1	Eurasian Thick-knee	0.1067
48	Spectrogram 1	1	51.0	54.0	150	15000	comnig1	Common Nightingale	0.5625
49	Spectrogram 1	1	54.0	57.0	150	15000	tawowl1	Tawny Owl	0.1657
50	Spectrogram 1	1	54.0	57.0	150	15000	eutkne1	Eurasian Thick-knee	0.1515
51	Spectrogram 1	1	54.0	57.0	150	15000	litowl1	Little Owl	0.1508
52	Spectrogram 1	1	54.0	57.0	150	15000	brnowl	Barn Owl	0.1307
53	Spectrogram 1	1	54.0	57.0	150	15000	comsan	Common Sandpiper	0.1262
54	Spectrogram 1	1	54.0	57.0	150	15000	comqua1	Common Quail	0.1219
