Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	6.0	9.0	150	15000	blackc1	Eurasian Blackcap	0.6277
2	Spectrogram 1	1	9.0	12.0	150	15000	blackc1	Eurasian Blackcap	0.3913
3	Spectrogram 1	1	21.0	24.0	150	15000	blackc1	Eurasian Blackcap	0.4123
4	Spectrogram 1	1	24.0	27.0	150	15000	blackc1	Eurasian Blackcap	0.1503
5	Spectrogram 1	1	27.0	30.0	150	15000	blackc1	Eurasian Blackcap	0.1857
6	Spectrogram 1	1	30.0	33.0	150	15000	winwre4	Eurasian Wren	0.1203
7	Spectrogram 1	1	33.0	36.0	150	15000	winwre4	Eurasian Wren	0.2015
8	Spectrogram 1	1	36.0	39.0	150	15000	blackc1	Eurasian Blackcap	0.1782
9	Spectrogram 1	1	42.0	45.0	150	15000	winwre4	Eurasian Wren	0.4001
10	Spectrogram 1	1	51.0	54.0	150	15000	winwre4	Eurasian Wren	0.1014
11	Spectrogram 1	1	54.0	57.0	150	15000	winwre4	Eurasian Wren	0.1882
