Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	sonthr1	Song Thrush	0.5130
2	Spectrogram 1	1	12.0	15.0	150	15000	sonthr1	Song Thrush	0.7149
3	Spectrogram 1	1	15.0	18.0	150	15000	sonthr1	Song Thrush	0.3417
4	Spectrogram 1	1	18.0	21.0	150	15000	sonthr1	Song Thrush	0.2375
5	Spectrogram 1	1	21.0	24.0	150	15000	sonthr1	Song Thrush	0.1693
6	Spectrogram 1	1	27.0	30.0	150	15000	comcuc	Common Cuckoo	0.1346
7	Spectrogram 1	1	27.0	30.0	150	15000	blawoo1	Black Woodpecker	0.1065
8	Spectrogram 1	1	30.0	33.0	150	15000	sonthr1	Song Thrush	0.3321
9	Spectrogram 1	1	33.0	36.0	150	15000	sonthr1	Song Thrush	0.2626
10	Spectrogram 1	1	33.0	36.0	150	15000	blawoo1	Black Woodpecker	0.1287
11	Spectrogram 1	1	36.0	39.0	150	15000	comchi1	Common Chiffchaff	0.1253
12	Spectrogram 1	1	39.0	42.0	150	15000	grswoo	Great Spotted Woodpecker	0.1838
13	Spectrogram 1	1	39.0	42.0	150	15000	sonthr1	Song Thrush	0.1511
14	Spectrogram 1	1	42.0	45.0	150	15000	sonthr1	Song Thrush	0.1373
15	Spectrogram 1	1	45.0	48.0	150	15000	blawoo1	Black Woodpecker	0.1353
16	Spectrogram 1	1	48.0	51.0	150	15000	sonthr1	Song Thrush	0.9244
17	Spectrogram 1	1	51.0	54.0	150	15000	sonthr1	Song Thrush	0.6326
18	Spectrogram 1	1	51.0	54.0	150	15000	stodov1	Stock Dove	0.1035
19	Spectrogram 1	1	57.0	60.0	150	15000	sonthr1	Song Thrush	0.4357
