Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	hawfin	Hawfinch	0.5960
2	Spectrogram 1	1	2.0	5.0	150	15000	eurrob1	European Robin	0.6936
3	Spectrogram 1	1	4.0	7.0	150	15000	eurrob1	European Robin	0.4755
4	Spectrogram 1	1	8.0	11.0	150	15000	eurrob1	European Robin	0.3827
5	Spectrogram 1	1	10.0	13.0	150	15000	comnig1	Common Nightingale	0.1537
6	Spectrogram 1	1	16.0	19.0	150	15000	comnig1	Common Nightingale	0.2840
7	Spectrogram 1	1	20.0	23.0	150	15000	hawfin	Hawfinch	0.1773
8	Spectrogram 1	1	22.0	25.0	150	15000	comnig1	Common Nightingale	0.6592
9	Spectrogram 1	1	24.0	27.0	150	15000	comnig1	Common Nightingale	0.4710
10	Spectrogram 1	1	38.0	41.0	150	15000	comnig1	Common Nightingale	0.1791
11	Spectrogram 1	1	46.0	49.0	150	15000	eutdov	European Turtle-Dove	0.8577
12	Spectrogram 1	1	48.0	51.0	150	15000	eutdov	European Turtle-Dove	0.7634
13	Spectrogram 1	1	50.0	53.0	150	15000	eutdov	European Turtle-Dove	0.6164
14	Spectrogram 1	1	52.0	55.0	150	15000	cirbun1	Cirl Bunting	0.2505
15	Spectrogram 1	1	54.0	57.0	150	15000	cirbun1	Cirl Bunting	0.9065
16	Spectrogram 1	1	54.0	57.0	150	15000	hoopoe	Eurasian Hoopoe	0.1324
