Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	9.0	12.0	150	15000	bcnher	Black-crowned Night-Heron	0.2726
2	Spectrogram 1	1	12.0	15.0	150	15000	bcnher	Black-crowned Night-Heron	0.5499
3	Spectrogram 1	1	18.0	21.0	150	15000	bcnher	Black-crowned Night-Heron	0.1432
4	Spectrogram 1	1	21.0	24.0	150	15000	bcnher	Black-crowned Night-Heron	0.1003
5	Spectrogram 1	1	30.0	33.0	150	15000	bcnher	Black-crowned Night-Heron	0.6195
6	Spectrogram 1	1	39.0	42.0	150	15000	bcnher	Black-crowned Night-Heron	0.1178
7	Spectrogram 1	1	42.0	45.0	150	15000	bcnher	Black-crowned Night-Heron	0.3564
8	Spectrogram 1	1	45.0	48.0	150	15000	bcnher	Black-crowned Night-Heron	0.4296
9	Spectrogram 1	1	48.0	51.0	150	15000	bcnher	Black-crowned Night-Heron	0.3448
10	Spectrogram 1	1	51.0	54.0	150	15000	bcnher	Black-crowned Night-Heron	0.1316
11	Spectrogram 1	1	54.0	57.0	150	15000	bcnher	Black-crowned Night-Heron	0.2032
