Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	2.0	5.0	150	15000	blackc1	Eurasian Blackcap	0.5525
2	Spectrogram 1	1	2.0	5.0	150	15000	subwar6	Western Subalpine Warbler	0.2002
3	Spectrogram 1	1	2.0	5.0	150	15000	garwar1	Garden Warbler	0.1826
4	Spectrogram 1	1	4.0	7.0	150	15000	blackc1	Eurasian Blackcap	0.8501
5	Spectrogram 1	1	6.0	9.0	150	15000	blackc1	Eurasian Blackcap	0.8864
6	Spectrogram 1	1	6.0	9.0	150	15000	webwar1	Western Bonelli's Warbler	0.1183
7	Spectrogram 1	1	10.0	13.0	150	15000	blackc1	Eurasian Blackcap	0.3333
8	Spectrogram 1	1	10.0	13.0	150	15000	webwar1	Western Bonelli's Warbler	0.3198
9	Spectrogram 1	1	10.0	13.0	150	15000	cirbun1	Cirl Bunting	0.2907
10	Spectrogram 1	1	10.0	13.0	150	15000	eugori2	Eurasian Golden Oriole	0.1907
11	Spectrogram 1	1	10.0	13.0	150	15000	trepip	Tree Pipit	0.1701
12	Spectrogram 1	1	10.0	13.0	150	15000	yellow2	Yellowhammer	0.1446
13	Spectrogram 1	1	10.0	13.0	150	15000	eupfly1	European Pied Flycatcher	0.1347
14	Spectrogram 1	1	10.0	13.0	150	15000	firecr1	Common Firecrest	0.1331
15	Spectrogram 1	1	10.0	13.0	150	15000	shttre1	Short-toed Treecreeper	0.1042
16	Spectrogram 1	1	10.0	13.0	150	15000	garwar1	Garden Warbler	0.1027
17	Spectrogram 1	1	10.0	13.0	150	15000	spofly1	Spotted Flycatcher	0.1017
18	Spectrogram 1	1	12.0	15.0	150	15000	blackc1	Eurasian Blackcap	0.4018
19	Spectrogram 1	1	12.0	15.0	150	15000	spofly1	Spotted Flycatcher	0.1977
20	Spectrogram 1	1	12.0	15.0	150	15000	yellow2	Yellowhammer	0.1679
21	Spectrogram 1	1	12.0	15.0	150	15000	cirbun1	Cirl Bunting	0.1634
22	Spectrogram 1	1	12.0	15.0	150	15000	eugori2	Eurasian Golden Oriole	0.1484
23	Spectrogram 1	1	12.0	15.0	150	15000	webwar1	Western Bonelli's Warbler	0.1408
24	Spectrogram 1	1	14.0	17.0	150	15000	gretit1	Great Tit	0.1378
25	Spectrogram 1	1	18.0	21.0	150	15000	blackc1	Eurasian Blackcap	0.3270
26	Spectrogram 1	1	18.0	21.0	150	15000	webwar1	Western Bonelli's Warbler	0.2197
27	Spectrogram 1	1	18.0	21.0	150	15000	eugori2	Eurasian Golden Oriole	0.2045
28	Spectrogram 1	1	18.0	21.0	150	15000	cirbun1	Cirl Bunting	0.1228
29	Spectrogram 1	1	20.0	23.0	150	15000	blackc1	Eurasian Blackcap	0.1228
30	Spectrogram 1	1	24.0	27.0	150	15000	webwar1	Western Bonelli's Warbler	0.1901
31	Spectrogram 1	1	24.0	27.0	150	15000	eugori2	Eurasian Golden Oriole	0.1694
32	Spectrogram 1	1	24.0	27.0	150	15000	cirbun1	Cirl Bunting	0.1381
33	Spectrogram 1	1	26.0	29.0	150	15000	blackc1	Eurasian Blackcap	0.2833
34	Spectrogram 1	1	26.0	29.0	150	15000	webwar1	Western Bonelli's Warbler	0.2199
35	Spectrogram 1	1	26.0	29.0	150	15000	cirbun1	Cirl Bunting	0.1732
36	Spectrogram 1	1	26.0	29.0	150	15000	eugori2	Eurasian Golden Oriole	0.1498
37	Spectrogram 1	1	28.0	31.0	150	15000	blackc1	Eurasian Blackcap	0.2461
38	Spectrogram 1	1	28.0	31.0	150	15000	webwar1	Western Bonelli's Warbler	0.1571
39	Spectrogram 1	1	28.0	31.0	150	15000	eugori2	Eurasian Golden Oriole	0.1363
40	Spectrogram 1	1	28.0	31.0	150	15000	cirbun1	Cirl Bunting	0.1149
41	Spectrogram 1	1	30.0	33.0	150	15000	webwar1	Western Bonelli's Warbler	0.1146
42	Spectrogram 1	1	30.0	33.0	150	15000	eugori2	Eurasian Golden Oriole	0.1069
43	Spectrogram 1	1	36.0	39.0	150	15000	webwar1	Western Bonelli's Warbler	0.1021
44	Spectrogram 1	1	46.0	49.0	150	15000	eugori2	Eurasian Golden Oriole	0.1844
45	Spectrogram 1	1	46.0	49.0	150	15000	cirbun1	Cirl Bunting	0.1733
46	Spectrogram 1	1	46.0	49.0	150	15000	webwar1	Western Bonelli's Warbler	0.1393
47	Spectrogram 1	1	46.0	49.0	150	15000	yellow2	Yellowhammer	0.1047
48	Spectrogram 1	1	48.0	51.0	150	15000	eugori2	Eurasian Golden Oriole	0.1112
49	Spectrogram 1	1	50.0	53.0	150	15000	cirbun1	Cirl Bunting	0.1411
50	Spectrogram 1	1	50.0	53.0	150	15000	webwar1	Western Bonelli's Warbler	0.1279
51	Spectrogram 1	1	50.0	53.0	150	15000	eugori2	Eurasian Golden Oriole	0.1089
52	Spectrogram 1	1	56.0	59.0	150	15000	gretit1	Great Tit	0.6351
53	Spectrogram 1	1	56.0	59.0	150	15000	blutit	Eurasian Blue Tit	0.1904
