Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	shttre1	Short-toed Treecreeper	0.1879
2	Spectrogram 1	1	0	3.0	150	15000	webwar1	Western Bonelli's Warbler	0.1725
3	Spectrogram 1	1	0	3.0	150	15000	grywag	Gray Wagtail	0.1506
4	Spectrogram 1	1	0	3.0	150	15000	eugori2	Eurasian Golden Oriole	0.1223
5	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.1146
6	Spectrogram 1	1	0	3.0	150	15000	cirbun1	Cirl Bunting	0.1067
7	Spectrogram 1	1	3.0	6.0	150	15000	comkin1	Common Kingfisher	0.2269
8	Spectrogram 1	1	3.0	6.0	150	15000	webwar1	Western Bonelli's Warbler	0.1405
9	Spectrogram 1	1	3.0	6.0	150	15000	eugori2	Eurasian Golden Oriole	0.1318
10	Spectrogram 1	1	3.0	6.0	150	15000	combuz1	Common Buzzard	0.1309
11	Spectrogram 1	1	3.0	6.0	150	15000	trepip	Tree Pipit	0.1233
12	Spectrogram 1	1	3.0	6.0	150	15000	blackc1	Eurasian Blackcap	0.1128
13	Spectrogram 1	1	3.0	6.0	150	15000	shttre1	Short-toed Treecreeper	0.1044
14	Spectrogram 1	1	6.0	9.0	150	15000	comrav	Common Raven	0.1893
15	Spectrogram 1	1	6.0	9.0	150	15000	hawfin	Hawfinch	0.1254
16	Spectrogram 1	1	6.0	9.0	150	15000	shttre1	Short-toed Treecreeper	0.1028
17	Spectrogram 1	1	9.0	12.0	150	15000	comrav	Common Raven	0.1612
18	Spectrogram 1	1	12.0	15.0	150	15000	shttre1	Short-toed Treecreeper	0.1327
19	Spectrogram 1	1	12.0	15.0	150	15000	blackc1	Eurasian Blackcap	0.1057
20	Spectrogram 1	1	15.0	18.0	150	15000	winwre4	Eurasian Wren	0.2318
21	Spectrogram 1	1	15.0	18.0	150	15000	eugwoo2	Eurasian Green Woodpecker	0.1935
22	Spectrogram 1	1	15.0	18.0	150	15000	eugori2	Eurasian Golden Oriole	0.1526
23	Spectrogram 1	1	15.0	18.0	150	15000	eurrob1	European Robin	0.1430
24	Spectrogram 1	1	15.0	18.0	150	15000	redkit1	Red Kite	0.1316
25	Spectrogram 1	1	15.0	18.0	150	15000	stodov1	Stock Dove	0.1310
26	Spectrogram 1	1	15.0	18.0	150	15000	combuz1	Common Buzzard	0.1205
27	Spectrogram 1	1	15.0	18.0	150	15000	comcuc	Common Cuckoo	0.1112
28	Spectrogram 1	1	15.0	18.0	150	15000	shttre1	Short-toed Treecreeper	0.1059
29	Spectrogram 1	1	18.0	21.0	150	15000	blackc1	Eurasian Blackcap	0.2887
30	Spectrogram 1	1	18.0	21.0	150	15000	eugori2	Eurasian Golden Oriole	0.1359
31	Spectrogram 1	1	18.0	21.0	150	15000	webwar1	Western Bonelli's Warbler	0.1121
32	Spectrogram 1	1	18.0	21.0	150	15000	spofly1	Spotted Flycatcher	0.1120
33	Spectrogram 1	1	18.0	21.0	150	15000	garwar1	Garden Warbler	0.1096
34	Spectrogram 1	1	18.0	21.0	150	15000	shttre1	Short-toed Treecreeper	0.1029
35	Spectrogram 1	1	21.0	24.0	150	15000	blackc1	Eurasian Blackcap	0.2277
36	Spectrogram 1	1	21.0	24.0	150	15000	webwar1	Western Bonelli's Warbler	0.1780
37	Spectrogram 1	1	21.0	24.0	150	15000	comred2	Common Redstart	0.1351
38	Spectrogram 1	1	21.0	24.0	150	15000	eugori2	Eurasian Golden Oriole	0.1256
39	Spectrogram 1	1	21.0	24.0	150	15000	eugwoo2	Eurasian Green Woodpecker	0.1069
40	Spectrogram 1	1	21.0	24.0	150	15000	shttre1	Short-toed Treecreeper	0.1063
