Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	2.0	5.0	150	15000	blackc1	Eurasian Blackcap	0.4874
2	Spectrogram 1	1	3.0	6.0	150	15000	blackc1	Eurasian Blackcap	0.9660
3	Spectrogram 1	1	4.0	7.0	150	15000	blackc1	Eurasian Blackcap	0.9701
4	Spectrogram 1	1	5.0	8.0	150	15000	blackc1	Eurasian Blackcap	0.9792
5	Spectrogram 1	1	6.0	9.0	150	15000	blackc1	Eurasian Blackcap	0.9883
6	Spectrogram 1	1	7.0	10.0	150	15000	blackc1	Eurasian Blackcap	0.9045
7	Spectrogram 1	1	9.0	12.0	150	15000	blackc1	Eurasian Blackcap	0.3375
8	Spectrogram 1	1	10.0	13.0	150	15000	blackc1	Eurasian Blackcap	0.3728
9	Spectrogram 1	1	11.0	14.0	150	15000	blackc1	Eurasian Blackcap	0.5816
10	Spectrogram 1	1	12.0	15.0	150	15000	blackc1	Eurasian Blackcap	0.5009
11	Spectrogram 1	1	18.0	21.0	150	15000	blackc1	Eurasian Blackcap	0.2166
12	Spectrogram 1	1	26.0	29.0	150	15000	blackc1	Eurasian Blackcap	0.3472
13	Spectrogram 1	1	27.0	30.0	150	15000	blackc1	Eurasian Blackcap	0.2429
14	Spectrogram 1	1	28.0	31.0	150	15000	blackc1	Eurasian Blackcap	0.2517
15	Spectrogram 1	1	29.0	32.0	150	15000	blackc1	Eurasian Blackcap	0.1028
16	Spectrogram 1	1	55.0	58.0	150	15000	gretit1	Great Tit	0.6348
17	Spectrogram 1	1	56.0	59.0	150	15000	gretit1	Great Tit	0.5639
