Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	eurgre1	European Greenfinch	0.2085
2	Spectrogram 1	1	0	3.0	150	15000	comcha	Common Chaffinch	0.1657
3	Spectrogram 1	1	0	3.0	150	15000	sonthr1	Song Thrush	0.1383
4	Spectrogram 1	1	0	3.0	150	15000	hawfin	Hawfinch	0.1313
5	Spectrogram 1	1	0	3.0	150	15000	webwar1	Western Bonelli's Warbler	0.1290
6	Spectrogram 1	1	0	3.0	150	15000	cirbun1	Cirl Bunting	0.1216
7	Spectrogram 1	1	0	3.0	150	15000	firecr1	Common Firecrest	0.1108
8	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.1094
9	Spectrogram 1	1	3.0	6.0	150	15000	whinch1	Whinchat	0.2152
10	Spectrogram 1	1	3.0	6.0	150	15000	trepip	Tree Pipit	0.1355
11	Spectrogram 1	1	3.0	6.0	150	15000	woolar1	Wood Lark	0.1130
12	Spectrogram 1	1	6.0	9.0	150	15000	woolar1	Wood Lark	0.1472
13	Spectrogram 1	1	6.0	9.0	150	15000	rocbun1	Rock Bunting	0.1245
14	Spectrogram 1	1	9.0	12.0	150	15000	trepip	Tree Pipit	0.9041
15	Spectrogram 1	1	12.0	15.0	150	15000	woolar1	Wood Lark	0.2164
16	Spectrogram 1	1	12.0	15.0	150	15000	crelar2	Crested Lark	0.1579
17	Spectrogram 1	1	12.0	15.0	150	15000	thelar1	Thekla's Lark	0.1433
18	Spectrogram 1	1	15.0	18.0	150	15000	trepip	Tree Pipit	0.1068
19	Spectrogram 1	1	18.0	21.0	150	15000	trepip	Tree Pipit	0.8841
20	Spectrogram 1	1	21.0	24.0	150	15000	trepip	Tree Pipit	0.9607
21	Spectrogram 1	1	24.0	27.0	150	15000	dunnoc1	Dunnock	0.1606
22	Spectrogram 1	1	27.0	30.0	150	15000	grewhi1	Greater Whitethroat	0.1592
23	Spectrogram 1	1	27.0	30.0	150	15000	trepip	Tree Pipit	0.1032
24	Spectrogram 1	1	27.0	30.0	150	15000	melwar1	Melodious Warbler	0.1025
25	Spectrogram 1	1	30.0	33.0	150	15000	trepip	Tree Pipit	0.4702
26	Spectrogram 1	1	33.0	36.0	150	15000	trepip	Tree Pipit	0.6273
27	Spectrogram 1	1	39.0	42.0	150	15000	dunnoc1	Dunnock	0.5250
28	Spectrogram 1	1	42.0	45.0	150	15000	trepip	Tree Pipit	0.8284
29	Spectrogram 1	1	42.0	45.0	150	15000	watpip1	Water Pipit	0.1758
30	Spectrogram 1	1	45.0	48.0	150	15000	eurrob1	European Robin	0.2322
31	Spectrogram 1	1	45.0	48.0	150	15000	gretit1	Great Tit	0.1767
32	Spectrogram 1	1	45.0	48.0	150	15000	yellow2	Yellowhammer	0.1761
33	Spectrogram 1	1	45.0	48.0	150	15000	woolar1	Wood Lark	0.1564
34	Spectrogram 1	1	45.0	48.0	150	15000	trepip	Tree Pipit	0.1311
35	Spectrogram 1	1	45.0	48.0	150	15000	webwar1	Western Bonelli's Warbler	0.1133
36	Spectrogram 1	1	45.0	48.0	150	15000	comred2	Common Redstart	0.1126
37	Spectrogram 1	1	45.0	48.0	150	15000	cirbun1	Cirl Bunting	0.1082
38	Spectrogram 1	1	48.0	51.0	150	15000	dunnoc1	Dunnock	0.5850
39	Spectrogram 1	1	51.0	54.0	150	15000	trepip	Tree Pipit	0.2773
40	Spectrogram 1	1	51.0	54.0	150	15000	dunnoc1	Dunnock	0.2770
41	Spectrogram 1	1	51.0	54.0	150	15000	stonec4	European Stonechat	0.1174
42	Spectrogram 1	1	54.0	57.0	150	15000	trepip	Tree Pipit	0.9395
43	Spectrogram 1	1	57.0	60.0	150	15000	trepip	Tree Pipit	0.3322
44	Spectrogram 1	1	57.0	60.0	150	15000	norwhe	Northern Wheatear	0.1036
