Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.9900
2	Spectrogram 1	1	3.0	6.0	150	15000	comcha	Common Chaffinch	0.5682
3	Spectrogram 1	1	9.0	12.0	150	15000	trepip	Tree Pipit	0.1419
4	Spectrogram 1	1	12.0	15.0	150	15000	trepip	Tree Pipit	0.9921
5	Spectrogram 1	1	15.0	18.0	150	15000	cretit2	Crested Tit	0.1960
6	Spectrogram 1	1	21.0	24.0	150	15000	trepip	Tree Pipit	0.9885
7	Spectrogram 1	1	24.0	27.0	150	15000	cretit2	Crested Tit	0.3964
8	Spectrogram 1	1	33.0	36.0	150	15000	trepip	Tree Pipit	0.9999
9	Spectrogram 1	1	36.0	39.0	150	15000	trepip	Tree Pipit	0.2196
10	Spectrogram 1	1	36.0	39.0	150	15000	martit2	Marsh Tit	0.1823
11	Spectrogram 1	1	39.0	42.0	150	15000	comcha	Common Chaffinch	0.4036
12	Spectrogram 1	1	48.0	51.0	150	15000	whtdip1	White-throated Dipper	0.2225
13	Spectrogram 1	1	51.0	54.0	150	15000	comcha	Common Chaffinch	0.6476
